,investor,company,invest_date
66909,/organization/tiger-global,/organization/myntra,2014-01-31
59611,/organization/angels-den,/organization/bondoo-baby,2014-01-31
26490,/organization/bulldog-innovation-group-big,/organization/eli-nutrition,2014-01-31
62997,/organization/sofina,/organization/myntra,2014-01-31
76394,/organization/accel-partners,/organization/vinted,2014-01-31
58910,/organization/voyager-capital,/organization/ubix-labs,2014-01-31
4281,/organization/sosv,/organization/launchpilots,2014-01-31
17964,/organization/swisscom-ventures,/organization/plumgrid,2014-01-31
51776,/organization/accel-partners,/organization/myntra,2014-01-31
67569,/organization/alchemist-accelerator,/organization/brightfunnel,2014-01-31
1179,/person/chris-maeda,/organization/brightfunnel,2014-01-31
82321,/organization/portland-seed-fund,/organization/better-bean,2014-01-31
26475,/person/harley-bernstein,/organization/handpressions-2,2014-01-31
93793,/person/paul-albright,/organization/brightfunnel,2014-01-31
40504,/person/russell-siegelman,/organization/brightfunnel,2014-01-31
30175,/organization/frost-data-capital,/organization/ubix-labs,2014-01-31
69309,/person/semil-shah,/organization/gliph,2014-01-31
21027,/organization/kima-ventures,/organization/viewsy,2014-01-31
38584,/organization/baxter-international,/organization/xenetic-biosciences,2014-01-31
12501,/organization/salesforce-ventures,/organization/xica,2014-01-31
102656,/person/tim-kopp,/organization/brightfunnel,2014-01-31
30708,/person/scott-kleper,/organization/brightfunnel,2014-01-31
1722,/organization/draper-esprit,/organization/doutissima,2014-01-31
27133,/person/venkat-rangan-2,/organization/brightfunnel,2014-01-31
93273,/organization/samsung-ventures,/organization/xg-sciences,2014-01-31
97236,/person/giles-raymond,/organization/youbetme,2014-01-31
56743,/organization/enzyme-venture-capital,/organization/segundohogar,2014-01-31
80709,/organization/hummer-winblad-venture-partners,/organization/plumgrid,2014-01-31
27482,/person/jonathon-perrelli,/organization/handpressions-2,2014-01-31
36339,/organization/partisan-management-group,/organization/preceptis-medical,2014-01-31
28129,/organization/sosv,/organization/orbit-minder-limited,2014-01-31
76564,/organization/cougar-capital,/organization/formation-data-systems,2014-01-31
81187,/organization/yei-innovation-fund,/organization/eli-nutrition,2014-01-31
66541,/organization/citizen-vc-2,/organization/collectivehealth,2014-01-31
33206,/person/allen-alley,/organization/better-bean,2014-01-31
