,investor,company,invest_date
28968,/organization/ufg-private-equity,/organization/cylande,2010-04-30
48356,/organization/naxicap-partners,/organization/cylande,2010-04-30
15502,/organization/midven,/organization/lumejet,2010-04-30
3175,/organization/healthcap,/organization/oncos-therapeutics,2010-04-30
9095,/organization/fonds-stratgique-dinvestissement,/organization/cylande,2010-04-30
81766,/organization/bain-capital-2,/organization/adready,2010-04-30
68266,/organization/khosla-ventures,/organization/adready,2010-04-30
84339,/organization/madrona-venture-group,/organization/adready,2010-04-30
82127,/organization/charter-life-sciences,/organization/corepair,2010-04-30
95525,/organization/invested-development,/organization/frogtek-bop,2010-04-30
76291,/organization/kima-ventures,/organization/mimesis-republic,2010-05-01
56758,/organization/xg-ventures,/organization/nowbox,2010-05-01
76153,/organization/capital-factory,/organization/hurricane-party,2010-05-01
45847,/organization/y-combinator,/organization/ginzametrics,2010-05-01
77824,/organization/dreamit-ventures,/organization/showme,2010-05-01
21602,/organization/capital-factory,/organization/ripplefunction,2010-05-01
90387,/person/charles-moldow,/organization/swipely,2010-05-01
4704,/person/borja-monsalve-piqueras,/organization/brainsins,2010-05-01
48188,/organization/herold-business-data,/organization/tupalo,2010-05-01
7618,/organization/kima-ventures,/organization/kukunu,2010-05-01
71318,/person/jos-carlos-cortizo-prez,/organization/brainsins,2010-05-01
50548,/person/art-samberg,/organization/fancy,2010-05-01
69151,/organization/inversiones-en-tecnologa-y-social-media,/organization/brainsins,2010-05-01
9744,/organization/shenzhen-capital-group,/organization/beisen,2010-05-01
62859,/organization/tech-wildcatters,/organization/collegejobconnect,2010-05-01
104555,/person/caglar-erol,/organization/enuygun-com,2010-05-01
1272,/organization/saif-partners,/organization/good-photo,2010-05-01
81888,/person/chris-hughes,/organization/fancy,2010-05-01
73107,/person/lee-hower,/organization/swipely,2010-05-01
45986,/organization/seedcamp,/organization/kukunu,2010-05-01
37495,/organization/bundeswirtschaftsministerium,/organization/linkcloud,2010-05-01
5646,/organization/dgf-investimentos,/organization/mastersaf,2010-05-01
89963,/organization/charles-river-ventures,/organization/nowbox,2010-05-01
4548,/person/shervin-pishevar,/organization/nowbox,2010-05-01
480,/person/emil-michael,/organization/swipely,2010-05-01
93801,/organization/y-combinator,/organization/adgrok,2010-05-01
27193,/organization/capital-factory,/organization/keepstream,2010-05-01
29568,/organization/zhenfund,/organization/yongche,2010-05-01
91577,/organization/dreamit-ventures,/organization/yunno,2010-05-01
58992,/organization/boomstartup,/organization/iactionable,2010-05-01
91654,/organization/gmp-securities,/organization/glassbox,2010-05-01
104106,/organization/r2-international-gmbh,/organization/enuygun-com,2010-05-01
61890,/organization/greylock,/organization/city-dimensional-network-logo,2010-05-01
97424,/organization/highgrowth,/organization/nuroa,2010-05-01
33705,/person/bob-pittman,/organization/fancy,2010-05-01
8521,/person/jeff-samberg,/organization/fancy,2010-05-01
31791,/person/francisco-carrero-garca,/organization/brainsins,2010-05-01
59697,/organization/kima-ventures,/organization/sidekick-games,2010-05-01
100648,/person/marc-simoncini,/organization/kukunu,2010-05-01
48592,/person/maynard-webb,/organization/fancy,2010-05-01
79576,/organization/excelerate-labs,/organization/transparent-financial-services,2010-05-01
50092,/organization/qiming-venture-partners,/organization/chinacache,2010-05-01
90826,/organization/sv-angel,/organization/nowbox,2010-05-01
92511,/person/anton-commissaris,/organization/swipely,2010-05-01
61931,/organization/tomorrow-ventures,/organization/nowbox,2010-05-01
32321,/person/michael-van-swaaij,/organization/supersonicads,2010-05-01
6235,/organization/seventysix-capital,/organization/fisker,2010-05-01
3133,/person/james-siminoff,/organization/unsubscribe-com,2010-05-01
24524,/organization/enterprise-ireland,/organization/britebill,2010-05-01
