,investor,company,invest_date
100867,/organization/betaworks,/organization/tumblr,2007-10-31
53867,/organization/crescendo-ventures,/organization/bdna,2007-10-31
24277,/person/albert-wenger,/organization/tumblr,2007-10-31
77160,/organization/north-bridge-venture-partners,/organization/bluespec,2007-10-31
20160,/organization/rustic-canyon-partners,/organization/hidden-city-games,2007-10-31
94008,/organization/viola-credit,/organization/eglue-business-technologies,2007-10-31
9961,/organization/comerica-bank,/organization/harmony-information-systems,2007-10-31
74811,/organization/newbury-ventures,/organization/bdna,2007-10-31
103843,/organization/vencore-capital,/organization/migo-software,2007-10-31
18856,/organization/updata-partners,/organization/harmony-information-systems,2007-10-31
91151,/organization/vineyard-capital-group,/organization/jobapp,2007-10-31
41182,/organization/htgf,/organization/visumotion,2007-10-31
34965,/organization/atlas-venture,/organization/bluespec,2007-10-31
85129,/organization/summit-partners,/organization/trident-university,2007-10-31
45083,/organization/ace-management,/organization/hi-stor-technologies,2007-10-31
78468,/organization/quest-for-growth,/organization/syntaxin,2007-10-31
74737,/organization/jmi-equity,/organization/harmony-information-systems,2007-10-31
30970,/organization/life-sciences-partners,/organization/syntaxin,2007-10-31
60199,/organization/mountain-partners,/organization/visumotion,2007-10-31
63082,/organization/flagship-ventures,/organization/bdna,2007-10-31
44834,/organization/orix-venture-finance,/organization/harmony-information-systems,2007-10-31
60501,/organization/wasabi-ventures,/organization/funsherpa,2007-10-31
103502,/organization/motorola-solutions-venture-capital,/organization/bdna,2007-10-31
18637,/person/fred-seibert,/organization/tumblr,2007-10-31
104095,/organization/trinity-ventures,/organization/hidden-city-games,2007-10-31
43429,/organization/shenzhen-capital-group,/organization/beijing-easpring-material-technology-co-ltd,2007-11-01
65891,/organization/wk-technology,/organization/ruckus-wireless,2007-11-01
55576,/organization/matrix-partners-china,/organization/ikang-healthcare-group,2007-11-01
95237,/organization/bain-capital-ventures,/organization/ameritox,2007-11-01
53232,/organization/monster-venture-partners,/organization/sharedreviews,2007-11-01
51657,/organization/baseline-ventures,/organization/sendori,2007-11-01
11494,/organization/anthem-capital-management,/organization/redlasso,2007-11-01
97707,/organization/columbia-capital,/organization/vubiquity,2007-11-01
30152,/person/brett-brewer,/organization/docstoc,2007-11-01
11761,/person/stan-chudnovsky,/organization/goodreads,2007-11-01
74105,/person/james-currier,/organization/goodreads,2007-11-01
6575,/person/robin-richards,/organization/docstoc,2007-11-01
47044,/organization/at-t,/organization/vobile,2007-11-01
31108,/person/ron-conway,/organization/sendori,2007-11-01
101585,/person/jeff-pulver,/organization/seesmic,2007-11-01
89163,/organization/yfm-venture-finance,/organization/2sms,2007-11-01
91046,/organization/cdc-innovation,/organization/wirecom-technologies,2007-11-01
31677,/person/steve-case,/organization/allofme,2007-11-01
51183,/organization/scottish-equity-partners,/organization/kiala,2007-11-01
74743,/organization/leapfrog-ventures,/organization/ojos-com,2007-11-01
12777,/person/michael-parekh,/organization/seesmic,2007-11-01
2872,/person/nicholas-moore,/organization/vobile,2007-11-01
95051,/organization/guggenheim-opportunity-fund,/organization/redlasso,2007-11-01
8688,/organization/amidzad-partners,/organization/zoosk,2007-11-01
65862,/organization/at-t,/organization/onnetworks,2007-11-01
51411,/organization/saif-partners,/organization/longfan-media,2007-11-01
23977,/organization/keiretsu-forum,/organization/verican,2007-11-01
82345,/organization/dlb-capital,/organization/china-risk-finance,2007-11-01
5266,/organization/deutsche-effecten-und-wechsel,/organization/sloning-biotechnology,2007-11-01
100144,/organization/ovp-venture-partners,/organization/ambric,2007-11-01
79537,/organization/sofimac-partners,/organization/wirecom-technologies,2007-11-01
1535,/organization/sunbridge-partners,/organization/gydget,2007-11-01
93450,/organization/fuse-capital,/organization/ambric,2007-11-01
92957,/organization/liberty-associated-partners,/organization/takkle,2007-11-01
92746,/organization/atomico,/organization/seesmic,2007-11-01
23536,/organization/azure-capital-partners,/organization/phanfare,2007-11-01
