,investor,company,invest_date
23583,/organization/kleiner-perkins-caufield-byers,/organization/aptwater,2009-07-31
92597,/organization/draper-associates-2,/organization/skybox-imaging,2009-07-31
94702,/organization/octopus-ventures,/organization/ketech,2009-07-31
78212,/organization/opt,/organization/mobile-factory,2009-07-31
49226,/organization/friends-and-family,/organization/fracture,2009-08-01
50384,/organization/kocca,/organization/betastudios,2009-08-01
54228,/organization/trilogy-equity-partnership,/organization/crescendo-networks,2009-08-01
22879,/person/travis-kalanick,/organization/uber,2009-08-01
88010,/person/ward-hills,/organization/pneumacare,2009-08-01
70167,/organization/dreamit-ventures,/organization/straight-up-english,2009-08-01
8104,/organization/ovp-venture-partners,/organization/novomer,2009-08-01
24223,/organization/sequoia-capital,/organization/imeem,2009-08-01
92864,/organization/capital-factory,/organization/hourville,2009-08-01
66056,/organization/shenzhen-right-sun-investment-holding-co-ltd,/organization/great-dream,2009-08-01
90283,/person/sean-oleary,/organization/backupify,2009-08-01
78821,/organization/y-combinator,/organization/wakemate,2009-08-01
36813,/person/gil-penchina,/organization/coveroo,2009-08-01
96476,/organization/knight-foundation,/organization/ushahidi,2009-08-01
89367,/organization/copec-uc,/organization/atakama-labs,2009-08-01
29625,/organization/betaspring,/organization/dijipop,2009-08-01
100408,/organization/the-challenge-funds,/organization/crescendo-networks,2009-08-01
19334,/organization/dreamit-ventures,/organization/postling,2009-08-01
9786,/organization/lend-lease-ventures,/organization/windlab-systems,2009-08-01
101034,/organization/dsm-venturing,/organization/novomer,2009-08-01
101297,/organization/kraft-group,/organization/acetylon-pharmaceuticals,2009-08-01
11898,/person/adrian-locher,/organization/susi-partners,2009-08-01
43962,/person/john-gerstenlauer,/organization/loudcaster,2009-08-01
64777,/organization/leopard-capital,/organization/kingdom-breweries,2009-08-01
77694,/organization/dreamit-ventures,/organization/mashed-jobs,2009-08-01
31596,/organization/viewpoint-capital-partners,/organization/acrolinx-gmbh,2009-08-01
46345,/organization/physic-ventures,/organization/novomer,2009-08-01
84233,/organization/ofer-hi-tech,/organization/angioslide,2009-08-01
72770,/person/toby-coppel,/organization/farmigo,2009-08-01
22139,/person/dharmesh-shah,/organization/backupify,2009-08-01
80025,/organization/value-creation-company,/organization/computication,2009-08-01
20582,/person/peter-atalla,/organization/navmii,2009-08-01
58232,/person/garrett-camp,/organization/uber,2009-08-01
74710,/person/stuart-marvin,/organization/navmii,2009-08-01
80917,/person/alexis-ohanian,/organization/wakemate,2009-08-01
79190,/organization/investor-ab,/organization/china-intelligent-transport-system-group,2009-08-01
72712,/organization/u-s-department-of-energy,/organization/ecotality,2009-08-01
10185,/organization/kaedan-capital-group,/organization/somoto,2009-08-01
48704,/organization/dreamit-ventures,/organization/ourshelf,2009-08-01
77499,/person/marc-p-bernegger,/organization/susi-partners,2009-08-01
51551,/organization/softtech-vc,/organization/reputation-com,2009-08-01
30319,/person/klaus-lovgreen,/organization/get-in,2009-08-01
48306,/person/sterling-lapinski,/organization/backupify,2009-08-01
64655,/organization/flagship-ventures,/organization/novomer,2009-08-01
38336,/organization/infinity,/organization/tx-com-cn,2009-08-01
69999,/organization/sequoia-capital,/organization/great-dream,2009-08-01
78644,/organization/baidu,/organization/bj100-com,2009-08-01
3446,/organization/xg-ventures,/organization/twitvid,2009-08-01
38481,/organization/dreamit-ventures,/organization/kidzillions,2009-08-01
68400,/organization/austral-capital,/organization/atakama-labs,2009-08-01
39897,/organization/leaguer-tsing-yuan-venture-capital,/organization/sumavision,2009-08-01
60798,/organization/fortune-venture-capital,/organization/newauto-video-technology,2009-08-01
64478,/organization/morgenthaler-ventures,/organization/imeem,2009-08-01
7985,/person/ben-smith-iv,/organization/coveroo,2009-08-01
90936,/person/dharmesh-shah,/organization/wakemate,2009-08-01
59296,/organization/evergreen-venture-partners,/organization/crescendo-networks,2009-08-01
72560,/organization/siemens-venture-capital,/organization/arava-power-company,2009-08-01
13869,/organization/stageone-ventures,/organization/crescendo-networks,2009-08-01
15630,/organization/innovation-capital,/organization/windlab-systems,2009-08-01
82913,/person/chris-burke,/organization/navmii,2009-08-01
45104,/person/hadi-partovi,/organization/farmigo,2009-08-01
35891,/organization/dreamit-ventures,/organization/notehall,2009-08-01
70942,/person/unnamed-angel-investors,/organization/rounds,2009-08-01
92969,/organization/betaspring,/organization/accelereach,2009-08-01
95463,/organization/intel-capital,/organization/newauto-video-technology,2009-08-01
71362,/organization/apax-partners,/organization/crescendo-networks,2009-08-01
99553,/organization/rabobank,/organization/computication,2009-08-01
54106,/organization/warner-music-group,/organization/imeem,2009-08-01
36125,/organization/beijing-yonghui-ruijin-venture-capital,/organization/beijing-scinor-water-technology,2009-08-01
83606,/organization/y-combinator,/organization/tuxebo,2009-08-02
25755,/organization/y-combinator,/organization/plurchase,2009-08-02
93572,/organization/y-combinator,/organization/lockitron,2009-08-02
40307,/organization/y-combinator,/organization/meetingmix-com,2009-08-02
59247,/organization/y-combinator,/organization/instantq,2009-08-02
103693,/organization/sv-angel,/organization/dnanexus,2009-08-03
85862,/organization/mig-ag,/organization/protagen,2009-08-03
22209,/organization/kfw,/organization/protagen,2009-08-03
79956,/organization/general-electric,/organization/advanced-electron-beams,2009-08-04
46489,/organization/flagship-ventures,/organization/advanced-electron-beams,2009-08-04
56962,/organization/downsview-capital,/organization/agenus,2009-08-04
61252,/organization/waldenvc,/organization/soundhound,2009-08-04
103839,/organization/general-catalyst-partners,/organization/advanced-electron-beams,2009-08-04
92825,/organization/agman-partners,/organization/advanced-electron-beams,2009-08-04
26855,/person/li-ka-shing,/organization/spotify,2009-08-04
69795,/organization/iroquois-capital,/organization/agenus,2009-08-04
95123,/organization/horizons-ventures,/organization/spotify,2009-08-04
101722,/organization/hudson-capital-management,/organization/agenus,2009-08-04
31769,/organization/atlas-venture,/organization/advanced-electron-beams,2009-08-04
32678,/organization/rockport-capital-partners,/organization/advanced-electron-beams,2009-08-04
77434,/organization/wellington-partners,/organization/spotify,2009-08-04
23839,/organization/new-enterprise-associates,/organization/techforward,2009-08-05
51637,/organization/westriver-capital,/organization/ascentium,2009-08-05
8754,/organization/salesforce,/organization/practice-fusion,2009-08-05
87175,/organization/stripes-group,/organization/mywebgrocer,2009-08-05
97518,/organization/the-sprout-group,/organization/xdx,2009-08-05
74582,/organization/duff-ackerman-and-goodrich,/organization/xdx,2009-08-05
19022,/organization/techcolumbus-2,/organization/cardiox,2009-08-05
22499,/organization/silicon-valley-bank,/organization/mediamath,2009-08-05
97142,/organization/u-s-navy,/organization/general-dynamics,2009-08-05
28375,/organization/intel-capital,/organization/xdx,2009-08-05
23517,/organization/u-s-department-of-energy,/organization/a123systems,2009-08-05
9788,/organization/first-round-capital,/organization/techforward,2009-08-05
90625,/organization/nomura-phase4-ventures,/organization/zosano-pharma,2009-08-06
28548,/organization/ecosystem-ventures,/organization/graphicly,2009-08-06
98805,/organization/techstars,/organization/retel-technologies,2009-08-06
35323,/organization/techstars,/organization/spry,2009-08-06
80435,/organization/ppm-oost,/organization/health-impact-solutions,2009-08-06
80577,/organization/vimac-milestone-medical-fund,/organization/rapid-micro-biosystems,2009-08-06
49836,/organization/hbm-bioventures,/organization/zosano-pharma,2009-08-06
92804,/organization/techstars,/organization/rezora,2009-08-06
46095,/organization/techstars,/organization/timzon,2009-08-06
56482,/organization/techstars,/organization/graphicly,2009-08-06
17218,/organization/techstars,/organization/mailana,2009-08-06
103013,/organization/techstars,/organization/vanilla-forums,2009-08-06
4471,/organization/pelion-venture-partners,/organization/aztek-networks,2009-08-06
67737,/organization/proquest-investments,/organization/zosano-pharma,2009-08-06
39614,/organization/quaker-bioventures,/organization/rapid-micro-biosystems,2009-08-06
52322,/organization/techstars,/organization/next-big-sound,2009-08-06
12241,/organization/edison-ventures,/organization/logictree,2009-08-06
102754,/organization/techstars,/organization/everlater,2009-08-06
62643,/organization/tenaya-capital,/organization/meru-networks,2009-08-07
34431,/organization/monitor-ventures,/organization/meru-networks,2009-08-07
36546,/organization/estonian-development-fund,/organization/sportlyzer,2009-08-07
62721,/organization/neocarta-ventures,/organization/meru-networks,2009-08-07
59169,/organization/bluestream-ventures,/organization/meru-networks,2009-08-07
27778,/organization/matrix-partners-china,/organization/anjuke-com,2009-08-07
20513,/organization/evercore-partners,/organization/meru-networks,2009-08-07
17324,/organization/d-e-shaw-co,/organization/meru-networks,2009-08-07
99950,/organization/seapoint-ventures,/organization/modiv-media,2009-08-07
45919,/organization/clearstone-venture-partners,/organization/meru-networks,2009-08-07
23392,/organization/ignition-partners,/organization/modiv-media,2009-08-07
104641,/organization/pikksilm-projektid,/organization/sportlyzer,2009-08-07
91873,/organization/palomar-ventures,/organization/paymetric,2009-08-08
85236,/organization/austin-ventures,/organization/paymetric,2009-08-08
44600,/organization/i2a-fund,/organization/quantum-learning-technologies,2009-08-08
46477,/person/fabrice-grinda,/organization/wikimart-ru,2009-08-09
23834,/organization/viola-credit,/organization/designart-networks,2009-08-09
56716,/organization/kohlberg-ventures,/organization/akademos,2009-08-10
38215,/organization/hambrecht-quist,/organization/palyon-medical,2009-08-10
79501,/organization/selby-venture-partners,/organization/tempo-payment,2009-08-10
69696,/organization/cathaya-capital,/organization/zap,2009-08-10
27241,/organization/penderfund-capital-management,/organization/monexa,2009-08-10
24880,/organization/ing-belgium,/organization/cmosis-nv,2009-08-10
96686,/organization/cross-atlantic-capital-partners,/organization/palyon-medical,2009-08-10
64156,/person/jenny-rooke,/organization/accuri-cytometers,2009-08-10
60189,/organization/cti-capital,/organization/enobia-pharma,2009-08-10
34780,/organization/desjardins-venture-capital,/organization/enobia-pharma,2009-08-10
64860,/organization/bb-biotech-ventures,/organization/palyon-medical,2009-08-10
12603,/organization/integral-capital-partners,/organization/tempo-payment,2009-08-10
8491,/organization/tamares,/organization/panaya,2009-08-10
85473,/organization/orbimed-advisors,/organization/enobia-pharma,2009-08-10
52736,/organization/ggv-capital,/organization/turbine,2009-08-10
36149,/organization/cardinal-venture-capital,/organization/tempo-payment,2009-08-10
4157,/organization/fountain-healthcare-partners,/organization/palyon-medical,2009-08-10
76535,/organization/baird-capital,/organization/palyon-medical,2009-08-10
87932,/organization/vinnof,/organization/cmosis-nv,2009-08-10
36567,/organization/lothian-partners,/organization/enobia-pharma,2009-08-10
72666,/organization/aeris-capital,/organization/conformis,2009-08-10
52671,/person/scott-banister,/organization/space-exploration-technologies,2009-08-11
26556,/organization/alice-ventures,/organization/niti-surgical-solutions,2009-08-11
30575,/person/damian-voltes,/organization/sumavisos,2009-08-11
3148,/organization/israel-cleantech-ventures,/organization/niti-surgical-solutions,2009-08-11
30465,/organization/trinity-ventures,/organization/amalfi-semiconductor,2009-08-11
96632,/organization/forbion-capital-partners,/organization/niti-surgical-solutions,2009-08-11
