,investor,company,invest_date
45211,/person/karim-kawar,/organization/markavip,2010-11-01
38180,/organization/viola-private-equity,/organization/degania-silicone,2010-11-01
49415,/person/matt-keiser,/organization/fanbridge,2010-11-01
32118,/person/sergey-grishin,/organization/tektrak,2010-11-01
7294,/person/tom-barnicoat,/organization/aframe,2010-11-01
85625,/person/karl-jacob,/organization/path,2010-11-01
49449,/person/shawn-gruver,/organization/tektrak,2010-11-01
7739,/organization/venrex-investment-management,/organization/lyst,2010-11-01
10254,/organization/first-round-capital,/organization/fanbridge,2010-11-01
17374,/organization/techstars,/organization/world-blender,2010-11-01
35467,/organization/de-hoge-dennen-capital,/organization/i-optics,2010-11-01
67348,/person/maurice-werdegar,/organization/fanbridge,2010-11-01
30850,/person/sam-lessin,/organization/path,2010-11-01
36264,/organization/greycroft-partners,/organization/friendbuy,2010-11-01
23898,/organization/omnes-capital,/organization/plista,2010-11-01
32378,/organization/techstars,/organization/deal-co-op,2010-11-01
26110,/organization/sequoia-capital,/organization/guokang-health-management,2010-11-01
80596,/person/fabrice-grinda,/organization/davia,2010-11-01
52580,/organization/ceyuan-ventures,/organization/nqmobile,2010-11-01
39689,/organization/xtreme-labs,/organization/glooko,2010-11-01
23939,/person/tom-erickson,/organization/acquia,2010-11-01
93083,/organization/qiming-venture-partners,/organization/docin,2010-11-01
49855,/organization/cmc,/organization/nqmobile,2010-11-01
104215,/organization/500-startups,/organization/fanbridge,2010-11-01
74788,/organization/sequoia-capital,/organization/nqmobile,2010-11-01
43153,/organization/zero2ipo-ventures,/organization/docin,2010-11-01
53649,/organization/aurus,/organization/splitcast-technology,2010-11-01
87668,/organization/quest-venture-partners,/organization/fast-society,2010-11-01
32950,/organization/dcm,/organization/vindicia,2010-11-01
43239,/organization/knight-foundation,/organization/jumo,2010-11-01
49695,/person/ram-shriram,/organization/callaway-digital-arts,2010-11-01
5641,/person/fabrice-grinda,/organization/ds-digitale-seiten,2010-11-01
10461,/organization/north-star-equity-investment-partners,/organization/aframe,2010-11-01
97084,/organization/innovationsbron-vst-startup-ab,/organization/insplorion,2010-11-01
60647,/person/usama-fayyad,/organization/markavip,2010-11-01
40278,/organization/kleiner-perkins-caufield-byers,/organization/callaway-digital-arts,2010-11-01
91359,/person/steve-anderson,/organization/path,2010-11-01
43638,/person/vinton-cerf,/organization/glooko,2010-11-01
58984,/organization/lifeline-ventures,/organization/greyarea,2010-11-01
7379,/organization/aescap-venture,/organization/i-optics,2010-11-01
35201,/organization/innovation-works-china,/organization/umeng,2010-11-01
103809,/organization/team-europe-ventures,/organization/ds-digitale-seiten,2010-11-01
82383,/organization/techstars,/organization/thinkfuse,2010-11-01
93260,/organization/preipo,/organization/chongqing-yade-technology,2010-11-01
76716,/person/fabrice-grinda,/organization/betterment,2010-11-01
60368,/person/mark-pincus,/organization/callaway-digital-arts,2010-11-01
12853,/person/ilkka-paananen,/organization/greyarea,2010-11-01
69435,/person/fabrice-grinda,/organization/oktogo-ru,2010-11-01
101068,/organization/venture-capital,/organization/vascular-pathways,2010-11-01
80620,/person/don-dodge,/organization/path,2010-11-01
28349,/organization/bfb-fruehphasenfonds,/organization/castaclip,2010-11-01
40836,/organization/venture51,/organization/tektrak,2010-11-01
28363,/organization/point-nine-capital,/organization/ds-digitale-seiten,2010-11-01
81468,/organization/kima-ventures,/organization/dweho,2010-11-01
26429,/organization/bertelsmann-digital-media-investments,/organization/vindicia,2010-11-01
10307,/organization/idg-ventures-vietnam,/organization/rubiconproject,2010-11-01
31452,/person/anand-rajaraman,/organization/glooko,2010-11-01
93191,/person/ashton-kutcher,/organization/path,2010-11-01
52245,/organization/ascension-ventures,/organization/vascular-pathways,2010-11-01
75,/person/private-seed,/organization/cardinal,2010-11-01
68986,/organization/vickers-capital-group,/organization/tenfen,2010-11-01
24698,/person/kevin-rose,/organization/path,2010-11-01
28703,/organization/qualcomm,/organization/nqmobile,2010-11-01
30349,/person/michael-parekh,/organization/path,2010-11-01
71165,/organization/rre-ventures,/organization/streetspark,2010-11-01
71200,/person/russell-hirsch,/organization/glooko,2010-11-01
6068,/organization/llr-partners,/organization/tribridge,2010-11-01
35912,/organization/dcm,/organization/mbaobao,2010-11-01
24359,/organization/richland-equities,/organization/chongqing-yade-technology,2010-11-01
52980,/person/jarl-mohn,/organization/rubiconproject,2010-11-01
18481,/organization/techstars,/organization/rentmatch,2010-11-01
53204,/organization/wasabi-ventures,/organization/tektrak,2010-11-01
78922,/organization/red-swan,/organization/betterment,2010-11-01
32450,/organization/alibaba-capital-partners,/organization/the-city-of-shenzhen-the-datong,2010-11-01
31277,/person/andy-dunn,/organization/betterment,2010-11-01
4592,/person/cyan-banister,/organization/tektrak,2010-11-01
101389,/organization/onset-ventures,/organization/vindicia,2010-11-01
53177,/person/josh-spear,/organization/path,2010-11-01
71289,/organization/mobile-internet-capital,/organization/nihon-gigei,2010-11-01
5956,/organization/techstars,/organization/gomiles,2010-11-01
63358,/organization/new-dominion-angels,/organization/seniorliving-net,2010-11-01
104465,/organization/eniac-ventures,/organization/fast-society,2010-11-01
74533,/person/jon-kiehnau,/organization/skymarker,2010-11-01
14590,/organization/sequoia-capital,/organization/lakoo,2010-11-01
22113,/organization/clearstone-venture-partners,/organization/rubiconproject,2010-11-01
2487,/organization/kima-ventures,/organization/fooducate,2010-11-01
20028,/organization/betaworks,/organization/path,2010-11-01
66006,/organization/cdf-capital,/organization/rising,2010-11-01
28871,/person/santiago-caniggia-bengolea,/organization/resermap,2010-11-01
49276,/organization/social-starts,/organization/blueprint-labs,2010-11-01
92030,/person/matt-cohler,/organization/path,2010-11-01
86572,/person/gary-vaynerchuk,/organization/path,2010-11-01
19123,/organization/kite-ventures,/organization/ds-digitale-seiten,2010-11-01
99775,/organization/rebate-networks,/organization/deal-com-sg,2010-11-01
94273,/organization/omidyar-network,/organization/jumo,2010-11-01
61047,/organization/seraph-group,/organization/apsalar,2010-11-01
61355,/organization/peacock-equity,/organization/rubiconproject,2010-11-01
28568,/person/safa-rashtchy,/organization/icanbuy,2010-11-01
8022,/person/david-abbott,/organization/aframe,2010-11-01
14125,/organization/frsta-entreprenrsfonden,/organization/speedment,2010-11-01
24060,/organization/bfb-fruehphasenfonds,/organization/komoot,2010-11-01
17189,/organization/bcitl-ventures,/organization/tektrak,2010-11-01
47837,/person/bill-randuchel,/organization/path,2010-11-01
32402,/organization/nwz-publishing-house,/organization/plista,2010-11-01
87116,/person/david-wheldon,/organization/aframe,2010-11-01
10635,/organization/durrants,/organization/brandwatch,2010-11-01
