	investor	{'date': 'invest_date', 'weight': 'company'}
74703	/organization/prime-technology-ventures	{'date': '2005-02-07', 'weight': '/organization/codenomicon-ltd'}
36588	/organization/porton-group	{'date': '2005-02-01', 'weight': '/organization/smart-holograms'}
43392	/organization/towerbrook-capital-partners	{'date': '2005-03-15', 'weight': '/organization/rlx-technologies'}
14857	/organization/crosslink-capital	{'date': '2005-03-25', 'weight': '/organization/revera'}
25265	/organization/siemens-venture-capital	{'date': '2005-03-09', 'weight': '/organization/agility-communications'}
103897	/organization/scale-venture-partners	{'date': '2005-03-21', 'weight': '/organization/outerbay-technologies'}
69427	/organization/globespan-capital-partners	{'date': '2005-03-22', 'weight': '/organization/nominum'}
83528	/organization/globespan-capital-partners	{'date': '2005-02-09', 'weight': '/organization/vericept'}
73499	/organization/labrador-ventures	{'date': '2005-02-14', 'weight': '/organization/traverse-networks'}
103899	/organization/delta-partners	{'date': '2005-02-15', 'weight': '/organization/similarity-systems'}
70474	/organization/itochu-technology-ventures	{'date': '2005-03-28', 'weight': '/organization/castiron-systems'}
87885	/organization/insight-venture-partners	{'date': '2005-03-01', 'weight': '/organization/photobucket'}
90051	/organization/goldman-sachs	{'date': '2005-02-16', 'weight': '/organization/fibrogen'}
24719	/organization/capdecisif	{'date': '2005-02-22', 'weight': '/organization/sequans-communications'}
93787	/organization/invesco-perpetual	{'date': '2005-01-31', 'weight': '/organization/vieo'}
61206	/organization/bio-sight-capital	{'date': '2005-03-29', 'weight': '/organization/b-bridge-international'}
96493	/organization/nif-smbc-ventures	{'date': '2005-02-14', 'weight': '/organization/esilicon'}
68679	/organization/medtronic	{'date': '2005-03-01', 'weight': '/organization/axial-biotech'}
65370	/organization/dcm	{'date': '2005-03-02', 'weight': '/organization/arroyo-video-solutions'}
41792	/organization/csk-venture-capital	{'date': '2005-02-28', 'weight': '/organization/perlegen-sciences'}
58310	/organization/startech-early-ventures	{'date': '2005-03-08', 'weight': '/organization/pintail-technologies'}
97017	/organization/parker-price-venture-capital	{'date': '2005-03-16', 'weight': '/organization/akira-technologies'}
88393	/organization/epcor-water-services	{'date': '2005-02-10', 'weight': '/organization/pionetics'}
69396	/organization/voyager-capital	{'date': '2005-03-07', 'weight': '/organization/valchemy'}
29450	/organization/bankinvest-biomedical-venture	{'date': '2005-03-01', 'weight': '/organization/liplasome-pharma'}
52893	/organization/highway-12-ventures	{'date': '2005-02-22', 'weight': '/organization/dedicated-devices'}
2708	/organization/foundation-capital	{'date': '2005-03-15', 'weight': '/organization/codefast'}
104668	/organization/healthcap	{'date': '2005-02-08', 'weight': '/organization/five-prime-therapeutics'}
57293	/organization/domain-associates	{'date': '2005-02-08', 'weight': '/organization/five-prime-therapeutics'}
71483	/organization/triax-capital	{'date': '2005-02-21', 'weight': '/organization/diaphonics'}
35993	/organization/australian-distributed-incubator	{'date': '2005-03-01', 'weight': '/organization/bcode'}
94330	/organization/research-triangle-ventures	{'date': '2005-02-10', 'weight': '/organization/lvl7-systems'}
75334	/organization/teknoseed	{'date': '2005-03-31', 'weight': '/organization/mitrionics'}
67387	/organization/kleiner-perkins-caufield-byers	{'date': '2005-03-15', 'weight': '/organization/good-technology'}
52469	/organization/idg-capital-partners	{'date': '2005-03-01', 'weight': '/organization/dacheng-network'}
43055	/organization/gabriel-venture-partners	{'date': '2005-02-10', 'weight': '/organization/lvl7-systems'}
68551	/organization/marubeni-corporation	{'date': '2005-03-29', 'weight': '/organization/b-bridge-international'}
40957	/organization/wellcome-trust	{'date': '2005-03-08', 'weight': '/organization/sirtris-pharmaceuticals'}
35197	/organization/naxicap-partners	{'date': '2005-02-07', 'weight': '/organization/sagge'}
41427	/organization/siemer-ventures	{'date': '2005-03-01', 'weight': '/organization/viagogo'}
43676	/organization/focus-ventures	{'date': '2005-03-21', 'weight': '/organization/outerbay-technologies'}
9250	/organization/tvm-capital	{'date': '2005-02-01', 'weight': '/organization/aventeon'}
90797	/organization/research-triangle	{'date': '2005-03-04', 'weight': '/organization/nextreme'}
65992	/organization/us-venture-partners	{'date': '2005-03-09', 'weight': '/organization/agility-communications'}
59073	/organization/bdc-venture-capital	{'date': '2005-02-11', 'weight': '/organization/microbridge-technologies-canada'}
5576	/organization/horizon-ventures	{'date': '2005-03-18', 'weight': '/organization/alignent-software'}
72646	/organization/mpm-capital	{'date': '2005-02-28', 'weight': '/organization/perlegen-sciences'}
6370	/organization/maverick-capital	{'date': '2005-02-28', 'weight': '/organization/perlegen-sciences'}
90899	/organization/deutsche-bank	{'date': '2005-03-17', 'weight': '/organization/vhayu-technologies'}
28811	/organization/star-ventures	{'date': '2005-03-18', 'weight': '/organization/celletra'}
37413	/organization/innovatech-qubec	{'date': '2005-02-11', 'weight': '/organization/microbridge-technologies-canada'}
52821	/organization/cisco	{'date': '2005-02-04', 'weight': '/organization/corvil'}
59566	/organization/parker-price-venture-capital	{'date': '2005-03-29', 'weight': '/organization/newscale'}
87845	/organization/apothecary-capital	{'date': '2005-02-16', 'weight': '/organization/fibrogen'}
81869	/organization/idg-capital-partners	{'date': '2005-03-01', 'weight': '/organization/aircom'}
3899	/organization/bankinvest	{'date': '2005-03-23', 'weight': '/organization/borean-pharma'}
2689	/organization/ignition-partners	{'date': '2005-03-15', 'weight': '/organization/rlx-technologies'}
53328	/organization/raytheon	{'date': '2005-03-01', 'weight': '/organization/vpisystems'}
70668	/organization/duchossois-technology-partners	{'date': '2005-02-07', 'weight': '/organization/mobilitec'}
32997	/organization/matrix-partners	{'date': '2005-03-02', 'weight': '/organization/arroyo-video-solutions'}
7814	/organization/dawntreader-ventures	{'date': '2005-03-03', 'weight': '/organization/harbour-networks-holdings'}
25306	/organization/edmond-de-rothschild-venture-capital	{'date': '2005-03-03', 'weight': '/organization/nautilus-biotech'}
16104	/organization/charles-river-ventures	{'date': '2005-03-01', 'weight': '/organization/gotv-networks'}
81570	/organization/agilent-ventures	{'date': '2005-03-08', 'weight': '/organization/pintail-technologies'}
63364	/organization/advanced-technology-ventures	{'date': '2005-03-16', 'weight': '/organization/neoscale-systems'}
101592	/organization/mission-ventures	{'date': '2005-03-18', 'weight': '/organization/alignent-software'}
18683	/organization/j-p-morgan-securities-inc	{'date': '2005-02-08', 'weight': '/organization/five-prime-therapeutics'}
78446	/organization/seventure-partners	{'date': '2005-03-07', 'weight': '/organization/dso-interactive'}
32294	/organization/scottish-equity-partners	{'date': '2005-03-08', 'weight': '/organization/zeus'}
37319	/organization/ignition-partners	{'date': '2005-02-25', 'weight': '/organization/lockdown-networks'}
82494	/organization/time-warner-investments	{'date': '2005-03-02', 'weight': '/organization/arroyo-video-solutions'}
27021	/organization/presidio-stx	{'date': '2005-03-22', 'weight': '/organization/nominum'}
78541	/organization/hlm-venture-partners	{'date': '2005-03-01', 'weight': '/organization/genband'}
29968	/organization/village-ventures	{'date': '2005-02-22', 'weight': '/organization/dedicated-devices'}
55977	/organization/polaris-partners	{'date': '2005-02-07', 'weight': '/organization/frictionless-commerce'}
7375	/organization/the-aurora-funds	{'date': '2005-03-04', 'weight': '/organization/nextreme'}
83573	/organization/hokkaido-venture-capital	{'date': '2005-03-29', 'weight': '/organization/b-bridge-international'}
29565	/organization/advanced-equities	{'date': '2005-03-15', 'weight': '/organization/good-technology'}
12751	/organization/advent-international	{'date': '2005-02-08', 'weight': '/organization/gfg-group'}
93566	/organization/mizuho-securities	{'date': '2005-02-28', 'weight': '/organization/perlegen-sciences'}
717	/organization/star-ventures	{'date': '2005-03-01', 'weight': '/organization/genband'}
25491	/organization/matrix-partners	{'date': '2005-02-01', 'weight': '/organization/blue-lane-technologies'}
43937	/organization/foundation-capital	{'date': '2005-01-31', 'weight': '/organization/wherenet'}
97640	/organization/atlas-venture	{'date': '2005-02-02', 'weight': '/organization/safe-id-solutions'}
613	/person/ron-conway	{'date': '2005-03-01', 'weight': '/organization/kaboodle'}
52171	/organization/klm-capital-group	{'date': '2005-03-07', 'weight': '/organization/syntricity'}
17508	/organization/sigefi-ventures-gestion	{'date': '2005-03-07', 'weight': '/organization/dso-interactive'}
29588	/organization/carlyle-group	{'date': '2005-03-03', 'weight': '/organization/trema-group'}
103014	/organization/north-bridge-venture-partners	{'date': '2005-02-14', 'weight': '/organization/intelliworks'}
40561	/organization/brookside-capital	{'date': '2005-02-16', 'weight': '/organization/fibrogen'}
11599	/organization/bay-partners	{'date': '2005-01-31', 'weight': '/organization/wherenet'}
105190	/organization/gemini-israel-funds	{'date': '2005-02-15', 'weight': '/organization/prolify'}
91468	/organization/intel-capital	{'date': '2005-02-01', 'weight': '/organization/aventeon'}
29061	/organization/rho-capital-ventures	{'date': '2005-01-31', 'weight': '/organization/vieo'}
53102	/organization/crosspoint-venture-partners	{'date': '2005-01-31', 'weight': '/organization/wherenet'}
52596	/organization/kestrel-capital	{'date': '2005-03-16', 'weight': '/organization/catapult-genetics'}
96838	/organization/uv-partners	{'date': '2005-02-24', 'weight': '/organization/cogito'}
7965	/organization/gabriel-venture-partners	{'date': '2005-03-22', 'weight': '/organization/encentuate'}
10349	/organization/partech-international	{'date': '2005-03-29', 'weight': '/organization/exfo'}
79868	/organization/vspring-capital	{'date': '2005-02-24', 'weight': '/organization/cogito'}
31544	/organization/3i-group	{'date': '2005-02-01', 'weight': '/organization/bluelithium'}
11834	/organization/mobius-venture-capital	{'date': '2005-03-22', 'weight': '/organization/loyalty-lab'}
33812	/organization/the-individuals-venture-fund	{'date': '2005-03-08', 'weight': '/organization/pintail-technologies'}
96093	/organization/pitango-venture-capital	{'date': '2005-02-15', 'weight': '/organization/prolify'}
8337	/organization/singapore-bio-innovations	{'date': '2005-02-08', 'weight': '/organization/five-prime-therapeutics'}
43346	/organization/tvm-capital	{'date': '2005-03-08', 'weight': '/organization/sirtris-pharmaceuticals'}
35634	/person/rajeev-motwani	{'date': '2005-03-01', 'weight': '/organization/kaboodle'}
20689	/organization/invus	{'date': '2005-03-18', 'weight': '/organization/elixir-medical'}
35844	/organization/yfm-venture-finance	{'date': '2005-02-01', 'weight': '/organization/celltran'}
82189	/organization/morgenthaler-ventures	{'date': '2005-03-22', 'weight': '/organization/nominum'}
28136	/organization/morgenthaler-ventures	{'date': '2005-03-09', 'weight': '/organization/agility-communications'}
19148	/organization/aig-orion	{'date': '2005-02-07', 'weight': '/organization/mobilitec'}
18985	/organization/mti-ventures	{'date': '2005-02-17', 'weight': '/organization/medisyn-technologies'}
73271	/organization/key-venture-partners	{'date': '2005-01-31', 'weight': '/organization/smartlink-radio-networks'}
54700	/organization/telus-ventures	{'date': '2005-03-29', 'weight': '/organization/exfo'}
15625	/organization/summit-partners	{'date': '2005-03-02', 'weight': '/organization/actix'}
44471	/organization/waldenvc	{'date': '2005-02-01', 'weight': '/organization/bluelithium'}
10231	/organization/siemens-venture-capital	{'date': '2005-03-01', 'weight': '/organization/vpisystems'}
80954	/organization/primus-capital-management	{'date': '2005-03-28', 'weight': '/organization/nebotrade'}
