	investor	{'date': 'invest_date', 'weight': 'company'}
22926	/organization/new-enterprise-associates	{'date': '2008-09-05', 'weight': '/organization/channeladvisor'}
52469	/organization/idg-capital-partners	{'date': '2005-03-01', 'weight': '/organization/dacheng-network'}
26397	/organization/lehman-brothers	{'date': '2008-08-19', 'weight': '/organization/clearme'}
52461	/organization/ask-venture-partners	{'date': '2007-06-05', 'weight': '/organization/guestcentric'}
52464	/organization/redpoint-ventures	{'date': '2007-01-16', 'weight': '/organization/vativ-technologies'}
69889	/organization/wrf-capital	{'date': '2007-09-05', 'weight': '/organization/hyperion'}
104714	/organization/red-abbey-venture-partners	{'date': '2005-05-11', 'weight': '/organization/anacor-pharmaceutical'}
53738	/organization/general-catalyst-partners	{'date': '2007-07-01', 'weight': '/organization/going'}
95799	/organization/vf-venture	{'date': '2008-09-01', 'weight': '/organization/smartshare-systems'}
95798	/organization/agilent-ventures	{'date': '2005-03-22', 'weight': '/organization/telasic-communications'}
53733	/organization/cdh-investments	{'date': '2006-11-01', 'weight': '/organization/qihoo-360-technology'}
9525	/organization/labrador-ventures	{'date': '2006-07-01', 'weight': '/organization/jangl-sms'}
86800	/organization/ws-investments	{'date': '2006-12-12', 'weight': '/organization/kintera'}
9252	/organization/bscope-partners	{'date': '2006-05-23', 'weight': '/organization/beijing-lingtu-software'}
9253	/organization/summit-partners	{'date': '2006-02-10', 'weight': '/organization/quietstream-financial'}
9250	/organization/tvm-capital	{'date': '2005-02-01', 'weight': '/organization/aventeon'}
101352	/organization/launchpad-venture-group	{'date': '2006-08-15', 'weight': '/organization/gaterocket'}
22743	/organization/ridgewood-capital	{'date': '2007-09-06', 'weight': '/organization/atempo'}
24886	/organization/oak-investment-partners	{'date': '2006-11-10', 'weight': '/organization/ontela-2'}
65503	/organization/mercury-fund	{'date': '2008-07-01', 'weight': '/organization/phurnace-software'}
81858	/person/yair-goldfinger	{'date': '2007-06-01', 'weight': '/organization/knockatv'}
21616	/organization/defta-partners	{'date': '2007-09-01', 'weight': '/organization/meevee'}
47672	/organization/venio-capital-partners	{'date': '2008-05-01', 'weight': '/organization/bigfoot-networks'}
84121	/person/jarl-mohn	{'date': '2007-11-01', 'weight': '/organization/vobile'}
72700	/organization/the-ecoast-angel-network	{'date': '2008-09-16', 'weight': '/organization/mypunchbowl'}
69171	/organization/imperial-innovations	{'date': '2008-04-30', 'weight': '/organization/spiral-gateway'}
64452	/organization/venrock	{'date': '2007-03-01', 'weight': '/organization/ironwood-pharmaceuticals'}
101354	/organization/nomad-venture-fund	{'date': '2006-07-06', 'weight': '/organization/konaware'}
26025	/organization/warburg-pincus	{'date': '2006-04-05', 'weight': '/organization/rmi-corporation'}
92094	/organization/dcm	{'date': '2008-09-01', 'weight': '/organization/mineloader-software-co-ltd'}
64459	/organization/cmea-capital	{'date': '2007-09-05', 'weight': '/organization/netbooks'}
45112	/person/pierre-chappaz	{'date': '2006-03-01', 'weight': '/organization/netvibes'}
69411	/organization/goldman-sachs	{'date': '2006-12-01', 'weight': '/organization/orthomimetics'}
11950	/organization/viveris-management	{'date': '2007-09-07', 'weight': '/organization/seanodes'}
32511	/person/bob-pittman	{'date': '2008-01-01', 'weight': '/organization/zynga'}
63814	/organization/alliancebernstein	{'date': '2008-04-21', 'weight': '/organization/obopay'}
44241	/person/michael-arrington	{'date': '2007-05-01', 'weight': '/organization/dancejam'}
44795	/organization/palo-alto-investors	{'date': '2007-09-01', 'weight': '/organization/gemfire'}
44794	/organization/warburg-pincus	{'date': '2007-03-14', 'weight': '/organization/aicent'}
44245	/organization/jk-b-capital	{'date': '2005-12-12', 'weight': '/organization/counterstorm'}
80095	/organization/venrock	{'date': '2008-07-01', 'weight': '/organization/shopflick'}
5984	/organization/summit-partners	{'date': '2006-06-02', 'weight': '/organization/aurora-diagnostics'}
63543	/organization/sig-china	{'date': '2006-12-01', 'weight': '/organization/qqtechnology'}
42830	/organization/metamorphic-ventures-llc	{'date': '2006-08-31', 'weight': '/organization/easycopay'}
49302	/organization/high-peaks-venture-partners	{'date': '2005-08-01', 'weight': '/organization/allworx'}
37792	/organization/technology-venture-partners-us	{'date': '2007-05-01', 'weight': '/organization/tesla-motors'}
49307	/organization/lehman-brothers	{'date': '2008-06-05', 'weight': '/organization/nile-guide'}
46866	/organization/meritech-capital-partners	{'date': '2007-04-19', 'weight': '/organization/reliant-technologies'}
38503	/organization/phenomenelle-angels	{'date': '2008-01-22', 'weight': '/organization/trafficcast'}
84699	/organization/adams-street-partners	{'date': '2008-09-09', 'weight': '/organization/sportgenic'}
102289	/organization/scottish-equity-partners	{'date': '2008-06-06', 'weight': '/organization/arkex'}
98869	/organization/vimac-milestone-medical-fund	{'date': '2005-12-12', 'weight': '/organization/angiochem'}
27036	/organization/paypal	{'date': '2007-10-24', 'weight': '/organization/mfoundry'}
68173	/organization/austin-investment-management	{'date': '2008-05-30', 'weight': '/organization/bullhorn'}
3512	/organization/intersouth-partners	{'date': '2008-04-23', 'weight': '/organization/aldagen'}
38509	/organization/kennet-venture-partners	{'date': '2005-10-09', 'weight': '/organization/envox-group'}
41287	/organization/capybara-ventures	{'date': '2005-12-05', 'weight': '/organization/you-software'}
75056	/organization/ofer-hi-tech	{'date': '2006-09-27', 'weight': '/organization/nextnine'}
90311	/organization/3i-group	{'date': '2007-05-01', 'weight': '/organization/fabrik'}
90312	/organization/mci-management	{'date': '2006-07-11', 'weight': '/organization/retail-info'}
2689	/organization/ignition-partners	{'date': '2005-03-15', 'weight': '/organization/rlx-technologies'}
99197	/organization/meitav-underwriting	{'date': '2007-02-13', 'weight': '/organization/collplant'}
70665	/organization/linden-mobile-ventures	{'date': '2007-01-01', 'weight': '/organization/peak-it'}
99199	/organization/dfj-tamir-fishman-ventures	{'date': '2006-09-08', 'weight': '/organization/fusion-dynamic'}
70668	/organization/duchossois-technology-partners	{'date': '2005-02-07', 'weight': '/organization/mobilitec'}
2682	/organization/partech-international	{'date': '2007-04-01', 'weight': '/organization/alchimer'}
2683	/organization/tao-venture-partners	{'date': '2007-09-10', 'weight': '/organization/activenetwork'}
14627	/organization/kleiner-perkins-caufield-byers	{'date': '2005-12-07', 'weight': '/organization/celladon'}
71829	/organization/verdane-capital	{'date': '2005-12-05', 'weight': '/organization/maxware'}
71827	/organization/poalim-ventures	{'date': '2007-01-10', 'weight': '/organization/sansa-security'}
53276	/organization/idg-capital-partners	{'date': '2007-02-01', 'weight': '/organization/139shop'}
71824	/organization/novus-ventures	{'date': '2006-01-09', 'weight': '/organization/encirq-corporation'}
71821	/organization/safeguard-scientifics	{'date': '2007-02-27', 'weight': '/organization/advanced-biohealing'}
68287	/organization/transcosmos	{'date': '2007-09-01', 'weight': '/organization/meez'}
61171	/organization/draper-esprit	{'date': '2006-09-25', 'weight': '/organization/siconnect'}
58213	/organization/investcorp-gulf-investments	{'date': '2007-11-27', 'weight': '/organization/platform-solutions'}
38648	/person/mrt-kelder	{'date': '2008-02-01', 'weight': '/organization/edicy'}
50640	/organization/intel-capital	{'date': '2006-05-16', 'weight': '/organization/pando-networks'}
104843	/organization/3i-group	{'date': '2005-10-01', 'weight': '/organization/peerflix'}
30417	/organization/reliance-capital	{'date': '2006-01-11', 'weight': '/organization/yatra-online'}
76623	/organization/environmental-technologies-fund	{'date': '2007-06-26', 'weight': '/organization/metalysis'}
59767	/organization/artiman-ventures	{'date': '2008-09-30', 'weight': '/organization/xambala'}
36157	/organization/schroder-ventures	{'date': '2008-08-28', 'weight': '/organization/aea-technology'}
82197	/organization/warburg-pincus	{'date': '2007-07-01', 'weight': '/organization/rda-microelectronics'}
40193	/organization/dn-capital	{'date': '2008-02-21', 'weight': '/organization/familybuilder'}
36151	/organization/t-venture	{'date': '2006-07-18', 'weight': '/organization/voiceobjects'}
70485	/organization/sierra-ventures	{'date': '2006-01-30', 'weight': '/organization/axentis-software'}
28914	/organization/kleiner-perkins-caufield-byers	{'date': '2008-02-29', 'weight': '/organization/akimbo'}
21319	/person/j-b-pritzker	{'date': '2007-06-01', 'weight': '/organization/viewpoints'}
78668	/organization/ventech-capital	{'date': '2006-01-09', 'weight': '/organization/xytis'}
54173	/person/andy-rankin	{'date': '2007-11-01', 'weight': '/organization/hark'}
54174	/organization/business-development-bank-of-canada	{'date': '2005-11-29', 'weight': '/organization/adnavance-technologies'}
54175	/person/brett-jackson-3	{'date': '2007-10-01', 'weight': '/organization/madkast'}
89619	/organization/sv-angel	{'date': '2006-03-01', 'weight': '/organization/tremor-video'}
89618	/organization/industrifonden	{'date': '2006-11-22', 'weight': '/organization/micromuscle'}
89617	/organization/keiretsu-forum	{'date': '2006-11-15', 'weight': '/organization/qbinternational'}
89616	/organization/pacific-horizon-ventures	{'date': '2007-07-16', 'weight': '/organization/viacyte'}
71752	/organization/trinity-ventures	{'date': '2005-08-01', 'weight': '/organization/mspot'}
89961	/organization/charles-river-ventures	{'date': '2008-06-24', 'weight': '/organization/greatcall'}
71754	/person/jon-callaghan	{'date': '2007-07-01', 'weight': '/organization/chesspark'}
91788	/organization/summit-partners	{'date': '2007-06-12', 'weight': '/organization/liveoffice'}
14688	/person/esther-dyson	{'date': '2008-09-14', 'weight': '/organization/dopplr'}
