investor,company,weight,date
/organization/third-wave-digital,/organization/irocke,425000,2012-12-01
/organization/y-combinator,/organization/terascore,100000,2012-12-01
/organization/seedcamp,/organization/simpletax,80116,2012-12-01
/organization/battelle-ventures,/organization/proterro,700000,2012-12-01
/organization/samothrace-partners,/organization/delectable,0,2012-12-01
/organization/kalaari-capital,/organization/apalya,2000000,2012-12-01
/person/otto-othman,/organization/nightpro,23750,2012-12-01
/person/mike-head,/organization/gocella,208333,2012-12-01
/person/kieran-walsh,/organization/whatsalon,81162,2012-12-01
/organization/rothenberg-ventures,/organization/careport-health,0,2012-12-01
/organization/atlas-venture,/organization/gocella,208333,2012-12-01
/organization/cisco,/organization/apalya,2000000,2012-12-01
/person/mikhail-chuchkevich,/organization/maraquia,166666,2012-12-01
/person/ricky-thomas,/organization/sopost,68899,2012-12-01
/person/farzad-nazem,/organization/hapara,1500000,2012-12-01
/person/david-oflynn,/organization/whatsalon,81162,2012-12-01
/person/jon-kiehnau,/organization/struts-springs,0,2012-12-01
/organization/portfolion,/organization/d-g-thermoset,0,2012-12-01
/organization/wayra,/organization/chasqui-bus,50000,2012-12-01
/organization/zhonglu-capital,/organization/lishang-flower-website,0,2012-12-01
/person/bruce-holland,/organization/healthid-profile,145000,2012-12-01
/organization/de-anda-capital,/organization/hover-3d,1033333,2012-12-01
/person/mike-mccauley,/organization/get-myo,276747,2012-12-01
/organization/fundersclub,/organization/partnered,49200,2012-12-01
/organization/north-west-fund,/organization/kanichi-research-services,456463,2012-12-01
/organization/rightventures,/organization/striking-ly,0,2012-12-01
/person/yuri-pikover,/organization/atlas-powered,100000,2012-12-01
/organization/union-square-ventures,/organization/heyzap,2150000,2012-12-01
/organization/innpulsa-colombia,/organization/red-mapache,150000,2012-12-01
/organization/gabriel-investments,/organization/sidecar,250000,2012-12-01
/organization/mobile-internet-capital,/organization/san-home-entertainment,0,2012-12-01
/organization/savannah-fund,/organization/safaridesk,25000,2012-12-01
/organization/lightbank,/organization/dough,4000000,2012-12-01
