investor,company,weight,date
/organization/kleiner-perkins-caufield-byers,/organization/storenvy,152500,2011-01-01
/organization/siemer-ventures,/organization/xylem,0,2011-01-01
/organization/techstars,/organization/nestio,18000,2011-01-01
/organization/thrive-capital,/organization/jump-ramp-games,0,2011-01-01
/organization/charles-river-ventures,/organization/mightytext,54166,2011-01-01
/person/marcel-boekhoorn,/organization/crowdmob,100000,2011-01-01
/person/n-r-narayana-murthy-2,/organization/yebhi,4500000,2011-01-01
/organization/kima-ventures,/organization/graine-de-cadeaux,66674,2011-01-01
/organization/start-up-chile,/organization/cruisewise,1700000,2011-01-01
/organization/kleiner-perkins-caufield-byers,/organization/karma,0,2011-01-01
/person/klaas-kersting,/organization/spreadsave,0,2011-01-01
/organization/sig-china,/organization/alltech-medical-systems,0,2011-01-01
/organization/dt-capital-partners,/organization/letao,10000000,2011-01-01
/organization/gmo-venturepartners,/organization/popin,0,2011-01-01
/person/david-fischer,/organization/videosurf,2800000,2011-01-01
/organization/sequoia-capital,/organization/churn-labs,0,2011-01-01
/person/kevin-henrikson,/organization/embee-mobile,0,2011-01-01
/organization/e-ventures,/organization/friendsurance,0,2011-01-01
/organization/omidyar-network,/organization/sunlight-foundation,2527820,2011-01-01
/person/ashton-kutcher,/organization/chloe-isabel,295454,2011-01-01
/person/david-wu,/organization/oncohealth,416666,2011-01-01
/organization/lightspeed-venture-partners,/organization/friend-ly,416666,2011-01-01
/organization/burch-creative-capital,/organization/onehope,444444,2011-01-01
/organization/infinity,/organization/yeahka,0,2011-01-01
/person/todd-tapin,/organization/rexter,166666,2011-01-01
/organization/techstars,/organization/thinknear,0,2011-01-01
/person/david-cohen,/organization/the-shared-web,25000,2011-01-01
/organization/techstars,/organization/toviefor,18000,2011-01-01
/person/brian-shire,/organization/crowdbooster,0,2011-01-01
/organization/decent-capital,/organization/shenzhen-7road-technology-co-ltd,0,2011-01-01
/organization/national-science-foundation,/organization/lecturetools,500000,2011-01-01
/organization/dentressangle-initiatives,/organization/limonetik,2271540,2011-01-01
/person/royce-disini,/organization/crowdbooster,0,2011-01-01
/organization/sequoia-capital,/organization/newsummitbio,0,2011-01-01
/person/caterina-fake,/organization/chloe-isabel,295454,2011-01-01
/organization/rocket-internet,/organization/dafiti,25000000,2011-01-01
/organization/start-fund,/organization/taskforce,0,2011-01-01
/organization/qed-investors,/organization/the-americas-card,0,2011-01-01
/organization/china-equity,/organization/mbaobao,2000000,2011-01-01
/organization/new-enterprise-associates,/organization/huddler,8500000,2011-01-01
/person/wences-casares,/organization/gengo,160000,2011-01-01
/organization/500-startups,/organization/donorsplay,0,2011-01-01
/organization/techstars,/organization/memoir,18000,2011-01-01
/person/ben-ling,/organization/striiv,0,2011-01-01
/person/stan-chudnovsky,/organization/friend-ly,416666,2011-01-01
/organization/sequoia-capital,/organization/wochacha,10000000,2011-01-01
/organization/emergic-venture-capital,/organization/knowlarity-communications,0,2011-01-01
/organization/index-ventures,/organization/soundcloud,5000000,2011-01-01
/person/ricardo-poupada,/organization/dokdok,175360,2011-01-01
/person/usama-fayyad,/organization/mineeds,2000000,2011-01-01
/organization/y-combinator,/organization/bridge,0,2011-01-01
/person/filip-maertens,/organization/jini,466911,2011-01-01
/person/jeff-martin,/organization/videosurf,2800000,2011-01-01
/person/david-tisch,/organization/the-shared-web,25000,2011-01-01
/person/vishal-gurbuxani,/organization/onehope,444444,2011-01-01
/organization/one-ventures,/organization/smart-sparrow,1000000,2011-01-01
/person/sky-dayton,/organization/gobbler,260000,2011-01-01
/person/roberto-cipollini,/organization/doochoo,40428,2011-01-01
/person/aaron-rodgers,/organization/onehope,444444,2011-01-01
/organization/tigris-capital,/organization/referralcandy,0,2011-01-01
/organization/qed-investors,/organization/red-ventures,0,2011-01-01
/person/alonzo-mourning,/organization/fileblaze,0,2011-01-01
/person/daniel-miller-3,/organization/fundrise,1000000,2011-01-01
/organization/azione-capital-pte-ltd,/organization/designhub,25000,2011-01-01
/organization/matrix-partners,/organization/huddler,8500000,2011-01-01
/organization/rimage,/organization/briefcam,5200000,2011-01-01
/person/paul-buchheit,/organization/circle-inc,71428,2011-01-01
/person/alex-zubillaga,/organization/tonara,125000,2011-01-01
/person/cesare-guarini,/organization/doochoo,40428,2011-01-01
/person/sheryl-sandberg,/organization/videosurf,2800000,2011-01-01
/organization/k2-ventures,/organization/lc-style-com,151515,2011-01-01
/organization/sv-angel,/organization/crowdbooster,0,2011-01-01
/person/jesse-robbins,/organization/fastly,0,2011-01-01
/organization/real-ventures,/organization/factyle,0,2011-01-01
/organization/launchhouse,/organization/good-greens,0,2011-01-01
/organization/start-fund,/organization/fivestars-loyalty,75000,2011-01-01
/person/rod-watson,/organization/icount-com,23928,2011-01-01
/organization/progressivist-investment-capital,/organization/knowlarity-communications,0,2011-01-01
/organization/confrapar,/organization/cromoup,0,2011-01-01
/organization/azione-capital-pte-ltd,/organization/coupmon,25000,2011-01-01
/organization/137-ventures,/organization/visto,0,2011-01-01
/organization/point-nine-capital,/organization/gengo,160000,2011-01-01
/organization/green-pine-capital,/organization/fanfou-com,1515151,2011-01-01
/organization/espirito-santo-ventures,/organization/berd,0,2011-01-01
/organization/university-of-michigan-ann-arbor,/organization/lecturetools,500000,2011-01-01
/organization/village-ventures,/organization/on-deck,6250000,2011-01-01
/organization/khosla-ventures,/organization/taptolearn,0,2011-01-01
/organization/kleiner-perkins-caufield-byers,/organization/beijing-redbaby-internet-technology,5000000,2011-01-01
/organization/pitango-venture-capital,/organization/videosurf,2800000,2011-01-01
/organization/ivic-ventures,/organization/edealya,250000,2011-01-01
/organization/true-ventures,/organization/keep-holdings,7000000,2011-01-01
/organization/eniac-ventures,/organization/taptolearn,0,2011-01-01
/organization/quotidian-ventures,/organization/splash,0,2011-01-01
/organization/500-startups,/organization/spoondate,0,2011-01-01
/organization/thetime,/organization/zrro,1000000,2011-01-01
/organization/biogenerator,/organization/apertus-pharmaceuticals,0,2011-01-01
/organization/tomorrow-ventures,/organization/twitpay,0,2011-01-01
/organization/felicis-ventures,/organization/chloe-isabel,295454,2011-01-01
/organization/verizon-ventures,/organization/videosurf,2800000,2011-01-01
/organization/enisa,/organization/linkovery,66810,2011-01-01
/person/saar-gur,/organization/circle-inc,71428,2011-01-01
/organization/sf-capital,/organization/on-deck,6250000,2011-01-01
/organization/startupangel,/organization/rewardsforce,200000,2011-01-01
/organization/sequoia-capital,/organization/flight-steward,5000000,2011-01-01
/person/pavel-khodorkovskiy,/organization/enertiv,60000,2011-01-01
/person/esther-dyson,/organization/crowdbooster,0,2011-01-01
/organization/qualcomm-ventures,/organization/embee-mobile,0,2011-01-01
/organization/mitsubishi-ufj-capital,/organization/zrro,1000000,2011-01-01
/person/kevin-hartz,/organization/friend-ly,416666,2011-01-01
/organization/lightbank,/organization/crowdrise,0,2011-01-01
/organization/ballpark-ventures,/organization/menschmaschine-publishing,0,2011-01-01
/organization/decent-capital,/organization/shenzhen-qvod-technology-co-ltd,0,2011-01-01
/organization/jacard-investimentos,/organization/axado,0,2011-01-01
/person/matt-ocko,/organization/crowdmob,100000,2011-01-01
/organization/charlotte-street-capital,/organization/gosquared,0,2011-01-01
/organization/chief-scientist-the-state-of-israel,/organization/actus-digital,500000,2011-01-01
/organization/lventures,/organization/soundreef,0,2011-01-01
/organization/w-media-ventures,/organization/silkstart,0,2011-01-01
/person/eduardo-saverin,/organization/crowdmob,100000,2011-01-01
/organization/founder-collective,/organization/chloe-isabel,295454,2011-01-01
/organization/wasabi-ventures,/organization/peku-publications,150000,2011-01-01
/organization/nokia-growth-partners,/organization/techprocess-solutions-ltd,6000000,2011-01-01
/person/noah-goodhart,/organization/bread-labs,485714,2011-01-01
/organization/high-tech-gruenderfonds,/organization/fliplife,0,2011-01-01
/person/toivo-annus,/organization/referralcandy,0,2011-01-01
/organization/jerusalem-venture-partners,/organization/celltick-technologies,4000000,2011-01-01
/organization/legendstar,/organization/idreamsky-technology,227272,2011-01-01
/person/esther-dyson,/organization/nanorex,0,2011-01-01
/person/ben-ling,/organization/wholeshare,0,2011-01-01
/organization/quotidian-ventures,/organization/idea-me,12500,2011-01-01
/person/chamath-palihapitiya,/organization/red-robot-labs,1000000,2011-01-01
/person/connell-mcgill-jr,/organization/enertiv,60000,2011-01-01
/organization/y-combinator,/organization/taskforce,0,2011-01-01
/organization/shenzhen-capital-group,/organization/sinobpo,0,2011-01-01
/organization/boxgroup,/organization/the-shared-web,25000,2011-01-01
/person/jim-pallotta,/organization/taptolearn,0,2011-01-01
/person/seth-zalkin,/organization/vitrinepix,0,2011-01-01
/organization/new-enterprise-associates,/organization/cruisewise,0,2011-01-01
/organization/nyc-seed,/organization/categorical,0,2011-01-01
/person/ron-conway,/organization/friend-ly,416666,2011-01-01
/person/malcolm-lee,/organization/fileblaze,0,2011-01-01
/organization/er-accelerator,/organization/webthriftstore,0,2011-01-01
/person/anonymous-investor,/organization/hudson-media-ventures-dynamo-player,125000,2011-01-01
/organization/idealab,/organization/triptrotting,150000,2011-01-01
/organization/quotidian-ventures,/organization/clip,0,2011-01-01
/person/robert-dighero,/organization/gosquared,0,2011-01-01
/organization/tomorrow-ventures,/organization/fanaticall,0,2011-01-01
/person/jay-levy,/organization/the-shared-web,25000,2011-01-01
/organization/dcu-ryan-academy-for-entrepreneurship,/organization/fantom,40020,2011-01-01
/organization/500-startups,/organization/yongopal,25000,2011-01-01
/organization/amadeus-capital-partners,/organization/celltick-technologies,4000000,2011-01-01
/person/ariel-poler,/organization/friend-ly,416666,2011-01-01
/organization/summit-action-fund,/organization/gobbler,260000,2011-01-01
/person/eileen-burbidge,/organization/gosquared,0,2011-01-01
/organization/mci-management,/organization/kompan-pl,0,2011-01-01
/organization/columbia-university-lang-fund,/organization/booklr,500000,2011-01-01
/organization/cm-cic-capital-prive,/organization/antidot,3500000,2011-01-01
/organization/prostor-capital,/organization/dnevnik-ru,1700000,2011-01-01
/person/adora-cheung-2,/organization/crowdbooster,0,2011-01-01
/organization/nfq-ventures,/organization/fuse-powered,3500000,2011-01-01
/person/david-cohen,/organization/storenvy,152500,2011-01-01
/person/jim-payne,/organization/feedgen,0,2011-01-01
/person/al-gore,/organization/videosurf,2800000,2011-01-01
/organization/matrix-partners-china,/organization/ele-me,0,2011-01-01
/organization/jumpstart-foundry,/organization/daio,0,2011-01-01
/person/gil-elbaz,/organization/rexter,166666,2011-01-01
/organization/launchhouse,/organization/groundbooth,0,2011-01-01
/person/ellen-levy,/organization/mightytext,54166,2011-01-01
/person/mayra-hernandez,/organization/aporta-inc,0,2011-01-01
