investor,company,weight,date
/organization/start-fund,/organization/viacycle,0,2012-06-01
/organization/3wventures-com,/organization/agile-wind-power,618956,2012-06-01
/organization/pritzker-group-venture-capital,/organization/fibroblast,37500,2012-06-01
/organization/boxgroup,/organization/adstruc,0,2012-06-01
/organization/sv-angel,/organization/blend-labs,0,2012-06-01
/organization/vertex-venture-holdings,/organization/yohobuy,10000000,2012-06-01
/person/steve-garfield,/organization/cmp-ly,600000,2012-06-01
/organization/telefonica,/organization/edenes,24779,2012-06-01
/organization/mohr-davidow-ventures,/organization/nanosolar,23333333,2012-06-01
/person/neha-singh,/organization/traveltriangle-com,50000,2012-06-01
/organization/accel-partners,/organization/locbox,840166,2012-06-01
/organization/500-startups,/organization/reclip-it,23333,2012-06-01
/organization/andreessen-horowitz,/organization/blend-labs,0,2012-06-01
/organization/nanabianca,/organization/joturl,30000,2012-06-01
/organization/pritzker-group-venture-capital,/organization/cureeo,37500,2012-06-01
/organization/rock-health,/organization/rxapps,20000,2012-06-01
/organization/formation8,/organization/blend-labs,0,2012-06-01
/organization/u-s-department-of-energy,/organization/arbsource,150000,2012-06-01
/organization/lightbank,/organization/neighborhoods,0,2012-06-01
/organization/ulu-ventures,/organization/proven-com,105625,2012-06-01
/organization/khosla-impact,/organization/babajob,0,2012-06-01
/organization/innova-memphis,/organization/quantum-surgical,250000,2012-06-01
/organization/fenox-venture-capital,/organization/socialize,0,2012-06-01
/organization/innovation-garden,/organization/wasabi-3d,120000,2012-06-01
/organization/united-ventures,/organization/halldis,0,2012-06-01
/organization/hanwha-investment-corp,/organization/igaworks,1500000,2012-06-01
/organization/pritzker-group-venture-capital,/organization/71lbs,37500,2012-06-01
/organization/excelerate-labs,/organization/frintit,37500,2012-06-01
/organization/highland-capital-partners,/organization/betterfit-technologies,15000,2012-06-01
/organization/pritzker-group-venture-capital,/organization/pictarine,37500,2012-06-01
/organization/aeris-capital,/organization/nanosolar,23333333,2012-06-01
/organization/area-science-park,/organization/barcheyacht-it,96641,2012-06-01
/organization/rock-health,/organization/chickrx,540000,2012-06-01
/organization/trinity-ventures,/organization/hyperbees,110000,2012-06-01
