investor,company,weight,date
/organization/karlani-capital,/organization/o2gen-solutions,0,2013-06-01
/organization/telecom-italia,/organization/bancha,32521,2013-06-01
/organization/wayra,/organization/contratan-do,47917,2013-06-01
/person/eric-chen-4,/organization/annelutfen-com,410000,2013-06-01
/organization/kima-ventures,/organization/boatbound,142857,2013-06-01
/organization/idg-capital-partners,/organization/weipass,4000000,2013-06-01
/person/ligaya-tichy,/organization/experiment,53478,2013-06-01
/organization/nesta-4,/organization/digital-assess,0,2013-06-01
/person/farzad-nazem,/organization/justone-database-inc,312500,2013-06-01
/person/james-altucher,/organization/optimal,450000,2013-06-01
/organization/media-camp,/organization/channelmeter,0,2013-06-01
/person/safa-rashtchy,/organization/annelutfen-com,410000,2013-06-01
/organization/angel-cofund,/organization/adpoints,1520534,2013-06-01
/person/rob-emrich,/organization/watchsend,0,2013-06-01
/person/jeff-hammerbacher,/organization/building-robotics,126666,2013-06-01
/organization/learnlaunchx,/organization/countdown,18000,2013-06-01
/person/dave-eisenberg,/organization/building-robotics,126666,2013-06-01
/person/fabrice-grinda,/organization/cellmemore,0,2013-06-01
/organization/wayra,/organization/red-innova,52840,2013-06-01
/organization/conversion-capital-llc,/organization/osper,1216427,2013-06-01
/organization/correlation-ventures,/organization/edo-interactive,2333366,2013-06-01
/organization/the-social-internet-fund,/organization/optimal,450000,2013-06-01
/organization/dreamit-ventures,/organization/medlio,125000,2013-06-01
/organization/slow-ventures,/organization/yoi,375000,2013-06-01
/organization/rock-health,/organization/thriveon,0,2013-06-01
/organization/sierra-maya-ventures,/organization/pick1,0,2013-06-01
/person/blake-master,/organization/leap-3,20000,2013-06-01
/organization/draper-nexus-ventures,/organization/shift-4,0,2013-06-01
/organization/streamlined-ventures,/organization/citus-data,2000000,2013-06-01
/organization/wayra,/organization/merfac,16667,2013-06-01
/organization/tigerlabs,/organization/present-tv,20000,2013-06-01
/organization/techlaunch,/organization/invidio,25000,2013-06-01
/organization/techstars,/organization/panopen,62500,2013-06-01
/person/suraj-rajwani,/organization/optimal,450000,2013-06-01
/organization/rightventures,/organization/exitround,0,2013-06-01
/organization/wefunder,/organization/watchsend,0,2013-06-01
/organization/ace-and-company,/organization/truly-2,0,2013-06-01
/organization/alphalab,/organization/athletetrax,25000,2013-06-01
/organization/wayra,/organization/loharia,32906,2013-06-01
/organization/rre-ventures,/organization/yoi,375000,2013-06-01
/organization/freestyle-capital,/organization/intercom,2000000,2013-06-01
/organization/lanzadera-accelerator,/organization/inventurecloud,73336,2013-06-01
/person/ross-buhrdorf,/organization/looknook,166666,2013-06-01
/person/fabrice-grinda,/organization/moni,0,2013-06-01
/organization/cass-entrepreneurship-fund,/organization/frontier-mea-2,380133,2013-06-01
/organization/neu-venture-capital,/organization/optimal,450000,2013-06-01
/person/josue-gio,/organization/lastroom,200000,2013-06-01
/organization/launch-tennessee,/organization/computable-genomix,425250,2013-06-01
/person/balaji-s-srinivasan,/organization/leap-3,20000,2013-06-01
/organization/zhonglu-capital,/organization/two-springs-net,162364,2013-06-01
/organization/silicon-valley-bank,/organization/optimal,1250000,2013-06-01
/organization/ceyuan-ventures,/organization/deep-glint,500000,2013-06-01
/organization/teres-capital-ltd,/organization/carista-app,0,2013-06-01
/person/lars-dittrich,/organization/foundd,116666,2013-06-01
/organization/social-starts,/organization/flydata,231250,2013-06-01
/organization/rock-health,/organization/amplify-health,0,2013-06-01
/organization/kddi-open-innovation-fund,/organization/plumzi,0,2013-06-01
/organization/innovation-angel-fund,/organization/viewshare,0,2013-06-01
/organization/innovation-norway,/organization/kybernesis,47050,2013-06-01
/person/capital-m-group,/organization/panopen,62500,2013-06-01
/organization/idg-capital-partners,/organization/sxbbm,162778,2013-06-01
/organization/y-combinator,/organization/floobits,0,2013-06-01
/organization/angellab,/organization/psonar,0,2013-06-01
/organization/space-angels,/organization/nanoracks,1300000,2013-06-01
/organization/sandbox-industries,/organization/navihealth,1366666,2013-06-01
/organization/alibaba-capital-partners,/organization/taotaosou,3333333,2013-06-01
/organization/y-combinator,/organization/toutpost,0,2013-06-01
/organization/solidus-company,/organization/evermind,30000,2013-06-01
/organization/y-combinator,/organization/screenhero,900000,2013-06-01
/person/halle-tecco,/organization/experiment,53478,2013-06-01
/organization/blue-cross-blue-shield-of-massachusetts,/organization/operating-analytics,25000,2013-06-01
/organization/maryland-technology-development-corporation,/organization/social-toaster,433333,2013-06-01
/organization/lux-capital,/organization/experiment,53478,2013-06-01
/person/jaan-tallinn,/organization/experiment,53478,2013-06-01
/person/brian-sharples,/organization/looknook,166666,2013-06-01
/organization/techammer,/organization/experiment,53478,2013-06-01
/organization/learncapital,/organization/experiment,53478,2013-06-01
/person/david-lee,/organization/leap-3,20000,2013-06-01
/organization/formation8,/organization/building-robotics,126666,2013-06-01
/organization/sv-life-sciences,/organization/wellnow-urgent-care-holdings,4115000,2013-06-01
/organization/atlas-venture,/organization/boatbound,142857,2013-06-01
/organization/chattanooga-renaissance-fund,/organization/tidbitdotco,7500,2013-06-01
/organization/wayra,/organization/invoost,156102,2013-06-01
/organization/kima-ventures,/organization/kiwup,130000,2013-06-01
/organization/idealab,/organization/gamemix,0,2013-06-01
/organization/flashstarts,/organization/regulatorybinder,20000,2013-06-01
/organization/wayra,/organization/blanet,32206,2013-06-01
/person/daniel-knox,/organization/experiment,53478,2013-06-01
/organization/rough-draft-ventures,/organization/watchsend,0,2013-06-01
/person/private-investors-6,/organization/alkilu-enterprises,250000,2013-06-01
/organization/structure-capital,/organization/boatbound,142857,2013-06-01
/organization/red-dot-ventures,/organization/daylight-studios,467460,2013-06-01
/organization/dominatefund,/organization/graft-concepts,0,2013-06-01
/person/dave-schappell,/organization/experiment,53478,2013-06-01
/organization/teec-angel-fund,/organization/thriveon,0,2013-06-01
/organization/ame-cloud-ventures,/organization/justone-database-inc,312500,2013-06-01
/person/kiyoshi-nishikawa,/organization/flydata,231250,2013-06-01
/organization/ciie-iim-ahmedabad,/organization/formcept,0,2013-06-01
/organization/target-ventures,/organization/babadu,2000000,2013-06-01
/organization/bizdom-u,/organization/instorefinance-com,165000,2013-06-01
/organization/ventureast-tenet-fund,/organization/little-eye-labs,0,2013-06-01
/organization/china-rock-capital,/organization/axalent,0,2013-06-01
/organization/nashville-capital-network-investment-arm,/organization/care-team-connect,1309166,2013-06-01
/organization/china-growth-capital,/organization/joome,162778,2013-06-01
/organization/google-ventures,/organization/building-robotics,126666,2013-06-01
/organization/chattanooga-renaissance-fund,/organization/fwdhealth,7500,2013-06-01
/person/linda-avey,/organization/experiment,53478,2013-06-01
/organization/dt-capital-partners,/organization/taotaosou,3333333,2013-06-01
/organization/preangel,/organization/morning-tec,0,2013-06-01
/organization/orange-growth-capital-(ogc),/organization/moni-technologies,0,2013-06-01
/person/jade-wang,/organization/experiment,53478,2013-06-01
/organization/nashville-capital-network-investment-arm,/organization/unity-physician-partners,6006000,2013-06-01
/organization/finext-startup,/organization/optoforce,0,2013-06-01
/organization/sherpa-ventures,/organization/exitround,0,2013-06-01
/organization/lerer-ventures,/organization/poptip,650000,2013-06-01
/organization/wgi-group,/organization/optimal,450000,2013-06-01
/person/bill-warner-2,/organization/experiment,53478,2013-06-01
/organization/eleven,/organization/wonderswamp,32521,2013-06-01
/organization/500-startups,/organization/pick1,0,2013-06-01
/organization/nest-tn,/organization/opti-source,40000,2013-06-01
/organization/linden-mobile-ventures,/organization/surfly,0,2013-06-01
/organization/learnlaunchx,/organization/gradeable,18000,2013-06-01
/organization/redpoint-eventures,/organization/viajanet,0,2013-06-01
/organization/sequoia-capital,/organization/snowball-finance,10000000,2013-06-01
/organization/maryland-venture-fund,/organization/social-toaster,433333,2013-06-01
/organization/thinktiv,/organization/looknook,166666,2013-06-01
/organization/innovation-camp,/organization/axalent,0,2013-06-01
/organization/sequoia-capital,/organization/idc917,81389,2013-06-01
/organization/sequoia-capital,/organization/weibu,81389,2013-06-01
/organization/independence-blue-cross,/organization/medlio,125000,2013-06-01
/person/cyan-banister,/organization/leap-3,20000,2013-06-01
/organization/preangel,/organization/axalent,0,2013-06-01
/organization/sv-angel,/organization/experiment,53478,2013-06-01
/organization/preangel,/organization/sijibang-com,16277,2013-06-01
/organization/jmes-investments,/organization/foundd,116666,2013-06-01
/organization/rock-health,/organization/fluid-1,0,2013-06-01
/organization/expansion-venture-capital,/organization/boatbound,142857,2013-06-01
/organization/project-a-ventures,/organization/epicerie,2601704,2013-06-01
/organization/national-science-foundation,/organization/moving-analytics,50000,2013-06-01
/person/david-sacks,/organization/intercom,2000000,2013-06-01
/organization/artiman-ventures,/organization/cellmax,5000000,2013-06-01
