investor,company,weight,date
/organization/sequoia-capital,/organization/hantele,0,2010-03-01
/person/dave-mcclure,/organization/postling,38888,2010-03-01
/organization/amundi-private-equity-funds,/organization/metrixware,675000,2010-03-01
/person/paige-craig,/organization/postling,38888,2010-03-01
/organization/bay-partners,/organization/advanced-micro-fabrication-equipment,851666,2010-03-01
/organization/lightspeed-venture-partners,/organization/amec,730000,2010-03-01
/person/jeremy-arnon,/organization/postling,38888,2010-03-01
/organization/bluerun-ventures,/organization/3i-systems,2500000,2010-03-01
/organization/onset-ventures,/organization/placecast,1000000,2010-03-01
/organization/stonehenge-capital,/organization/ehealth-technologies-2,1250000,2010-03-01
/organization/techstars,/organization/marginize,12000,2010-03-01
/organization/upwest-labs,/organization/epoch,200000,2010-03-01
/organization/nokia-growth-partners,/organization/ucweb,0,2010-03-01
/organization/redpoint-ventures,/organization/advanced-micro-fabrication-equipment,851666,2010-03-01
/organization/tribunecompany,/organization/perfect-market,1500000,2010-03-01
/organization/funding-global-innovation,/organization/amec,730000,2010-03-01
/organization/bay-partners,/organization/amec,730000,2010-03-01
/person/alex-hoye,/organization/bravenewtalent,745836,2010-03-01
/person/yaln-ayaydn,/organization/inploid-corp,30000,2010-03-01
/organization/y-combinator,/organization/tweetflow,0,2010-03-01
/person/alphan-manas,/organization/inploid-corp,30000,2010-03-01
/organization/techstars,/organization/starstreet,0,2010-03-01
/organization/qualcomm-ventures,/organization/amec,730000,2010-03-01
/organization/openfund,/organization/sportmeets,0,2010-03-01
/organization/techstars,/organization/sparkcloud,0,2010-03-01
/organization/shenzhen-capital-group,/organization/3i-systems,2500000,2010-03-01
/organization/qualcomm-ventures,/organization/advanced-micro-fabrication-equipment,851666,2010-03-01
/organization/h-farm,/organization/uannabe,0,2010-03-01
/organization/trinity-ventures,/organization/perfect-market,1500000,2010-03-01
/organization/trustbridge-partners,/organization/yi-ji-electrical-appliance,0,2010-03-01
/organization/h-farm,/organization/showme-tv,0,2010-03-01
/organization/asahi-kasei,/organization/artisan-pharma,7333333,2010-03-01
/person/hansi-hansmann,/organization/busuu,0,2010-03-01
/organization/bluerun-ventures,/organization/utan,0,2010-03-01
/person/nevzat-aydin,/organization/inploid-corp,30000,2010-03-01
/organization/techstars,/organization/loudcaster,18000,2010-03-01
