investor,company,weight,date
/organization/betaspring,/organization/pennant,50000,2013-04-01
/organization/dcm,/organization/zerowire-inc,0,2013-04-01
/organization/ace-and-company,/organization/fivetran,0,2013-04-01
/organization/aavishkaar-goodwell,/organization/utkarsh-micro-finance,1200000,2013-04-01
/organization/voivoda-ventures,/organization/gremln,60000,2013-04-01
/organization/johnson-johnson-development-corporation,/organization/catalyst-biosciences,845333,2013-04-01
/person/several-industry-angels,/organization/itaro,0,2013-04-01
/organization/idealab,/organization/edisun-heliostats,0,2013-04-01
/organization/domain-associates,/organization/afferent-pharmaceuticals,2500000,2013-04-01
/organization/500-startups,/organization/safe-shepherd,125800,2013-04-01
/person/arvi-tavast,/organization/deltasight,66666,2013-04-01
/organization/teec-angel-fund,/organization/a4-data,0,2013-04-01
/organization/oak-investment-partners,/organization/mobitv,5499666,2013-04-01
/person/michele-giliberti,/organization/pubcoder,54885,2013-04-01
/person/mario-feghali,/organization/favor,200000,2013-04-01
/organization/advanced-technology-ventures,/organization/solar-junction,8116000,2013-04-01
/organization/silicon-valley-bank,/organization/gainsight,4500000,2013-04-01
/organization/partner-ventures,/organization/atrenta,950666,2013-04-01
/person/christian-tiessen,/organization/todaytickets,0,2013-04-01
/organization/resolute-vc,/organization/allihub,566666,2013-04-01
/person/chris-sacca,/organization/chewse,125000,2013-04-01
/organization/ata-ventures,/organization/kazaana-com,1325000,2013-04-01
/organization/ovp-venture-partners,/organization/aggregateknowledge,1088700,2013-04-01
/organization/bessemer-venture-partners,/organization/deliveryagent,2522800,2013-04-01
/organization/cmea-capital,/organization/spitfire-pharma,500000,2013-04-01
/person/chuck-gordon,/organization/favor,200000,2013-04-01
/organization/coalition,/organization/ordr-in,250000,2013-04-01
/organization/crowdcube,/organization/the-rushmore-group,760305,2013-04-01
/organization/signatures-capital,/organization/safe-shepherd,125800,2013-04-01
/person/ben-ling,/organization/redca,253125,2013-04-01
/organization/liberty-global-ventures,/organization/deliveryagent,2522800,2013-04-01
/organization/bain-capital-ventures,/organization/venminder,2300000,2013-04-01
/organization/auriga-partners,/organization/ekinops,8641959,2013-04-01
/organization/rtl-ventures,/organization/squla-2,0,2013-04-01
/organization/domain-associates,/organization/pinta-biotherapeutics,4294000,2013-04-01
/organization/ascension-media-group-llp,/organization/night-zookeeper,114045,2013-04-01
/organization/bertelsmann-digital-media-investments,/organization/nonabox,320595,2013-04-01
/person/jim-pallotta,/organization/everest,340000,2013-04-01
/organization/creathor-venture-management,/organization/kigo,1800000,2013-04-01
/organization/sofinnova-ventures,/organization/contextream,108500,2013-04-01
/organization/fast-lane-ventures,/organization/heverest-ru,2000000,2013-04-01
