investor,company,weight,date
/person/ignacio-laffitte-fernndez-del-pino,/organization/citiservi,173855,2009-03-01
/person/auren-hoffman,/organization/crowdflower,92307,2009-03-01
/organization/draper-fisher-jurvetson,/organization/clixtr,0,2009-03-01
/organization/interwest-partners,/organization/lensx-lasers,7453333,2009-03-01
/person/alexis-ohanian,/organization/adioso,10000,2009-03-01
/organization/venrex-investment-management,/organization/peerius,0,2009-03-01
/person/tim-cederman-haysom,/organization/adioso,10000,2009-03-01
/organization/saif-partners,/organization/shenzhen-hybio-pharmaceutical-co-ltd,3238304,2009-03-01
/organization/industrifonden,/organization/fltcommunications-ab,0,2009-03-01
/organization/sk-telecom-ventures,/organization/mytopia,1600000,2009-03-01
/person/eric-a-benhamou,/organization/mytopia,1600000,2009-03-01
/organization/mobile-internet-capital,/organization/mlog,0,2009-03-01
/organization/techammer,/organization/crowdflower,92307,2009-03-01
/organization/scottish-equity-partners,/organization/aridhia-informatics,849445,2009-03-01
/organization/seb-venture-capital,/organization/fltcommunications-ab,0,2009-03-01
/organization/forbion-capital-partners,/organization/pathway-medical-technologies,8500000,2009-03-01
/organization/5am-ventures,/organization/rennovia,8166666,2009-03-01
/organization/ff-angel-llc,/organization/crowdflower,92307,2009-03-01
/organization/scale-venture-partners,/organization/scansafe,4500000,2009-03-01
/organization/jumpstartup-venture-fund,/organization/neuros-medical,125000,2009-03-01
/organization/balderton-capital,/organization/scansafe,4500000,2009-03-01
/organization/venrex-investment-management,/organization/orlebar-brown,0,2009-03-01
/person/jesus-lasso,/organization/citiservi,173855,2009-03-01
/person/steve-huffman,/organization/adioso,10000,2009-03-01
/person/brad-silverberg,/organization/kickball-labs,1000000,2009-03-01
/organization/space-angels,/organization/airship-ventures,625000,2009-03-01
/organization/catamount-ventures,/organization/real-time-genomics,3000000,2009-03-01
/organization/sv-life-sciences,/organization/lensx-lasers,7453333,2009-03-01
/person/gabriel-weinberg,/organization/wakemate,0,2009-03-01
/person/robby-walker,/organization/adioso,10000,2009-03-01
/person/bobby-yazdani,/organization/company-com,1020000,2009-03-01
/organization/y-combinator,/organization/propable,0,2009-03-01
/person/alexandra-hall,/organization/airship-ventures,625000,2009-03-01
/organization/cea-investments,/organization/fermentalg,717500,2009-03-01
/organization/signatures-capital,/organization/company-com,1020000,2009-03-01
/organization/frazier-healthcare-ventures,/organization/stemgent,7000000,2009-03-01
/person/chris-sacca,/organization/fanbridge,87500,2009-03-01
/organization/abs-capital-partners,/organization/zoom-media-marketing,30000000,2009-03-01
/organization/freestyle-capital,/organization/crowdflower,92307,2009-03-01
/organization/case-technology-ventures,/organization/neuros-medical,125000,2009-03-01
/organization/shenzhen-capital-group,/organization/shenzhen-tempus-global-business-service-holdings-ltd,6081871,2009-03-01
/person/brian-hall-2,/organization/airship-ventures,625000,2009-03-01
/organization/foundation-capital,/organization/numerate,2750000,2009-03-01
/organization/hlm-venture-partners,/organization/pathway-medical-technologies,8500000,2009-03-01
/person/barney-pell,/organization/crowdflower,92307,2009-03-01
/person/eric-chin,/organization/dropcam,0,2009-03-01
/person/paul-buchheit,/organization/adioso,10000,2009-03-01
/organization/plug-and-play-ventures,/organization/clixtr,0,2009-03-01
/organization/hao-capital,/organization/pax-global-technology,20000000,2009-03-01
/person/esther-dyson,/organization/airship-ventures,625000,2009-03-01
/organization/giza-venture-capital,/organization/pathway-medical-technologies,8500000,2009-03-01
/organization/montagu-newhall-associates,/organization/scansafe,4500000,2009-03-01
/person/wayne-crosby,/organization/adioso,10000,2009-03-01
/organization/latterell-venture-partners,/organization/pathway-medical-technologies,8500000,2009-03-01
/organization/ignition-partners,/organization/kickball-labs,1000000,2009-03-01
/person/jose-peso,/organization/citiservi,173855,2009-03-01
/organization/versant-ventures,/organization/lensx-lasers,7453333,2009-03-01
/organization/versant-ventures,/organization/rennovia,8166666,2009-03-01
/organization/vayner-media,/organization/wakemate,0,2009-03-01
/organization/ff-angel-llc,/organization/fanbridge,87500,2009-03-01
/person/gerry-campbell,/organization/collecta,925000,2009-03-01
/organization/oxford-bioscience-partners,/organization/pathway-medical-technologies,8500000,2009-03-01
/organization/aquitaine-creation,/organization/fermentalg,717500,2009-03-01
/organization/lanza-techventures,/organization/numerate,2750000,2009-03-01
/organization/amidzad-partners,/organization/clixtr,0,2009-03-01
/person/chris-nokleburg,/organization/adioso,10000,2009-03-01
/organization/avac-ltd,/organization/tynt,1950000,2009-03-02
/organization/north-hill-ventures,/organization/fsv-payment-systems,3000000,2009-03-02
/organization/the-zitelman-group,/organization/ebiz-mobility,1100000,2009-03-02
/organization/mars-investment-accelerator-fund,/organization/phybridge,500000,2009-03-02
/organization/ballast-point-ventures,/organization/fsv-payment-systems,3000000,2009-03-02
/organization/inventure-capital,/organization/acon,1050000,2009-03-02
/organization/sigma-gestion,/organization/box-automation-solutions,881000,2009-03-02
/organization/xange-private-equity,/organization/stantum,5453333,2009-03-02
/organization/cdc-innovation,/organization/stantum,5453333,2009-03-02
/organization/troika-dialog,/organization/s-n-safe-software,0,2009-03-02
/organization/y-combinator,/organization/thesixtyone,0,2009-03-02
/organization/second-avenue-partners,/organization/fanzter,1000000,2009-03-03
/organization/leasing-technologies-international,/organization/hyperformix,1266666,2009-03-03
/organization/archangel-informal-investments-limited,/organization/adventi,420000,2009-03-03
/organization/steamboat-ventures,/organization/fanzter,1000000,2009-03-03
/organization/technologiegrnderfonds-sachsen,/organization/medesa-technology-gmbh,0,2009-03-03
/organization/scottish-investment-bank,/organization/adventi,420000,2009-03-03
/organization/yorkshire-association-of-business-angels,/organization/ensembli,0,2009-03-03
/organization/cue-ball,/organization/planettran,0,2009-03-03
/organization/naxicap-partners,/organization/central-test,941000,2009-03-03
/organization/irdi-icso,/organization/leyio,946125,2009-03-03
/organization/irdi-midi-pyrenees,/organization/leyio,946125,2009-03-03
/organization/ridings-early-growth-investment,/organization/ensembli,0,2009-03-03
/organization/morgan-stanley-venture-partners,/organization/hyperformix,1266666,2009-03-03
/organization/enterprise-ventures-limited,/organization/ensembli,0,2009-03-03
/organization/south-yorkshire-investment-fund,/organization/ensembli,0,2009-03-03
/organization/m-c-partners,/organization/hyperformix,1266666,2009-03-03
/organization/industrifonden,/organization/conveneer,2250000,2009-03-04
/organization/cedar-fund,/organization/onset-technology,1000000,2009-03-04
/organization/starfish-ventures,/organization/ofidium,3890000,2009-03-04
/organization/jerusalem-global-ventures,/organization/onset-technology,1000000,2009-03-04
/organization/lg-innotek,/organization/siimpel-corporation,0,2009-03-04
/organization/broken-arrow-venture-capital,/organization/conveneer,2250000,2009-03-04
/organization/the-challenge-funds,/organization/onset-technology,1000000,2009-03-04
/organization/index-ventures,/organization/glyco-vaxyn,7083333,2009-03-05
/organization/triangle-peak-partners,/organization/sendme,2400000,2009-03-05
/organization/dfj-dragonfund,/organization/fastpoint-games-2,666666,2009-03-05
/organization/draper-fisher-jurvetson,/organization/fastpoint-games-2,666666,2009-03-05
/organization/cedar-fund,/organization/winetworks,2000000,2009-03-05
/organization/evergreen-venture-partners,/organization/winetworks,2000000,2009-03-05
/organization/true-ventures,/organization/sendme,2400000,2009-03-05
/organization/grandbanks-capital,/organization/sendme,2400000,2009-03-05
/organization/sofinnova-partners,/organization/glyco-vaxyn,7083333,2009-03-05
/organization/edmond-de-rothschild-venture-capital,/organization/glyco-vaxyn,7083333,2009-03-05
/organization/spark-capital,/organization/sendme,2400000,2009-03-05
/organization/amicus-capital,/organization/sendme,2400000,2009-03-05
/organization/columbia-capital,/organization/winetworks,2000000,2009-03-05
/organization/rho-capital-ventures,/organization/winetworks,2000000,2009-03-05
/organization/expansinvest,/organization/synapcell,1107500,2009-03-06
/organization/viaduc,/organization/synapcell,1107500,2009-03-06
/organization/grenoble-angels,/organization/synapcell,1107500,2009-03-06
/organization/rose-tech-ventures,/organization/nimbit,500000,2009-03-06
/organization/rabobank,/organization/myngle,1265800,2009-03-06
/organization/tano-capital,/organization/tongxue,6000000,2009-03-06
/organization/rhone-alpes-creation,/organization/synapcell,1107500,2009-03-06
/organization/mars-investment-accelerator-fund,/organization/vita-sound,500000,2009-03-06
/organization/mars-investment-accelerator-fund,/organization/vennsa-technologies,250000,2009-03-06
/organization/southern-capitol-ventures,/organization/global-value-commerce,500000,2009-03-06
/organization/eburo,/organization/ogorod,400000,2009-03-08
/organization/sherpalo-ventures,/organization/haute-secure,800000,2009-03-09
/organization/in-q-tel,/organization/veracode,1000000,2009-03-09
/organization/ann-arbor-spark,/organization/arbor-photonics,2248258,2009-03-09
/organization/yfm-venture-finance,/organization/cms-global-technologies,0,2009-03-09
/organization/syddansk-teknologisk-innovation,/organization/entomopharm,344827,2009-03-09
/organization/baseline-ventures,/organization/haute-secure,800000,2009-03-09
/organization/flir-systems,/organization/seahorse-bioscience,857142,2009-03-09
/organization/flagship-ventures,/organization/seahorse-bioscience,857142,2009-03-09
/organization/northpoint-financial-group,/organization/smartzip,512500,2009-03-10
/organization/london-business-angels,/organization/citysocialising,360000,2009-03-10
/organization/hercules-technology-growth-capital,/organization/razorgator,10000000,2009-03-10
/organization/access-venture-partners,/organization/topschool,1750000,2009-03-10
/organization/ignition-partners,/organization/enclarity,2750000,2009-03-10
/organization/pritzker-group-venture-capital,/organization/topschool,1750000,2009-03-10
/organization/elaia-partners,/organization/agnitio,1722500,2009-03-10
/organization/alsop-louie-partners,/organization/topschool,1750000,2009-03-10
/organization/sustainable-development-technology,/organization/sixtron,1500000,2009-03-10
/organization/education-sales-management,/organization/topschool,1750000,2009-03-10
/organization/bain-capital-ventures,/organization/enclarity,2750000,2009-03-10
/organization/edison-ventures,/organization/notable-solutions,5000000,2009-03-10
/organization/kpg-ventures,/organization/cakefinancial,0,2009-03-10
/organization/craton-equity-partners,/organization/gridpoint,0,2009-03-10
/organization/mission-ventures,/organization/rotohog,1000000,2009-03-10
/organization/neotec-capital-riesgo,/organization/agnitio,1722500,2009-03-10
/organization/123venture,/organization/agnitio,1722500,2009-03-10
/organization/spark-ventures,/organization/omgpop,1666666,2009-03-10
/organization/dfj-dragonfund,/organization/rotohog,1000000,2009-03-10
/organization/baseline-ventures,/organization/omgpop,1666666,2009-03-10
/organization/nauta-capital,/organization/agnitio,1722500,2009-03-10
/organization/bessemer-venture-partners,/organization/omgpop,1666666,2009-03-10
/organization/enterprise-ireland,/organization/ticket-text,289515,2009-03-10
/organization/cue-ball,/organization/smartzip,512500,2009-03-10
/organization/kpg-ventures,/organization/lexy,1250000,2009-03-10
/organization/step5-venture-partners,/organization/smartzip,512500,2009-03-10
/organization/dnb-nor,/organization/norsun,47000000,2009-03-11
/organization/steamboat-ventures,/organization/greystripe,1833333,2009-03-11
/organization/scatec-as,/organization/norsun,24110000,2009-03-11
/organization/opus-capital,/organization/supersecret,3333333,2009-03-11
/organization/freestyle-capital,/organization/supersecret,3333333,2009-03-11
/organization/norsk-hydro-asa,/organization/norsun,24110000,2009-03-11
/organization/monitor-ventures,/organization/greystripe,1833333,2009-03-11
