investor,company,weight,date
/person/kendall-fargo,/organization/licketyship,1500000,2007-12-01
/organization/alliance-of-angels,/organization/fyreball,500000,2007-12-01
/organization/greycroft-partners,/organization/vuze,4000000,2007-12-01
/person/andrew-boszhardt,/organization/invitemedia,333333,2007-12-01
/organization/floodgate,/organization/hooja,312500,2007-12-01
/organization/matrix-partners,/organization/buzzwire,2666666,2007-12-01
/organization/idg-capital-partners,/organization/paraengine,0,2007-12-01
/organization/hotung-venture-group,/organization/power-analog-microelectronics,1500000,2007-12-01
/organization/cvm-capital,/organization/power-analog-microelectronics,1500000,2007-12-01
/organization/goldman-sachs,/organization/cdnetworks,32166666,2007-12-01
/organization/dalbergia,/organization/strands,24500000,2007-12-01
/organization/new-enterprise-associates,/organization/vuze,4000000,2007-12-01
/organization/hotung-venture-group,/organization/bitauto-holdings,5000000,2007-12-01
/person/jason-calacanis,/organization/causecast,0,2007-12-01
/organization/nstar,/organization/palringo,1032887,2007-12-01
/organization/harbinger-ventures,/organization/babycare,1000000,2007-12-01
/organization/band-of-angels,/organization/fyreball,500000,2007-12-01
/organization/lehman-brothers,/organization/kayak,21777777,2007-12-01
/organization/bdc-venture-capital,/organization/zeugma-systems,3750000,2007-12-01
/organization/mitsui-ventures,/organization/6rooms,5000000,2007-12-01
/organization/carlyle-group,/organization/revshare,10000000,2007-12-01
/person/brian-caulfield,/organization/clavis-technology,0,2007-12-01
/organization/telefonica-ventures,/organization/kyte,3000000,2007-12-01
/organization/ienergies,/organization/stellaris,3000000,2007-12-01
/organization/accel-partners,/organization/kayak,21777777,2007-12-01
/organization/adobe-systems,/organization/56-com,3333333,2007-12-01
/organization/docomo-capital,/organization/kyte,3000000,2007-12-01
/organization/bain-capital-ventures,/organization/adready,3333333,2007-12-01
/person/yuval-shahar,/organization/hooja,312500,2007-12-01
/organization/general-catalyst-partners,/organization/kayak,21777777,2007-12-01
/organization/redpoint-ventures,/organization/vuze,4000000,2007-12-01
/organization/point-one-innovation-fund,/organization/etulipa,0,2007-12-01
/organization/chrys-capital,/organization/apnaloan,5000000,2007-12-01
/person/nick-beim,/organization/flipkey,166666,2007-12-01
/organization/shenzhen-capital-group,/organization/zqgame,4220018,2007-12-01
/person/pascal-levensohn,/organization/hooja,312500,2007-12-01
/organization/brook-venture-partners,/organization/arigo,5000000,2007-12-01
/organization/norwest-venture-partners,/organization/kayak,21777777,2007-12-01
/person/jonathan-bonanno,/organization/causecast,0,2007-12-01
/organization/g-51-capital,/organization/reachforce,2500000,2007-12-01
/organization/mayfield-fund,/organization/consortemedia,3500000,2007-12-01
/person/eric-ly,/organization/presdo,35000,2007-12-01
/organization/minor-ventures,/organization/scoutlabs,0,2007-12-01
/organization/hikari-tsushin-group,/organization/56-com,3333333,2007-12-01
/organization/o-reilly-alphatech-ventures,/organization/acquia,2333333,2007-12-01
/organization/h-a-asia-pacific,/organization/power-analog-microelectronics,1500000,2007-12-01
/organization/shinhan-private-equity,/organization/cdnetworks,32166666,2007-12-01
/organization/sequoia-capital,/organization/excel-pharmastudies,1000000,2007-12-01
/organization/idg-capital-partners,/organization/caxa,10000000,2007-12-01
/person/jeremy-allaire,/organization/flipkey,166666,2007-12-01
/organization/spark-capital,/organization/buzzwire,2666666,2007-12-01
/organization/cid-group,/organization/56-com,3333333,2007-12-01
/organization/granite-ventures,/organization/crowd-science,2000000,2007-12-01
/organization/h-i-g-ventures,/organization/revshare,10000000,2007-12-01
/organization/newion-investments,/organization/mirror42,600000,2007-12-01
/organization/hercules-technology-growth-capital,/organization/hi5,15000000,2007-12-01
/organization/sequoia-capital,/organization/osen,1352569,2007-12-01
/person/sheila-lirio-marcelo,/organization/flipkey,166666,2007-12-01
/organization/indigo-investment-corporation,/organization/strands,24500000,2007-12-01
/organization/oregon-angel-fund,/organization/elemental-technologies,516666,2007-12-01
/organization/betaworks,/organization/ideeli,1900000,2007-12-01
/organization/legend-ventures,/organization/bitauto-holdings,5000000,2007-12-01
/organization/sutter-hill-ventures,/organization/consortemedia,3500000,2007-12-01
/organization/swisscom-ventures,/organization/kyte,3000000,2007-12-01
/organization/intel-capital,/organization/apnaloan,5000000,2007-12-01
/organization/sequoia-capital,/organization/kayak,21777777,2007-12-01
/organization/sv-angel,/organization/funny-or-die,7500000,2007-12-01
/organization/microsoft,/organization/zignals,1230083,2007-12-01
/organization/funding-global-innovation,/organization/5173-com,0,2007-12-01
/organization/idg-capital-partners,/organization/5173-com,0,2007-12-01
/organization/draper-fisher-jurvetson,/organization/kyte,3000000,2007-12-01
/organization/mmv-financial,/organization/angiochem,3000000,2007-12-01
/organization/bay-partners,/organization/socialpicks,250000,2007-12-01
/organization/e-ventures,/organization/vuze,4000000,2007-12-01
/person/peter-thiel,/organization/hooja,312500,2007-12-01
/organization/investment-ab-resund,/organization/klarna,2200000,2007-12-01
/organization/sosv,/organization/mapflow,0,2007-12-01
/organization/alliance-of-angels,/organization/elemental-technologies,516666,2007-12-01
/person/ryan-scott,/organization/causecast,0,2007-12-01
/organization/brabantse-ontwikkelings-maatschappij-bom,/organization/etulipa,0,2007-12-01
/organization/sunstone-capital,/organization/preview-networks,4000000,2007-12-01
/organization/lgilab,/organization/bahu,1476100,2007-12-01
/organization/accel-partners,/organization/dapper,1500000,2007-12-01
/organization/trident-capital,/organization/timelines,1500000,2007-12-01
/organization/bessemer-venture-partners,/organization/smilebox,3500000,2007-12-01
/organization/apex-venture-partners,/organization/timelines,1500000,2007-12-01
/organization/trident-capital,/organization/kayak,21777777,2007-12-01
/organization/reof-and-technofonds-flevoland,/organization/libersy,590440,2007-12-01
/organization/baseline-ventures,/organization/stax-networks,0,2007-12-01
/person/jarl-mohn,/organization/vuze,4000000,2007-12-01
/organization/susquehanna-international-group-llp,/organization/56-com,3333333,2007-12-01
/organization/draper-fisher-jurvetson,/organization/beijing-viewhigh-technology-co-ltd,0,2007-12-01
/organization/wasabi-ventures,/organization/ustream,0,2007-12-01
/organization/yl-ventures,/organization/clicktale,3000000,2007-12-01
/organization/steamboat-ventures,/organization/56-com,3333333,2007-12-01
/organization/amazon,/organization/billmelater,0,2007-12-01
/organization/bend-venture-conference,/organization/elemental-technologies,516666,2007-12-01
/organization/fidelity-growth-partners-asia,/organization/nqmobile,0,2007-12-01
/organization/felicis-ventures,/organization/socialpicks,250000,2007-12-01
/organization/sequoia-capital,/organization/56-com,3333333,2007-12-01
/organization/sequoia-capital,/organization/funny-or-die,7500000,2007-12-01
/organization/sequel,/organization/buzzwire,2666666,2007-12-01
/organization/manresa-partners,/organization/zignals,1230083,2007-12-01
/organization/solid-ventures,/organization/mirror42,600000,2007-12-01
/organization/e-ventures,/organization/angies-list,2500000,2007-12-01
/organization/fabernovel,/organization/doyoubuzz,0,2007-12-01
/organization/sequoia-capital,/organization/apnaloan,5000000,2007-12-01
/organization/technicolor,/organization/movea,2682500,2007-12-01
