	investor	{'date': 'invest_date', 'weight': 'company'}
74701	/organization/firsthand-technology-value-fund	{'date': '2007-08-08', 'weight': '/organization/silicon-genesis'}
85937	/organization/vspring-capital	{'date': '2007-09-01', 'weight': '/organization/worldvitalrecords'}
55349	/organization/jk-b-capital	{'date': '2007-09-01', 'weight': '/organization/anchorintelligence'}
20914	/organization/dbl-investors	{'date': '2007-09-01', 'weight': '/organization/meevee'}
73461	/organization/kennet-venture-partners	{'date': '2007-08-01', 'weight': '/organization/wireless-audio-ip-bv'}
94735	/organization/novestra	{'date': '2007-09-01', 'weight': '/organization/mypublisher'}
56031	/organization/vodafone-ventures	{'date': '2007-08-08', 'weight': '/organization/savaje-technologies'}
21564	/organization/intel-capital	{'date': '2007-08-01', 'weight': '/organization/delve-networks'}
46821	/organization/ygomi	{'date': '2007-09-24', 'weight': '/organization/arraycomm'}
29214	/person/mike-brown	{'date': '2007-09-01', 'weight': '/organization/satisfaction'}
74023	/organization/interwest-partners	{'date': '2007-09-10', 'weight': '/organization/kajeet'}
58632	/person/david-cohen	{'date': '2007-09-01', 'weight': '/organization/eventvue'}
35622	/organization/charles-river-ventures	{'date': '2007-08-08', 'weight': '/organization/qlusters'}
95180	/organization/prism-venture-management	{'date': '2007-08-01', 'weight': '/organization/kickapps'}
40230	/organization/vi-partners	{'date': '2007-09-17', 'weight': '/organization/nemerix'}
68425	/person/brian-shin	{'date': '2007-09-01', 'weight': '/organization/hubspot'}
13085	/organization/dcm	{'date': '2007-07-31', 'weight': '/organization/careparent'}
53511	/organization/w-l-gore-associates	{'date': '2007-09-27', 'weight': '/organization/quellan'}
18426	/organization/fier-succes	{'date': '2007-09-26', 'weight': '/organization/reflexphotonics'}
33038	/person/robert-kraft	{'date': '2007-09-01', 'weight': '/organization/matchmine'}
6406	/organization/bev-capital	{'date': '2007-09-26', 'weight': '/organization/everyday-health'}
31840	/person/ray-lane	{'date': '2007-09-01', 'weight': '/organization/ausra'}
76691	/organization/origo-sino-india	{'date': '2007-09-20', 'weight': '/organization/dragon-ports'}
91110	/organization/gemini-israel-funds	{'date': '2007-08-21', 'weight': '/organization/diligent-technologies'}
38040	/organization/mayfield-fund	{'date': '2007-08-01', 'weight': '/organization/jaxtr'}
5181	/organization/signia-venture-partners	{'date': '2007-09-01', 'weight': '/organization/dogtimemedia'}
80721	/organization/noble-fund-managers	{'date': '2007-08-20', 'weight': '/organization/ad-iq'}
48745	/organization/vantagepoint-capital-partners	{'date': '2007-08-30', 'weight': '/organization/grocery-shopping-network'}
77442	/organization/square-1-bank	{'date': '2007-08-08', 'weight': '/organization/red-condor'}
105311	/person/stefan-wiskemann	{'date': '2007-09-01', 'weight': '/organization/kissnofrog'}
82997	/organization/manatt-venture-fund	{'date': '2007-08-01', 'weight': '/organization/mogreet'}
37186	/organization/smedvig-capital	{'date': '2007-08-16', 'weight': '/organization/itis-holdings'}
51707	/organization/legg-mason	{'date': '2007-09-17', 'weight': '/organization/oanda'}
6048	/person/tom-keller	{'date': '2007-09-01', 'weight': '/organization/eventvue'}
92951	/person/jared-wandry	{'date': '2007-09-01', 'weight': '/organization/eventvue'}
21235	/person/brad-feld	{'date': '2007-09-01', 'weight': '/organization/eventvue'}
92006	/organization/odey-asset-management	{'date': '2007-08-19', 'weight': '/organization/re5ult'}
92007	/organization/startup-capital-ventures	{'date': '2007-08-01', 'weight': '/organization/switchfly'}
15857	/organization/bay-city-capital	{'date': '2007-08-29', 'weight': '/organization/presidio'}
69889	/organization/wrf-capital	{'date': '2007-09-05', 'weight': '/organization/hyperion'}
10801	/organization/s-g-e-c-r	{'date': '2007-08-01', 'weight': '/organization/voztelecom'}
75947	/organization/highgrowth	{'date': '2007-08-01', 'weight': '/organization/voztelecom'}
15537	/organization/fritas	{'date': '2007-08-01', 'weight': '/organization/jiglu'}
46175	/organization/scottish-equity-partners	{'date': '2007-09-18', 'weight': '/organization/microemissive-displays-group'}
35611	/organization/biltmore-ventures	{'date': '2007-09-01', 'weight': '/organization/vsocial'}
15924	/organization/ann-arbor-spark	{'date': '2007-07-31', 'weight': '/organization/xg-sciences'}
31273	/organization/silver-creek-ventures	{'date': '2007-08-01', 'weight': '/organization/hammerhead-systems'}
17551	/organization/fondaction	{'date': '2007-09-06', 'weight': '/organization/sqliaison'}
99996	/organization/tlcom-capital-partners	{'date': '2007-08-21', 'weight': '/organization/shozu'}
55830	/organization/adobe-ventures	{'date': '2007-08-01', 'weight': '/organization/convo'}
86473	/organization/conduit-ventures	{'date': '2007-09-19', 'weight': '/organization/amminex'}
79383	/organization/small-enterprise-growth-fund-of-maine	{'date': '2007-09-01', 'weight': '/organization/foneshow'}
90437	/organization/staley-capital-advisors	{'date': '2007-09-27', 'weight': '/organization/biomicro-systems'}
99963	/organization/irdi-midi-pyrenees	{'date': '2007-09-07', 'weight': '/organization/seanodes'}
79685	/organization/draper-fisher-jurvetson	{'date': '2007-08-01', 'weight': '/organization/jaxtr'}
26322	/organization/fusion-ip	{'date': '2007-09-21', 'weight': '/organization/abcellute'}
90482	/organization/idg-capital-partners	{'date': '2007-09-20', 'weight': '/organization/bbspace'}
11682	/organization/stanford-financial-group	{'date': '2007-08-03', 'weight': '/organization/kinemed'}
40337	/organization/madison-parker-capital	{'date': '2007-09-13', 'weight': '/organization/utrecht-manufacturing-corporation'}
29913	/person/lukasz-gadowski	{'date': '2007-09-10', 'weight': '/organization/brands4friends'}
29529	/organization/mid-america-transplant-services	{'date': '2007-08-03', 'weight': '/organization/isto-technologies'}
40332	/organization/woodside-fund	{'date': '2007-08-02', 'weight': '/organization/aristos-logic'}
70873	/organization/cipio-partners	{'date': '2007-09-11', 'weight': '/organization/broadlight'}
30314	/organization/levensohn-venture-partners	{'date': '2007-09-23', 'weight': '/organization/levanta'}
72012	/organization/abs-capital-partners	{'date': '2007-08-21', 'weight': '/organization/metastorm'}
13905	/organization/foundation-capital	{'date': '2007-07-31', 'weight': '/organization/msdsonline-com'}
71854	/organization/tugboat-ventures	{'date': '2007-08-29', 'weight': '/organization/saynow'}
57570	/organization/goldman-sachs	{'date': '2007-08-29', 'weight': '/organization/mckinstry-reklaim'}
89431	/organization/broadsword-partners	{'date': '2007-08-06', 'weight': '/organization/surefire'}
440	/organization/shasta-ventures	{'date': '2007-08-29', 'weight': '/organization/saynow'}
11950	/organization/viveris-management	{'date': '2007-09-07', 'weight': '/organization/seanodes'}
64195	/organization/stic-international	{'date': '2007-09-12', 'weight': '/organization/canesta'}
31157	/organization/austin-ventures	{'date': '2007-09-01', 'weight': '/organization/divorce360'}
21616	/organization/defta-partners	{'date': '2007-09-01', 'weight': '/organization/meevee'}
89767	/organization/fca-venture-partners	{'date': '2007-09-05', 'weight': '/organization/gemino-healthcare-finance'}
44869	/organization/baybg	{'date': '2007-08-22', 'weight': '/organization/proteros-biostructures'}
68204	/organization/globespan-capital-partners	{'date': '2007-09-10', 'weight': '/organization/akorri'}
86876	/organization/forticom	{'date': '2007-09-25', 'weight': '/organization/odnoklassniki'}
92134	/organization/abs-capital-partners	{'date': '2007-09-17', 'weight': '/organization/ignite-media-solutions'}
26614	/organization/menlo-ventures	{'date': '2007-09-27', 'weight': '/organization/quellan'}
2107	/organization/mousse-partners	{'date': '2007-09-01', 'weight': '/organization/mypublisher'}
79849	/organization/seventure-partners	{'date': '2007-09-25', 'weight': '/organization/volubill'}
92504	/organization/north-hill-ventures	{'date': '2007-08-01', 'weight': '/organization/compete'}
38141	/person/metin-anter	{'date': '2007-08-01', 'weight': '/organization/mubi'}
79616	/organization/cedar-grove-investments	{'date': '2007-08-20', 'weight': '/organization/inventure-chemicals'}
1943	/organization/noventi-ventures	{'date': '2007-09-19', 'weight': '/organization/ecrio'}
80299	/organization/jk-b-capital	{'date': '2007-07-31', 'weight': '/organization/novarra'}
29627	/organization/atlas-venture	{'date': '2007-08-07', 'weight': '/organization/adnexus'}
53606	/organization/labrador-ventures	{'date': '2007-09-01', 'weight': '/organization/meevee'}
88327	/organization/loudwater-investment-partners	{'date': '2007-09-01', 'weight': '/organization/gemfire'}
84899	/organization/partners-group-private-equity	{'date': '2007-09-24', 'weight': '/organization/purple-labs'}
44795	/organization/palo-alto-investors	{'date': '2007-09-01', 'weight': '/organization/gemfire'}
72583	/organization/matrix-partners	{'date': '2007-09-01', 'weight': '/organization/fourinteractive'}
38321	/organization/123venture	{'date': '2007-09-07', 'weight': '/organization/seanodes'}
93589	/organization/cisco	{'date': '2007-08-31', 'weight': '/organization/movenetworks'}
30190	/organization/samsung-ventures	{'date': '2007-09-27', 'weight': '/organization/quellan'}
9632	/organization/axa-framlington	{'date': '2007-09-18', 'weight': '/organization/microemissive-displays-group'}
23713	/organization/idg-capital-partners	{'date': '2007-08-01', 'weight': '/organization/yee-care'}
3292	/organization/apax-partners	{'date': '2007-09-01', 'weight': '/organization/voodoovox'}
83408	/organization/bridges-ventures	{'date': '2007-08-01', 'weight': '/organization/the-gym'}
39265	/person/carl-navarre	{'date': '2007-09-01', 'weight': '/organization/mypublisher'}
58983	/person/aydin-senkut	{'date': '2007-08-01', 'weight': '/organization/mogad'}
17273	/organization/morgenthaler-ventures	{'date': '2007-09-01', 'weight': '/organization/utterz'}
37556	/organization/m-t-bank	{'date': '2007-09-01', 'weight': '/organization/liquidhub'}
92651	/person/pejman-nozad	{'date': '2007-09-04', 'weight': '/organization/dropbox'}
36845	/organization/the-exxel-group	{'date': '2007-08-20', 'weight': '/organization/brijot-imaging-systems'}
61330	/person/sanjeev-singh	{'date': '2007-08-01', 'weight': '/organization/appjet'}
84193	/person/hank-berry	{'date': '2007-08-01', 'weight': '/organization/mogad'}
41850	/organization/mohr-davidow-ventures	{'date': '2007-09-25', 'weight': '/organization/woven-systems'}
41331	/person/jim-pitkow	{'date': '2007-09-01', 'weight': '/organization/blekko'}
36437	/person/tom-rogers	{'date': '2007-08-01', 'weight': '/organization/peoplejam'}
8117	/organization/sv-angel	{'date': '2007-09-01', 'weight': '/organization/blekko'}
29961	/organization/bank-of-scotland-equity-investments	{'date': '2007-09-01', 'weight': '/organization/gemfire'}
755	/organization/sequoia-capital	{'date': '2007-08-22', 'weight': '/organization/clearwell-systems'}
93076	/organization/navigator-technology-ventures	{'date': '2007-08-27', 'weight': '/organization/food-quality-sensor-international'}
102018	/organization/red-rock-ventures	{'date': '2007-08-20', 'weight': '/organization/itm-software'}
19332	/organization/eastward-capital-partners	{'date': '2007-08-21', 'weight': '/organization/diligent-technologies'}
37409	/organization/transcosmos	{'date': '2007-09-20', 'weight': '/organization/donnorwood-media'}
82782	/organization/softbank-capital	{'date': '2007-08-13', 'weight': '/organization/communicado'}
74973	/organization/dsm-venturing	{'date': '2007-08-27', 'weight': '/organization/food-quality-sensor-international'}
101615	/organization/cmea-capital	{'date': '2007-07-31', 'weight': '/organization/cnano-technology'}
13642	/organization/battery-ventures	{'date': '2007-08-03', 'weight': '/organization/anobit-technologies'}
68287	/organization/transcosmos	{'date': '2007-09-01', 'weight': '/organization/meez'}
84820	/organization/h-a-asia-pacific	{'date': '2007-08-08', 'weight': '/organization/silicon-genesis'}
10569	/organization/balderton-capital	{'date': '2007-09-01', 'weight': '/organization/audium-semiconductor'}
38243	/organization/iconventures	{'date': '2007-09-27', 'weight': '/organization/quellan'}
93104	/organization/gold-hill-capital	{'date': '2007-08-30', 'weight': '/organization/flowcardia'}
6933	/organization/main-capital-partners	{'date': '2007-09-24', 'weight': '/organization/irex-technologies'}
98914	/organization/nea-indous-ventures	{'date': '2007-08-01', 'weight': '/organization/minekey'}
76836	/organization/intel-capital	{'date': '2007-09-01', 'weight': '/organization/grono-net'}
75368	/organization/enable-capital-management	{'date': '2007-08-20', 'weight': '/organization/encysive-pharmaceuticals'}
68673	/organization/comcast-interactive-capital	{'date': '2007-08-31', 'weight': '/organization/movenetworks'}
67901	/organization/amazon	{'date': '2007-08-01', 'weight': '/organization/amiestreet'}
13763	/organization/centaurus-capital	{'date': '2007-09-01', 'weight': '/organization/gemfire'}
9943	/organization/stripes-group	{'date': '2007-07-31', 'weight': '/organization/silversky'}
100583	/organization/adara-venture-partners	{'date': '2007-08-01', 'weight': '/organization/berggi'}
16301	/organization/goldman-sachs	{'date': '2007-09-25', 'weight': '/organization/woven-systems'}
59851	/organization/alloy-ventures	{'date': '2007-08-01', 'weight': '/organization/adzilla'}
68476	/organization/auriga-partners	{'date': '2007-09-17', 'weight': '/organization/nemerix'}
71234	/organization/lehman-brothers	{'date': '2007-09-01', 'weight': '/organization/powerreviews'}
8323	/organization/woodside-fund	{'date': '2007-09-10', 'weight': '/organization/bitmicro-networks-inc'}
38405	/organization/signatures-capital	{'date': '2007-09-04', 'weight': '/organization/dropbox'}
93084	/organization/adaptivepath	{'date': '2007-09-01', 'weight': '/organization/satisfaction'}
79527	/organization/garage-technology-ventures	{'date': '2007-09-26', 'weight': '/organization/miasole'}
59924	/organization/monitor-ventures	{'date': '2007-08-01', 'weight': '/organization/teebeedee'}
48873	/organization/deutsche-venture-capital	{'date': '2007-09-25', 'weight': '/organization/volubill'}
69336	/organization/hummer-winblad-venture-partners	{'date': '2007-08-13', 'weight': '/organization/communicado'}
59921	/organization/polytechnos-venture-partners	{'date': '2007-09-17', 'weight': '/organization/nemerix'}
49022	/organization/dsm-venturing	{'date': '2007-09-24', 'weight': '/organization/upfront-chromatography'}
62532	/organization/tullis-dickerson	{'date': '2007-09-01', 'weight': '/organization/aldagen'}
16198	/organization/oyster-capital-partners	{'date': '2007-09-24', 'weight': '/organization/complete-network-technology'}
87525	/organization/menlo-ventures	{'date': '2007-09-28', 'weight': '/organization/authoria'}
73333	/organization/allen-and-company	{'date': '2007-08-01', 'weight': '/organization/rotohog'}
59109	/organization/yfm-private-equity	{'date': '2007-08-21', 'weight': '/organization/celltran'}
13502	/organization/comventures	{'date': '2007-08-01', 'weight': '/organization/doppelganger'}
75570	/organization/pappas-ventures	{'date': '2007-08-30', 'weight': '/organization/flowcardia'}
99736	/person/martin-varsavsky	{'date': '2007-09-01', 'weight': '/organization/dopplr'}
82573	/organization/televisa	{'date': '2007-08-31', 'weight': '/organization/movenetworks'}
1056	/organization/life-sciences-partners	{'date': '2007-08-30', 'weight': '/organization/flowcardia'}
91145	/organization/francisco-partners	{'date': '2007-08-07', 'weight': '/organization/dextrys'}
42543	/organization/black-river	{'date': '2007-08-09', 'weight': '/organization/demandtec'}
88837	/organization/meritech-capital-partners	{'date': '2007-09-13', 'weight': '/organization/azul-systems'}
