	investor	{'date': 'invest_date', 'weight': 'company'}
88655	/organization/iris-capital	{'date': '2006-12-05', 'weight': '/organization/xcalia'}
71660	/organization/hunt-ventures-2	{'date': '2006-11-01', 'weight': '/organization/ripcode'}
41017	/organization/veritas-venture-partners	{'date': '2006-11-21', 'weight': '/organization/cablematrix-technologies'}
21143	/organization/sumitomo-corporation	{'date': '2006-11-20', 'weight': '/organization/intematix'}
78084	/organization/reservoir-venture-partners	{'date': '2006-11-30', 'weight': '/organization/five-star-technologies'}
37695	/organization/teknoinvest	{'date': '2006-11-24', 'weight': '/organization/bonesupport'}
57949	/person/jeremy-verba	{'date': '2006-12-01', 'weight': '/organization/xoopit'}
42181	/organization/purple-angel	{'date': '2006-11-21', 'weight': '/organization/natural-convergence'}
11986	/person/adrian-critchlow	{'date': '2006-11-01', 'weight': '/organization/wayn'}
4781	/organization/tmt-ventures	{'date': '2006-12-06', 'weight': '/organization/redfern-integrated-optics'}
36660	/person/brian-s-lewis	{'date': '2006-11-09', 'weight': '/organization/texxi'}
10892	/organization/alexandra-investment-management	{'date': '2006-11-07', 'weight': '/organization/eusa-pharma'}
24166	/organization/oxford-bioscience-partners	{'date': '2006-11-08', 'weight': '/organization/solstice-neurosciences'}
47209	/organization/digital-magics	{'date': '2006-12-01', 'weight': '/organization/theblogtv'}
13082	/organization/draper-fisher-jurvetson	{'date': '2006-11-17', 'weight': '/organization/theranos'}
15458	/organization/ip-group-plc	{'date': '2006-11-16', 'weight': '/organization/oxtox'}
10584	/organization/cgm-marketing	{'date': '2006-11-14', 'weight': '/organization/etology'}
70749	/organization/kvk	{'date': '2006-11-01', 'weight': '/organization/hakia'}
44601	/organization/mayfield-fund	{'date': '2006-11-01', 'weight': '/organization/slide'}
41378	/organization/aplix-corp	{'date': '2006-12-05', 'weight': '/organization/montavista'}
7518	/person/david-mcinnis	{'date': '2006-11-01', 'weight': '/organization/villij'}
38956	/organization/banc-of-america-securities	{'date': '2006-11-07', 'weight': '/organization/eusa-pharma'}
84439	/organization/funding-global-innovation	{'date': '2006-11-01', 'weight': '/organization/towona-mobile-tv-media-holding'}
98365	/organization/river-cities-capital	{'date': '2006-11-07', 'weight': '/organization/mx-logic'}
94208	/organization/h-i-g-ventures	{'date': '2006-11-07', 'weight': '/organization/fanlib'}
11189	/organization/pinnacle-ventures	{'date': '2006-11-20', 'weight': '/organization/newport-media'}
52263	/organization/radar-partners	{'date': '2006-10-31', 'weight': '/organization/xensource'}
91115	/organization/versant-ventures	{'date': '2006-11-16', 'weight': '/organization/neurotech'}
58253	/organization/presidio-stx	{'date': '2006-11-01', 'weight': '/organization/knownow'}
6091	/organization/cdh-investments	{'date': '2006-11-01', 'weight': '/organization/towona-mobile-tv-media-holding'}
74014	/organization/university-venture-fund	{'date': '2006-11-30', 'weight': '/organization/socialtext'}
24302	/organization/j-hunt-holdings	{'date': '2006-12-28', 'weight': '/organization/terracycle'}
48746	/organization/hotung-capital-management	{'date': '2006-11-06', 'weight': '/organization/vivace-semiconductor'}
74407	/organization/gamma-capital-partners	{'date': '2006-11-16', 'weight': '/organization/identec-solutions'}
29750	/organization/bic-lazio	{'date': '2006-11-01', 'weight': '/organization/theblogtv'}
77446	/organization/pacifica-fund	{'date': '2006-11-20', 'weight': '/organization/intematix'}
68633	/organization/juniper-networks	{'date': '2006-11-21', 'weight': '/organization/apigee'}
1062	/person/brent-hoberman	{'date': '2006-11-01', 'weight': '/organization/wayn'}
30693	/organization/energy-capital-partners	{'date': '2006-11-08', 'weight': '/organization/verdande-technology'}
84237	/organization/merseyside-special-investment-fund	{'date': '2006-12-01', 'weight': '/organization/paver-downes-associates'}
65870	/organization/jefferson-partners	{'date': '2006-11-21', 'weight': '/organization/natural-convergence'}
25748	/organization/viacom	{'date': '2006-12-01', 'weight': '/organization/social-project'}
97153	/person/tamseel-haque	{'date': '2006-11-09', 'weight': '/organization/texxi'}
9779	/organization/oxford-capital-partners	{'date': '2006-12-01', 'weight': '/organization/orthomimetics'}
26485	/organization/martinson-trigon-venture-partners	{'date': '2006-12-27', 'weight': '/organization/rate-solutions'}
7057	/organization/motorola-solutions-venture-capital	{'date': '2006-12-06', 'weight': '/organization/keynote'}
96506	/organization/galia-gestion	{'date': '2006-12-22', 'weight': '/organization/audemat'}
199	/organization/longworth-venture-partners	{'date': '2006-12-12', 'weight': '/organization/scanbuy'}
99990	/organization/polaris-partners	{'date': '2006-11-03', 'weight': '/organization/bridgeport-networks'}
44986	/organization/apax-partners	{'date': '2006-12-18', 'weight': '/organization/solid-information-technology'}
60732	/organization/cambrian-ventures	{'date': '2006-12-22', 'weight': '/organization/gupshup-technology-india-pvt-ltd'}
87426	/organization/gefinor-capital	{'date': '2006-11-30', 'weight': '/organization/wimba'}
26723	/organization/gilde-it-fund	{'date': '2006-11-01', 'weight': '/organization/pieris-proteolab'}
14321	/organization/burrill-co	{'date': '2006-11-16', 'weight': '/organization/neurotech'}
33950	/organization/lunar-group-capital	{'date': '2006-12-18', 'weight': '/organization/smartpay-jieyin'}
25117	/person/andrew-t-grauer	{'date': '2006-10-31', 'weight': '/organization/course-hero'}
56831	/person/sizhao-yang	{'date': '2006-11-15', 'weight': '/organization/myminilife'}
2827	/organization/chengwei-capital	{'date': '2006-11-01', 'weight': '/organization/towona-mobile-tv-media-holding'}
91454	/organization/enertech-capital	{'date': '2006-12-01', 'weight': '/organization/intellon-corporation'}
90480	/organization/highland-capital-partners	{'date': '2006-12-18', 'weight': '/organization/codon-devices'}
2547	/organization/origin-partners	{'date': '2006-11-13', 'weight': '/organization/venafi'}
5413	/organization/tech-coast-angels	{'date': '2006-11-02', 'weight': '/organization/eefoof-com'}
14755	/organization/tribunecompany	{'date': '2006-11-01', 'weight': '/organization/topix'}
98001	/organization/ktb-ventures	{'date': '2006-10-31', 'weight': '/organization/spreadtrum-communications'}
16387	/organization/osprey-ventures	{'date': '2006-12-07', 'weight': '/organization/atrua'}
98008	/organization/oxford-technology-management	{'date': '2006-11-16', 'weight': '/organization/oxtox'}
94872	/organization/ilabs-capital	{'date': '2006-11-03', 'weight': '/organization/nethra-imaging'}
10332	/organization/nbgi-ventures	{'date': '2006-11-24', 'weight': '/organization/bonesupport'}
8205	/organization/chevron-technology-ventures	{'date': '2006-11-30', 'weight': '/organization/five-star-technologies'}
2447	/organization/srb-management	{'date': '2006-12-12', 'weight': '/organization/kintera'}
53733	/organization/cdh-investments	{'date': '2006-11-01', 'weight': '/organization/qihoo-360-technology'}
23005	/organization/fabernovel	{'date': '2006-12-01', 'weight': '/organization/af83'}
44867	/organization/alliance-of-angels	{'date': '2006-11-10', 'weight': '/organization/ontela-2'}
8699	/organization/cit-gap-funds	{'date': '2006-12-21', 'weight': '/organization/natural-insight'}
57184	/organization/sevin-rosen-funds	{'date': '2006-10-31', 'weight': '/organization/xensource'}
67810	/person/brian-distelburger	{'date': '2006-11-01', 'weight': '/organization/yext'}
101219	/organization/business-angels-technostarters	{'date': '2006-12-31', 'weight': '/organization/bmeye'}
102447	/organization/acadia-woods-partners	{'date': '2006-11-01', 'weight': '/organization/monitor110'}
79952	/organization/aviv-venture-capital	{'date': '2006-12-11', 'weight': '/organization/beinsync'}
13338	/organization/trinity-ventures	{'date': '2006-10-31', 'weight': '/organization/clarus-systems'}
77962	/organization/vencorp-partners	{'date': '2006-11-24', 'weight': '/organization/bonesupport'}
11004	/organization/mk-capital	{'date': '2006-12-30', 'weight': '/organization/buzz-media-2'}
35588	/organization/hasso-plattner-ventures	{'date': '2006-11-01', 'weight': '/organization/datango'}
90383	/organization/iroquois-capital	{'date': '2006-11-07', 'weight': '/organization/eusa-pharma'}
6506	/organization/techcolumbus-2	{'date': '2006-11-06', 'weight': '/organization/midwest-micro-devices'}
72864	/organization/third-security	{'date': '2006-11-02', 'weight': '/organization/intellimat'}
30074	/organization/twj-capital	{'date': '2006-11-28', 'weight': '/organization/ineomarketing'}
1532	/organization/upfront-ventures	{'date': '2006-11-06', 'weight': '/organization/netsize'}
53028	/person/michael-dearing	{'date': '2006-12-01', 'weight': '/organization/xoopit'}
3164	/organization/avalon-ventures	{'date': '2006-11-20', 'weight': '/organization/vocera-communications'}
3120	/organization/chrysalis-ventures	{'date': '2006-12-01', 'weight': '/organization/construction-software-technologies'}
6032	/organization/opus-capital	{'date': '2006-12-12', 'weight': '/organization/kidaro'}
53020	/organization/innovationsbron-vst-startup-ab	{'date': '2006-11-20', 'weight': '/organization/ambria-dermatology'}
63710	/organization/rre-ventures	{'date': '2006-12-01', 'weight': '/organization/shanghai-smartpay'}
74621	/organization/artis	{'date': '2006-10-31', 'weight': '/organization/involver'}
82476	/organization/htsg	{'date': '2006-12-22', 'weight': '/organization/gupshup-technology-india-pvt-ltd'}
7347	/person/paul-gauthier	{'date': '2006-12-01', 'weight': '/organization/xoopit'}
23715	/organization/edison-ventures	{'date': '2006-10-31', 'weight': '/organization/vfa'}
100955	/organization/industrial-technology-ventures	{'date': '2006-11-30', 'weight': '/organization/five-star-technologies'}
34754	/organization/investor-growth-capital	{'date': '2006-11-08', 'weight': '/organization/solstice-neurosciences'}
39140	/person/ryan-born	{'date': '2006-12-01', 'weight': '/organization/newcondosonline'}
59207	/person/martin-kasirye	{'date': '2006-11-09', 'weight': '/organization/texxi'}
16920	/organization/3i-group	{'date': '2006-12-20', 'weight': '/organization/forte-design-systems'}
11260	/organization/vce-capital-partners	{'date': '2006-12-01', 'weight': '/organization/cadforce'}
38317	/person/utomi-odozi	{'date': '2006-11-09', 'weight': '/organization/texxi'}
70214	/person/mitch-kapor	{'date': '2006-12-01', 'weight': '/organization/epals'}
28889	/person/rajeev-motwani	{'date': '2006-12-01', 'weight': '/organization/meraki'}
25593	/organization/us-venture-partners	{'date': '2006-12-31', 'weight': '/organization/force10-networks'}
61995	/person/geoff-ralston	{'date': '2006-12-01', 'weight': '/organization/xoopit'}
35906	/person/xu-xiaoping	{'date': '2006-12-01', 'weight': '/organization/lightinthebox-com'}
19628	/person/reid-hoffman	{'date': '2006-11-01', 'weight': '/organization/care-com'}
74972	/person/michael-arrington	{'date': '2006-12-01', 'weight': '/organization/omnidrive'}
71777	/organization/new-enterprise-associates	{'date': '2006-11-03', 'weight': '/organization/polyserve'}
77159	/organization/biom-ag	{'date': '2006-11-01', 'weight': '/organization/pieris-proteolab'}
33281	/organization/fidelity-ventures	{'date': '2006-12-01', 'weight': '/organization/intellon-corporation'}
100517	/person/david-grauer	{'date': '2006-10-31', 'weight': '/organization/course-hero'}
10842	/organization/idg-capital-partners	{'date': '2006-11-01', 'weight': '/organization/kaola100'}
96587	/organization/edc-equity	{'date': '2006-11-15', 'weight': '/organization/liquid-computing'}
76937	/organization/atlas-venture	{'date': '2006-11-16', 'weight': '/organization/neurotech'}
86316	/organization/tiin-capital	{'date': '2006-12-31', 'weight': '/organization/bmeye'}
82719	/organization/alpha-associates	{'date': '2006-11-16', 'weight': '/organization/neurotech'}
5792	/organization/levensohn-venture-partners	{'date': '2006-11-01', 'weight': '/organization/knownow'}
88692	/organization/acqua-wellington-asset-management	{'date': '2006-11-07', 'weight': '/organization/eusa-pharma'}
19389	/organization/ata-ventures	{'date': '2006-11-15', 'weight': '/organization/liquid-computing'}
757	/organization/alta-berkeley-venture-partners	{'date': '2006-12-11', 'weight': '/organization/beinsync'}
37311	/person/rakesh-loonkar	{'date': '2006-11-01', 'weight': '/organization/trusteer'}
89123	/organization/extorel-management	{'date': '2006-11-01', 'weight': '/organization/datango'}
39929	/organization/expansion-capital-partners	{'date': '2006-12-13', 'weight': '/organization/world-energy-labs'}
93204	/organization/continental-ventures	{'date': '2006-11-17', 'weight': '/organization/theranos'}
