	investor	{'date': 'invest_date', 'weight': 'company'}
48357	/organization/boxgroup	{'date': '2013-12-20', 'weight': '/organization/hightower'}
42462	/person/ben-ling	{'date': '2013-12-02', 'weight': '/organization/view-the-space'}
69950	/organization/harris-harris-group	{'date': '2013-11-04', 'weight': '/organization/echopixel'}
72420	/organization/dewb	{'date': '2013-11-10', 'weight': '/organization/directphotonics-industries'}
36096	/organization/kayne-partners	{'date': '2013-12-10', 'weight': '/organization/starmount'}
78850	/organization/metamorphic-ventures-llc	{'date': '2013-11-06', 'weight': '/organization/appboy'}
41972	/organization/xg-ventures	{'date': '2013-12-10', 'weight': '/organization/nway'}
103893	/organization/double-m-partners	{'date': '2013-12-11', 'weight': '/organization/momentfeed'}
58395	/organization/google-ventures	{'date': '2013-11-04', 'weight': '/organization/mediaspike'}
93258	/organization/kleiner-perkins-caufield-byers	{'date': '2013-10-31', 'weight': '/organization/adorstyle'}
89179	/organization/start-up-chile	{'date': '2013-12-10', 'weight': '/organization/sourcebazaar'}
92652	/organization/matrix-partners-china	{'date': '2013-11-01', 'weight': '/organization/phantom'}
341	/person/other-investors	{'date': '2013-12-01', 'weight': '/organization/moon-express-inc'}
103541	/organization/philips-uk	{'date': '2013-11-05', 'weight': '/organization/biocartis'}
92876	/person/jared-kopf	{'date': '2013-11-06', 'weight': '/organization/granify'}
15575	/organization/national-bank-financial	{'date': '2013-12-12', 'weight': '/organization/phononic-devices'}
75544	/organization/prostor-capital	{'date': '2013-11-06', 'weight': '/organization/admoment'}
19371	/person/matt-arnold	{'date': '2013-11-12', 'weight': '/organization/plumbr'}
51283	/organization/dundee-venture-capital	{'date': '2013-11-19', 'weight': '/organization/phone2action'}
74834	/organization/battery-ventures	{'date': '2013-11-06', 'weight': '/organization/gainsight'}
56235	/organization/matrix-partners	{'date': '2013-10-31', 'weight': '/organization/biscoot'}
25068	/organization/veddis-ventures	{'date': '2013-12-19', 'weight': '/organization/imagistx'}
65278	/organization/ace-and-company	{'date': '2013-12-05', 'weight': '/organization/swapbox'}
52262	/organization/club-italia-investimenti	{'date': '2013-12-15', 'weight': '/organization/gnammo'}
51288	/organization/intel-capital	{'date': '2013-12-26', 'weight': '/organization/sanjet-technology'}
42458	/organization/general-catalyst-partners	{'date': '2013-11-21', 'weight': '/organization/coachup'}
