	investor	{'date': 'invest_date', 'weight': 'company'}
55617	/organization/h-farm	{'date': '2010-03-01', 'weight': '/organization/thounds'}
73390	/organization/qed-investors	{'date': '2010-03-01', 'weight': '/organization/wealthengine'}
78917	/organization/stata-venture-partners	{'date': '2010-03-31', 'weight': '/organization/shaser'}
88717	/organization/hillsven-capital	{'date': '2010-02-08', 'weight': '/organization/tunewiki'}
88716	/organization/zero2ipo-capital	{'date': '2010-03-24', 'weight': '/organization/origene-technologies'}
88482	/organization/boxgroup	{'date': '2010-02-01', 'weight': '/organization/doodledeals-inc'}
19158	/organization/riekeles-finans	{'date': '2010-01-31', 'weight': '/organization/setred'}
100168	/organization/hercules-technology-growth-capital	{'date': '2010-02-10', 'weight': '/organization/propel-fuels'}
50641	/person/john-taysom	{'date': '2010-03-23', 'weight': '/organization/timetric'}
50646	/organization/south-west-ventures-fund	{'date': '2010-02-10', 'weight': '/organization/provision-communications'}
60359	/organization/amundi-private-equity-funds	{'date': '2010-03-01', 'weight': '/organization/metrixware'}
69671	/organization/trisiras-group	{'date': '2010-03-28', 'weight': '/organization/immunomic-therapeutics'}
46132	/organization/techstars	{'date': '2010-03-01', 'weight': '/organization/loudcaster'}
81246	/organization/braemar-energy-ventures	{'date': '2010-02-24', 'weight': '/organization/luminus-devices'}
86211	/person/stefan-glaenzer	{'date': '2010-03-23', 'weight': '/organization/timetric'}
40354	/organization/deep-creek-capital	{'date': '2010-02-01', 'weight': '/organization/doodledeals-inc'}
56053	/organization/360-capital-partners	{'date': '2010-03-02', 'weight': '/organization/smartdate'}
69089	/organization/benchmark	{'date': '2010-02-03', 'weight': '/organization/prosper'}
43501	/organization/informatica	{'date': '2010-03-10', 'weight': '/organization/rainstor'}
101949	/organization/maven-capital-partners	{'date': '2010-02-22', 'weight': '/organization/prismtech'}
9523	/organization/life-sciences-partners	{'date': '2010-01-31', 'weight': '/organization/kreatech-diagnostics'}
21612	/organization/brook-venture-partners	{'date': '2010-03-24', 'weight': '/organization/babyage'}
98260	/organization/softtech-vc	{'date': '2010-02-18', 'weight': '/organization/bitly'}
46310	/organization/momentum-venture-management	{'date': '2010-02-01', 'weight': '/organization/ichange'}
45117	/organization/techstars	{'date': '2010-03-01', 'weight': '/organization/starstreet'}
45842	/organization/procom-venture	{'date': '2010-03-15', 'weight': '/organization/wirescan'}
70718	/organization/vnt-management	{'date': '2010-03-18', 'weight': '/organization/dilitronics'}
24083	/person/stuart-larkins	{'date': '2010-03-17', 'weight': '/organization/trada'}
62461	/organization/ntt-finance	{'date': '2010-03-08', 'weight': '/organization/tilera'}
21728	/organization/sodero-gestion	{'date': '2010-02-26', 'weight': '/organization/cat-amania'}
103119	/person/david-tisch	{'date': '2010-02-01', 'weight': '/organization/doodledeals-inc'}
80570	/organization/truffle-capital	{'date': '2010-03-17', 'weight': '/organization/immune-targeting-systems'}
62646	/person/sean-parker	{'date': '2010-02-01', 'weight': '/organization/spotify'}
