	investor	{'date': 'invest_date', 'weight': 'company'}
23440	/organization/pentech-ventures	{'date': '2008-09-01', 'weight': '/organization/criticalblue'}
11386	/organization/cambridge-capital-group	{'date': '2008-09-15', 'weight': '/organization/nujira'}
92094	/organization/dcm	{'date': '2008-09-01', 'weight': '/organization/mineloader-software-co-ltd'}
82441	/organization/sofinnova-partners	{'date': '2008-08-01', 'weight': '/organization/mydeco'}
94205	/organization/nextstage-capital	{'date': '2008-09-01', 'weight': '/organization/evident-software'}
51289	/organization/greylock	{'date': '2008-07-31', 'weight': '/organization/kickfire'}
13603	/organization/peacock-equity	{'date': '2008-09-23', 'weight': '/organization/trion-world-network'}
32788	/person/andy-sack	{'date': '2008-09-01', 'weight': '/organization/inkd'}
56058	/organization/vf-venture	{'date': '2008-09-01', 'weight': '/organization/universal-robots'}
17653	/organization/augustus-ventures-limited	{'date': '2008-09-11', 'weight': '/organization/rifftrax'}
99997	/organization/bluerun-ventures	{'date': '2008-08-01', 'weight': '/organization/like'}
19971	/organization/sears-capital-management	{'date': '2008-08-04', 'weight': '/organization/interkrin'}
4651	/organization/blackrock	{'date': '2008-08-06', 'weight': '/organization/skygrid'}
41834	/organization/siemens-venture-capital	{'date': '2008-08-19', 'weight': '/organization/enocean'}
52396	/organization/omidyar-network	{'date': '2008-09-24', 'weight': '/organization/digg'}
77617	/organization/seedcamp	{'date': '2008-09-01', 'weight': '/organization/mobclix'}
43690	/organization/rittenhouseventures	{'date': '2008-09-01', 'weight': '/organization/evident-software'}
15951	/organization/versant-ventures	{'date': '2008-09-04', 'weight': '/organization/microfabrica'}
26397	/organization/lehman-brothers	{'date': '2008-08-19', 'weight': '/organization/clearme'}
96799	/organization/apex-venture-partners	{'date': '2008-08-19', 'weight': '/organization/bitwave'}
93324	/organization/high-tech-gruenderfonds	{'date': '2008-09-20', 'weight': '/organization/corimmun'}
51118	/organization/pentech-ventures	{'date': '2008-08-06', 'weight': '/organization/enigmatic'}
95799	/organization/vf-venture	{'date': '2008-09-01', 'weight': '/organization/smartshare-systems'}
10706	/organization/mars-investment-accelerator-fund	{'date': '2008-09-22', 'weight': '/organization/c2c-link'}
7864	/organization/good-energies	{'date': '2008-09-22', 'weight': '/organization/microstaq'}
90227	/person/jonah-goodhart	{'date': '2008-09-16', 'weight': '/organization/adroll-semantic-sugar-inc'}
36337	/organization/silicon-valley-bank	{'date': '2008-09-04', 'weight': '/organization/aprius'}
21298	/organization/clarus-ventures	{'date': '2008-08-07', 'weight': '/organization/esbatech'}
11618	/organization/international-finance-corporation	{'date': '2008-09-23', 'weight': '/organization/connectiva-systems'}
53602	/organization/great-point-partners	{'date': '2008-09-30', 'weight': '/organization/apt-pharmaceuticals'}
58672	/organization/northzone-ventures	{'date': '2008-08-01', 'weight': '/organization/testfreaks'}
37795	/organization/origin-ventures	{'date': '2008-08-28', 'weight': '/organization/sailpoint-technologies'}
24086	/organization/fca-venture-partners	{'date': '2008-09-01', 'weight': '/organization/haven-behavioral'}
84699	/organization/adams-street-partners	{'date': '2008-09-09', 'weight': '/organization/sportgenic'}
84693	/organization/shenzhen-capital-group	{'date': '2008-09-30', 'weight': '/organization/guangdong-mingyang-electric-group'}
70661	/organization/idg-capital-partners	{'date': '2008-08-05', 'weight': '/organization/friendster'}
84056	/organization/accel-partners	{'date': '2008-08-06', 'weight': '/organization/amobee'}
99081	/organization/itochu-corporation	{'date': '2008-09-10', 'weight': '/organization/uievolution'}
5290	/organization/och-ziff-capital-management	{'date': '2008-08-19', 'weight': '/organization/blue-source'}
20417	/organization/betaworks	{'date': '2008-09-24', 'weight': '/organization/tipjoy'}
83904	/organization/el-dorado-ventures	{'date': '2008-09-15', 'weight': '/organization/crossloop'}
63206	/organization/mig-ag	{'date': '2008-09-20', 'weight': '/organization/corimmun'}
36157	/organization/schroder-ventures	{'date': '2008-08-28', 'weight': '/organization/aea-technology'}
