	investor	{'date': 'invest_date', 'weight': 'company'}
32239	/person/dylan-parker	{'date': '2011-08-01', 'weight': '/organization/manpacks'}
32238	/person/matt-turck	{'date': '2011-08-13', 'weight': '/organization/thinknear'}
55618	/organization/the-iron-yard	{'date': '2011-09-08', 'weight': '/organization/fullcontact'}
85818	/person/private-angels	{'date': '2011-09-01', 'weight': '/organization/swapper-trade'}
28997	/organization/institutional-venture-partners	{'date': '2011-08-30', 'weight': '/organization/doubleverify'}
28991	/organization/wrf-capital	{'date': '2011-08-02', 'weight': '/organization/oncofactor-corporation'}
72421	/person/don-klaiss	{'date': '2011-08-04', 'weight': '/organization/getable'}
10898	/person/kevin-donahue	{'date': '2011-09-12', 'weight': '/organization/incinerator-studios'}
51265	/organization/working-opportunity-fund	{'date': '2011-09-29', 'weight': '/organization/msi-methylation-sciences'}
100361	/organization/y-combinator	{'date': '2011-08-02', 'weight': '/organization/opez'}
43274	/organization/enterprise-ireland	{'date': '2011-08-18', 'weight': '/organization/phorest'}
7515	/organization/smedvig-capital	{'date': '2011-09-28', 'weight': '/organization/smart-cube'}
48890	/organization/high-tech-gruenderfonds	{'date': '2011-09-22', 'weight': '/organization/lipocalyx'}
51063	/organization/caixa-capital	{'date': '2011-08-11', 'weight': '/organization/zero2infinity'}
102051	/organization/pritzker-group-venture-capital	{'date': '2011-08-01', 'weight': '/organization/singleplatform'}
56581	/organization/alven-capital	{'date': '2011-09-01', 'weight': '/organization/joliebox'}
32304	/organization/pike-capital-partners	{'date': '2011-08-15', 'weight': '/organization/hzo'}
100380	/organization/general-catalyst-partners	{'date': '2011-08-18', 'weight': '/organization/drchrono'}
52269	/person/jacques-sandra-kerrest	{'date': '2011-08-01', 'weight': '/organization/okta'}
73269	/organization/general-catalyst-partners	{'date': '2011-08-15', 'weight': '/organization/opinionaided'}
92892	/organization/seedcamp	{'date': '2011-09-12', 'weight': '/organization/rentlord'}
35435	/organization/avac-ltd	{'date': '2011-08-05', 'weight': '/organization/cleankeys'}
55905	/person/jim-armstrong	{'date': '2011-08-22', 'weight': '/organization/adealio'}
84862	/person/ravin-gandhi	{'date': '2011-08-01', 'weight': '/organization/tred'}
6795	/organization/lerer-ventures	{'date': '2011-09-01', 'weight': '/organization/sailthru'}
84864	/person/chris-fanini	{'date': '2011-08-04', 'weight': '/organization/parse'}
82999	/organization/greylock-partners-israel	{'date': '2011-08-23', 'weight': '/organization/wanova'}
100709	/organization/citi-ventures	{'date': '2011-09-22', 'weight': '/organization/silver-tail-systems'}
25661	/organization/gsv-capital	{'date': '2011-09-07', 'weight': '/organization/truecar'}
26481	/organization/the-social-capital-partnership	{'date': '2011-09-01', 'weight': '/organization/memed'}
98644	/organization/founders-co-op	{'date': '2011-08-01', 'weight': '/organization/simply-measured'}
69887	/organization/union-square-ventures	{'date': '2011-09-26', 'weight': '/organization/tumblr'}
3680	/organization/silicon-valley-bank	{'date': '2011-09-08', 'weight': '/organization/ringcentral'}
25289	/organization/court-square-ventures	{'date': '2011-09-12', 'weight': '/organization/statsheet'}
65478	/organization/steamboat-ventures	{'date': '2011-08-02', 'weight': '/organization/cc-video'}
36201	/organization/draper-fisher-jurvetson	{'date': '2011-08-15', 'weight': '/organization/opinionaided'}
99849	/organization/lerer-ventures	{'date': '2011-08-02', 'weight': '/organization/spanfeller-media-group'}
101385	/organization/us-venture-partners	{'date': '2011-09-29', 'weight': '/organization/blekko'}
75060	/organization/oseo-innovation	{'date': '2011-09-22', 'weight': '/organization/cortus-sa'}
80203	/organization/centuria-ventures	{'date': '2011-08-01', 'weight': '/organization/venturepax'}
101358	/organization/ventureast-tenet-fund	{'date': '2011-08-01', 'weight': '/organization/inopen'}
26158	/organization/kleiner-perkins-caufield-byers	{'date': '2011-08-02', 'weight': '/organization/erly'}
81629	/person/robert-semmens	{'date': '2011-09-19', 'weight': '/organization/imrsv'}
82539	/organization/morgenthaler-ventures	{'date': '2011-08-03', 'weight': '/organization/lending-club'}
82538	/person/esther-dyson	{'date': '2011-09-06', 'weight': '/organization/lanyrd'}
51119	/organization/omnicapital-group	{'date': '2011-09-21', 'weight': '/organization/one-on-one-ads'}
49767	/organization/sequoia-capital	{'date': '2011-08-05', 'weight': '/organization/prizm-payment-services'}
9257	/organization/seraph-group	{'date': '2011-09-28', 'weight': '/organization/fundly'}
2449	/person/dominic-collins	{'date': '2011-08-03', 'weight': '/organization/financeacar'}
57470	/organization/fidelity-growth-partners-asia	{'date': '2011-09-20', 'weight': '/organization/hua-medicine'}
52482	/organization/draper-associates-2	{'date': '2011-09-23', 'weight': '/organization/safertaxi'}
52481	/organization/russian-venture-company-seed-fund	{'date': '2011-09-01', 'weight': '/organization/balakam'}
49561	/organization/kaszek-ventures	{'date': '2011-09-01', 'weight': '/organization/zupcat'}
39920	/organization/foundry-group	{'date': '2011-08-23', 'weight': '/organization/makerbot'}
39921	/organization/menlo-ventures	{'date': '2011-08-03', 'weight': '/organization/mr-number'}
11739	/organization/silicon-valley-bank	{'date': '2011-09-30', 'weight': '/organization/connexity'}
46240	/person/simon-gelfand	{'date': '2011-09-19', 'weight': '/organization/imrsv'}
16816	/organization/sk-ventures	{'date': '2011-08-04', 'weight': '/organization/kinvey'}
80118	/person/pierre-chappaz	{'date': '2011-08-31', 'weight': '/organization/teads'}
100476	/organization/grandbanks-capital	{'date': '2011-09-28', 'weight': '/organization/achievers'}
