	investor	{'date': 'invest_date', 'weight': 'company'}
55294	/organization/index-ventures	{'date': '2015-03-21', 'weight': '/organization/property-partner'}
51260	/organization/advancit-capital	{'date': '2015-02-10', 'weight': '/organization/starstreet'}
22269	/organization/capital-innovators	{'date': '2015-02-09', 'weight': '/organization/emadgine'}
82447	/organization/american-family-ventures	{'date': '2015-03-09', 'weight': '/organization/coverhound'}
101493	/organization/ggv-capital	{'date': '2015-02-26', 'weight': '/organization/opendoor-2'}
6790	/organization/streamlined-ventures	{'date': '2015-02-02', 'weight': '/organization/eagerpanda'}
46131	/organization/fenox-venture-capital	{'date': '2015-03-15', 'weight': '/organization/bluesmart'}
56123	/organization/almaz-capital	{'date': '2015-02-17', 'weight': '/organization/robocv'}
75944	/organization/mpm-capital	{'date': '2015-03-18', 'weight': '/organization/clinical-ink'}
98316	/person/kevin-ryan	{'date': '2015-02-24', 'weight': '/organization/atlas-obscura'}
16252	/organization/tenaya-capital	{'date': '2015-02-17', 'weight': '/organization/tealium'}
16256	/organization/pritzker-group-venture-capital	{'date': '2015-02-20', 'weight': '/organization/viv-labs'}
51845	/person/allen-debevoise-2	{'date': '2015-02-10', 'weight': '/organization/affinity-networks'}
279	/organization/redpoint-ventures	{'date': '2015-02-25', 'weight': '/organization/luxe-valet'}
80593	/organization/hercules-bioventure-partners	{'date': '2015-03-09', 'weight': '/organization/addex-therapeutics'}
12017	/organization/questmark	{'date': '2015-03-05', 'weight': '/organization/nexus-ewater'}
64671	/organization/lumira-capital	{'date': '2015-03-11', 'weight': '/organization/cardiac-dimensions'}
100011	/organization/visionnaire-ventures	{'date': '2015-02-11', 'weight': '/organization/reserve'}
101940	/person/ariel-arrieta	{'date': '2015-03-20', 'weight': '/organization/jivi'}
63021	/organization/general-catalyst-partners	{'date': '2015-03-19', 'weight': '/organization/fundbox'}
9259	/organization/costanoa-venture-capital	{'date': '2015-02-17', 'weight': '/organization/apptimize'}
95795	/organization/microsoft-ventures	{'date': '2015-03-09', 'weight': '/organization/attachingit'}
49566	/organization/boston-millennia-partners	{'date': '2015-03-10', 'weight': '/organization/collegium-pharmaceutical'}
64454	/organization/f50	{'date': '2015-02-12', 'weight': '/organization/gummicube'}
45444	/person/jeff-wilke	{'date': '2015-03-10', 'weight': '/organization/storrage'}
85610	/organization/guangzhou	{'date': '2015-02-11', 'weight': '/organization/yoyi-media'}
44243	/organization/skyocean-international-holdings	{'date': '2015-02-17', 'weight': '/organization/firefly-games'}
49300	/person/josh-adler	{'date': '2015-03-25', 'weight': '/organization/cortex-4'}
3510	/person/harry-cheung	{'date': '2015-03-19', 'weight': '/organization/helico-aerospace-industries'}
36847	/organization/national-institutes-of-health	{'date': '2015-02-25', 'weight': '/organization/recursion-pharmaceuticals'}
99194	/organization/microsoft-ventures-accelerator-seattle	{'date': '2015-03-01', 'weight': '/organization/lionheart-innovations'}
