	investor	{'date': 'invest_date', 'weight': 'company'}
102340	/organization/technology-venture-partners	{'date': '2006-08-03', 'weight': '/organization/sentito-networks'}
58388	/organization/morgan-stanley	{'date': '2006-09-27', 'weight': '/organization/nextnine'}
26943	/organization/dt-capital-partners	{'date': '2006-09-30', 'weight': '/organization/lucky-pai'}
13737	/organization/bd-ventures	{'date': '2006-09-07', 'weight': '/organization/renamed-biologics'}
71830	/organization/great-oaks-venture-capital	{'date': '2006-08-01', 'weight': '/organization/viagogo'}
101764	/organization/university-venture-fund	{'date': '2006-08-03', 'weight': '/organization/alianza'}
21563	/organization/sherpalo-ventures	{'date': '2006-09-08', 'weight': '/organization/values-of-n'}
23366	/organization/y-combinator	{'date': '2006-08-02', 'weight': '/organization/omgpop'}
42871	/organization/aster-capital	{'date': '2006-08-31', 'weight': '/organization/semisouth'}
38616	/organization/massachusetts-technology-development-corporation	{'date': '2006-09-18', 'weight': '/organization/bez-systems'}
10511	/organization/canaan-partners	{'date': '2006-09-11', 'weight': '/organization/cortina-systems'}
88715	/organization/hotventures	{'date': '2006-08-21', 'weight': '/organization/copperkey'}
49348	/organization/decima-ventures	{'date': '2006-09-08', 'weight': '/organization/fusion-dynamic'}
63096	/organization/comventures	{'date': '2006-09-18', 'weight': '/organization/innotas'}
19395	/organization/amidzad-partners	{'date': '2006-08-01', 'weight': '/organization/freewebs'}
5993	/organization/rustic-canyon-partners	{'date': '2006-09-26', 'weight': '/organization/visto'}
87287	/organization/capybara-ventures	{'date': '2006-09-07', 'weight': '/organization/phoseon-technology'}
55665	/organization/finnish-industry-investment	{'date': '2006-09-12', 'weight': '/organization/max-rumpus'}
32445	/organization/saif-partners	{'date': '2006-09-01', 'weight': '/organization/shanghai-unionpay-merchant-services-co-ltd'}
25677	/organization/merlin-biomed	{'date': '2006-09-07', 'weight': '/organization/renamed-biologics'}
3850	/organization/maine-angels	{'date': '2006-08-15', 'weight': '/organization/gaterocket'}
55765	/organization/diamondhead-ventures	{'date': '2006-08-02', 'weight': '/organization/habeas'}
61171	/organization/draper-esprit	{'date': '2006-09-25', 'weight': '/organization/siconnect'}
92307	/organization/elscint-biomedical-investment	{'date': '2006-09-27', 'weight': '/organization/gamida-cell'}
73946	/organization/institutional-venture-partners	{'date': '2006-09-12', 'weight': '/organization/handango'}
99099	/organization/baybg	{'date': '2006-08-18', 'weight': '/organization/gcd-systeme'}
8902	/organization/vantagepoint-capital-partners	{'date': '2006-08-11', 'weight': '/organization/oxford-semiconductor'}
23174	/organization/ttp-ventures	{'date': '2006-09-25', 'weight': '/organization/siconnect'}
33882	/organization/intel-capital	{'date': '2006-09-18', 'weight': '/organization/managed-objects'}
34879	/organization/logispring	{'date': '2006-08-28', 'weight': '/organization/amitive'}
97800	/organization/lehman-brothers-venture-partners	{'date': '2006-09-18', 'weight': '/organization/lifesize-communications'}
7044	/organization/redpoint-ventures	{'date': '2006-09-18', 'weight': '/organization/lifesize-communications'}
88092	/organization/alliancebernstein	{'date': '2006-09-05', 'weight': '/organization/exeros'}
14216	/organization/richard-l-scott-investments	{'date': '2006-09-13', 'weight': '/organization/emida'}
13601	/organization/lazard-technology-partners	{'date': '2006-08-08', 'weight': '/organization/interwise'}
43475	/organization/ascent-venture-partners	{'date': '2006-09-25', 'weight': '/organization/whaleback-systems'}
28302	/organization/innovations-kapital	{'date': '2006-09-20', 'weight': '/organization/ludesi'}
27378	/organization/oxford-technology-management	{'date': '2006-09-19', 'weight': '/organization/imagineer-systems'}
101168	/organization/lazard-technology-partners	{'date': '2006-09-18', 'weight': '/organization/managed-objects'}
6653	/organization/core-capital-partners	{'date': '2006-08-08', 'weight': '/organization/covega'}
68467	/organization/bay-partners	{'date': '2006-09-26', 'weight': '/organization/wallop'}
43800	/organization/gsk-venture-fund	{'date': '2006-09-26', 'weight': '/organization/resistentia-pharmaceuticals'}
75943	/organization/inter-atlantic-group	{'date': '2006-08-11', 'weight': '/organization/bolt-solutions'}
27275	/organization/sutter-hill-ventures	{'date': '2006-09-18', 'weight': '/organization/mynewplace'}
26484	/organization/giza-venture-capital	{'date': '2006-08-22', 'weight': '/organization/iamba-networks'}
59384	/organization/carlyle-group	{'date': '2006-09-26', 'weight': '/organization/air2web'}
60132	/organization/summit-partners	{'date': '2006-09-07', 'weight': '/organization/anesthetix-holdings'}
17658	/organization/viveris-management	{'date': '2006-09-25', 'weight': '/organization/innova-card'}
12109	/organization/focus-ventures	{'date': '2006-08-04', 'weight': '/organization/kazeon'}
40635	/organization/el-dorado-ventures	{'date': '2006-09-11', 'weight': '/organization/cortina-systems'}
85975	/organization/sequoia-capital	{'date': '2006-09-15', 'weight': '/organization/hdtmedia'}
26093	/organization/sg-asset-management-private-equity-2	{'date': '2006-08-01', 'weight': '/organization/augure'}
26372	/organization/centripetal-capital-partners	{'date': '2006-09-26', 'weight': '/organization/etelemetry'}
51115	/organization/doughty-hanson-technology-ventures	{'date': '2006-09-26', 'weight': '/organization/deepstream-technologies'}
46009	/organization/western-technology-investment	{'date': '2006-09-06', 'weight': '/organization/magnolia-broadband'}
91183	/organization/idf-capital	{'date': '2006-09-15', 'weight': '/organization/wysiwyg'}
76069	/organization/viola-credit	{'date': '2006-08-01', 'weight': '/organization/xmpie'}
27309	/organization/morgenthaler-ventures	{'date': '2006-09-11', 'weight': '/organization/cortina-systems'}
44434	/organization/advanced-equities	{'date': '2006-09-29', 'weight': '/organization/metricstream'}
76050	/organization/bdc-venture-capital	{'date': '2006-09-20', 'weight': '/organization/ebillme'}
4212	/organization/apropos-it-ventures	{'date': '2006-08-11', 'weight': '/organization/bolt-solutions'}
56983	/organization/life-science-angels	{'date': '2006-08-28', 'weight': '/organization/zogenix'}
95791	/organization/columbia-capital	{'date': '2006-08-29', 'weight': '/organization/mindshift-technologies'}
63845	/organization/bio-one-capital	{'date': '2006-09-07', 'weight': '/organization/renamed-biologics'}
98186	/organization/docomo-capital	{'date': '2006-08-01', 'weight': '/organization/gct-semiconductor'}
13785	/organization/foundation-capital	{'date': '2006-09-18', 'weight': '/organization/peakstream'}
102	/organization/canaan-partners	{'date': '2006-08-01', 'weight': '/organization/vue-technology'}
