	investor	{'date': 'invest_date', 'weight': 'company'}
35543	/organization/redpoint-ventures	{'date': '2014-12-11', 'weight': '/organization/infer'}
16079	/organization/wi-harper-group	{'date': '2014-11-12', 'weight': '/organization/full-circle-crm'}
55296	/person/andy-dunn	{'date': '2014-11-17', 'weight': '/organization/glossier'}
82193	/organization/biomedpartners	{'date': '2014-12-02', 'weight': '/organization/ayoxxa-biosystems'}
25064	/organization/cambia-health-solutions	{'date': '2014-12-04', 'weight': '/organization/maxwell-health'}
19717	/organization/sequoia-capital	{'date': '2014-12-30', 'weight': '/organization/instacart'}
25069	/organization/programma-101	{'date': '2014-11-19', 'weight': '/organization/sgnam'}
27373	/organization/saturn-venture-partners	{'date': '2014-11-13', 'weight': '/organization/express-kcs'}
75946	/organization/tpg-growth	{'date': '2014-12-30', 'weight': '/organization/beautycounter'}
25281	/person/james-sore	{'date': '2014-12-01', 'weight': '/organization/landbay'}
16257	/person/tony-hsieh	{'date': '2014-11-17', 'weight': '/organization/orderwithme'}
55831	/organization/silicon-valley-bank	{'date': '2014-11-19', 'weight': '/organization/disruptor-beam'}
16705	/organization/the-crowd-angel	{'date': '2014-12-01', 'weight': '/organization/a-crowd-of-monsters'}
105002	/organization/real-ventures	{'date': '2014-11-17', 'weight': '/organization/blockstream'}
105007	/person/farzad-nazem	{'date': '2014-12-12', 'weight': '/organization/opsclarity'}
52868	/organization/softbank-capital	{'date': '2014-12-04', 'weight': '/organization/grabtaxi'}
64674	/organization/benchmark	{'date': '2014-11-25', 'weight': '/organization/odesk'}
26391	/organization/500-startups	{'date': '2014-11-01', 'weight': '/organization/slidebean'}
100018	/organization/pv-ventures	{'date': '2014-11-18', 'weight': '/organization/concealfab-corporation'}
81673	/organization/salesforce-ventures	{'date': '2014-12-03', 'weight': '/organization/weic-corporation'}
95794	/organization/triplepoint-ventures	{'date': '2014-11-17', 'weight': '/organization/slicedinvesting'}
10707	/organization/bill-melinda-gates-foundation	{'date': '2014-11-20', 'weight': '/organization/uversity'}
46793	/organization/mercury-fund	{'date': '2014-11-07', 'weight': '/organization/ambiq-micro'}
21618	/person/jennifer-lum	{'date': '2014-10-31', 'weight': '/organization/remix-media'}
26022	/organization/peak-ventures	{'date': '2014-11-01', 'weight': '/organization/kpi-fire'}
26021	/organization/credit-saison	{'date': '2014-12-18', 'weight': '/organization/money-forward'}
64902	/person/andy-palmer-2	{'date': '2014-12-11', 'weight': '/organization/kinsa-inc'}
69176	/organization/osage-partners	{'date': '2014-12-03', 'weight': '/organization/instamed'}
69179	/organization/bullpen-capital	{'date': '2014-12-04', 'weight': '/organization/wedpics'}
44799	/organization/finnvera-venture-capital	{'date': '2014-11-20', 'weight': '/organization/liilak'}
94154	/person/jeremy-yap-2	{'date': '2014-12-01', 'weight': '/organization/marvel'}
68172	/person/justin-kan	{'date': '2014-12-01', 'weight': '/organization/beep-2'}
70666	/organization/greylock	{'date': '2014-12-17', 'weight': '/organization/truly-wireless'}
90640	/organization/rockport-capital-partners	{'date': '2014-11-20', 'weight': '/organization/flywheel-software'}
90649	/organization/pinnacle-ventures	{'date': '2014-11-18', 'weight': '/organization/boostctr'}
71828	/organization/sequoia-capital	{'date': '2014-11-10', 'weight': '/organization/good-eggs'}
58211	/organization/trinity-capital-investment	{'date': '2014-12-31', 'weight': '/organization/gainspan'}
58210	/person/armando-sgroi	{'date': '2014-11-29', 'weight': '/organization/freedcamp'}
93	/organization/leta-capital	{'date': '2014-11-21', 'weight': '/organization/remoto'}
24369	/organization/dunnhumby-ventures	{'date': '2014-12-22', 'weight': '/organization/foodessentials'}
70487	/organization/correlation-ventures	{'date': '2014-12-03', 'weight': '/organization/saymedia'}
71759	/organization/cicc	{'date': '2014-12-08', 'weight': '/organization/lanzatech-new-zealand'}
33855	/person/ron-zuckerman	{'date': '2014-12-03', 'weight': '/organization/whipclip'}
33501	/organization/idealab	{'date': '2014-11-01', 'weight': '/organization/glance-2'}
33858	/organization/expansion-venture-capital	{'date': '2014-11-26', 'weight': '/organization/zendrive'}
89611	/person/alexander-brhl	{'date': '2014-12-11', 'weight': '/organization/minubo'}
89610	/organization/elaia-partners	{'date': '2014-12-03', 'weight': '/organization/shift-technology'}
46964	/organization/north-west-fund	{'date': '2014-11-01', 'weight': '/organization/realitymine'}
41568	/organization/coent-venture-partners	{'date': '2014-11-26', 'weight': '/organization/qll'}
27572	/person/eoghan-mccabe	{'date': '2014-12-16', 'weight': '/organization/digit-4'}
99738	/organization/clarus-ventures	{'date': '2014-11-10', 'weight': '/organization/restoration-robotics'}
44427	/organization/500-startups	{'date': '2014-11-01', 'weight': '/organization/hetexted'}
38446	/person/erik-matlick-2	{'date': '2014-12-10', 'weight': '/organization/switch-2'}
68827	/organization/y-combinator	{'date': '2014-12-01', 'weight': '/organization/transitmix'}
1173	/organization/norselab---digital-entrepreneurs	{'date': '2014-11-01', 'weight': '/organization/documaster'}
