	investor	{'date': 'invest_date', 'weight': 'company'}
65095	/organization/greylock-partners-israel	{'date': '2013-03-05', 'weight': '/organization/hybris'}
36312	/organization/surge-accelerator	{'date': '2013-02-21', 'weight': '/organization/watrhub'}
23992	/person/bert-roberts	{'date': '2013-02-28', 'weight': '/organization/globein'}
76379	/organization/illinois-ventures	{'date': '2013-03-20', 'weight': '/organization/sharethis'}
78187	/organization/grandbanks-capital	{'date': '2013-03-21', 'weight': '/organization/clearfit'}
76056	/organization/reach	{'date': '2013-03-26', 'weight': '/organization/workface'}
16077	/organization/third-rock-ventures	{'date': '2013-03-18', 'weight': '/organization/taris-biomedical'}
19714	/organization/versant-ventures	{'date': '2013-03-22', 'weight': '/organization/achaogen'}
86361	/organization/surge-accelerator	{'date': '2013-02-21', 'weight': '/organization/waveseis'}
3725	/person/adam-quinton	{'date': '2013-03-01', 'weight': '/organization/nopsec'}
77164	/organization/500-startups	{'date': '2013-03-18', 'weight': '/organization/yasabe'}
22660	/organization/y-combinator	{'date': '2013-03-01', 'weight': '/organization/errplane'}
84919	/organization/high-tech-gruenderfonds	{'date': '2013-03-13', 'weight': '/organization/saperatec'}
89172	/organization/eleven	{'date': '2013-02-01', 'weight': '/organization/sensika-technologies'}
88483	/organization/steel-pier-capital	{'date': '2013-03-25', 'weight': '/organization/singwho'}
61454	/organization/bay-city-capital	{'date': '2013-03-13', 'weight': '/organization/nabsys'}
26573	/organization/nest-tn	{'date': '2013-03-01', 'weight': '/organization/cutting-edge-wheels'}
88486	/organization/flybridge-capital	{'date': '2013-02-19', 'weight': '/organization/stormpath'}
344	/organization/ndrc	{'date': '2013-02-01', 'weight': '/organization/gigstarter'}
48898	/organization/innovacorp	{'date': '2013-02-25', 'weight': '/organization/simplycast'}
19154	/person/david-karp	{'date': '2013-02-14', 'weight': '/organization/kitchensurfing'}
103543	/organization/start-up-chile	{'date': '2013-03-11', 'weight': '/organization/agrimaps'}
3991	/organization/alara-capital	{'date': '2013-03-07', 'weight': '/organization/tastemakerx'}
14922	/organization/sorenson-capital	{'date': '2013-03-15', 'weight': '/organization/accessdata'}
51285	/organization/genic	{'date': '2013-02-28', 'weight': '/organization/cubbying'}
52266	/organization/ballpark-ventures	{'date': '2013-02-15', 'weight': '/organization/bluefields'}
52260	/person/joe-glaser	{'date': '2013-03-15', 'weight': '/organization/artist-growth'}
52983	/organization/filas	{'date': '2013-03-20', 'weight': '/organization/sportube'}
73067	/person/john-kensey	{'date': '2013-02-10', 'weight': '/organization/maana'}
30111	/organization/start-up-chile	{'date': '2013-03-13', 'weight': '/organization/radarchile'}
43188	/person/shawn-gruver	{'date': '2013-02-01', 'weight': '/organization/crossfader'}
22005	/organization/sequoia-capital	{'date': '2013-02-01', 'weight': '/organization/beisen'}
78430	/organization/s3-ventures	{'date': '2013-03-19', 'weight': '/organization/packet-design'}
82995	/person/spencer-rascoff	{'date': '2013-03-29', 'weight': '/organization/pointshound'}
4734	/organization/queen-city-angels	{'date': '2013-03-06', 'weight': '/organization/somolend'}
2319	/person/tabreez-verjee	{'date': '2013-02-26', 'weight': '/organization/calm-com'}
93438	/organization/gamefounders	{'date': '2013-02-01', 'weight': '/organization/x3m-games'}
69393	/organization/cougar-capital	{'date': '2013-03-11', 'weight': '/organization/domo'}
5854	/organization/selr8r	{'date': '2013-02-06', 'weight': '/organization/scurri'}
87587	/organization/rsl-ventures	{'date': '2013-02-19', 'weight': '/organization/vengo-labs'}
65654	/organization/nxtp-labs	{'date': '2013-03-01', 'weight': '/organization/tale-me-stories'}
75940	/person/rahim-amidi	{'date': '2013-02-10', 'weight': '/organization/gonnabe'}
69883	/organization/fenox-venture-capital	{'date': '2013-03-01', 'weight': '/organization/wevorce'}
69373	/organization/prism-venture-management	{'date': '2013-03-05', 'weight': '/organization/avedro'}
101838	/organization/partech-international	{'date': '2013-03-29', 'weight': '/organization/racktivity'}
70604	/organization/falcon-investment-advisors	{'date': '2013-02-06', 'weight': '/organization/ecoatm'}
28312	/organization/calcef-clean-energy-angel-fund	{'date': '2013-03-28', 'weight': '/organization/reel-solar'}
34337	/organization/clearstone-venture-partners	{'date': '2013-03-15', 'weight': '/organization/games2win'}
32012	/organization/highland-capital-partners	{'date': '2013-02-08', 'weight': '/organization/entourage-medical-technologies'}
17388	/organization/band-of-angels	{'date': '2013-03-20', 'weight': '/organization/uppidy'}
19974	/organization/clean-pacific-ventures	{'date': '2013-02-21', 'weight': '/organization/wireless-glue-networks'}
25110	/organization/ciie	{'date': '2013-03-01', 'weight': '/organization/callystro'}
88026	/person/paul-cowan	{'date': '2013-02-26', 'weight': '/organization/quotient-biodiagnostics'}
81333	/person/felix-schaal	{'date': '2013-03-01', 'weight': '/organization/berlin-metropolitan-office'}
101384	/person/roni-einav	{'date': '2013-03-06', 'weight': '/organization/slate-science'}
80205	/person/daisuke-nagata	{'date': '2013-01-31', 'weight': '/organization/dennoo'}
80751	/person/harry-r-jacobson	{'date': '2013-03-15', 'weight': '/organization/artist-growth'}
80752	/organization/rsl-ventures	{'date': '2013-02-21', 'weight': '/organization/graduway'}
39642	/person/paolo-vaglietti	{'date': '2013-03-10', 'weight': '/organization/ticckle'}
11766	/organization/runa-capital	{'date': '2013-02-12', 'weight': '/organization/gruzobzor'}
42587	/organization/china-equity	{'date': '2013-03-01', 'weight': '/organization/pinwine-cn'}
81625	/organization/innovation-nest	{'date': '2013-02-10', 'weight': '/organization/nearbox'}
17030	/person/kirill-makharinsky	{'date': '2013-02-26', 'weight': '/organization/calm-com'}
46264	/organization/socialatom-ventures	{'date': '2013-03-01', 'weight': '/organization/micarga'}
99208	/organization/topspin-partners	{'date': '2013-02-21', 'weight': '/organization/celmatix'}
63846	/organization/citrix-startup-accelerator	{'date': '2013-03-13', 'weight': '/organization/cumulogic'}
57189	/organization/high-tech-gruenderfonds	{'date': '2013-02-05', 'weight': '/organization/cumulocity'}
56900	/organization/tech-coast-angels	{'date': '2013-02-06', 'weight': '/organization/p4rc'}
39927	/organization/wilson-sonsini-goodrich-rosati	{'date': '2013-03-31', 'weight': '/organization/chat-sports-inc'}
8753	/person/jon-soberg	{'date': '2013-03-01', 'weight': '/organization/onehope'}
102446	/organization/ben-franklin-technology-partners-of-northeast-pennsylvania	{'date': '2013-03-11', 'weight': '/organization/maculogix'}
36332	/organization/edison-ventures	{'date': '2013-03-11', 'weight': '/organization/lincor-solutions'}
46643	/person/tak-miyata	{'date': '2013-01-31', 'weight': '/organization/dennoo'}
18340	/organization/peterson-ventures	{'date': '2013-03-01', 'weight': '/organization/insikt-inc-'}
6372	/organization/pine-bridge-capital	{'date': '2013-02-08', 'weight': '/organization/covenant-surgical-partners'}
26028	/organization/mti-ventures	{'date': '2013-02-11', 'weight': '/organization/oxford-photovoltaics'}
68012	/organization/corfo	{'date': '2013-03-01', 'weight': '/organization/syrenaica'}
28411	/organization/august-capital	{'date': '2013-02-21', 'weight': '/organization/adara-media'}
58853	/organization/start-up-chile	{'date': '2013-02-17', 'weight': '/organization/orangutrans'}
49891	/organization/interwest-partners	{'date': '2013-03-01', 'weight': '/organization/hangtime'}
85611	/organization/d2m-inc	{'date': '2013-03-01', 'weight': '/organization/kapture-audio'}
90008	/organization/the-startup-factory	{'date': '2013-03-01', 'weight': '/organization/taggs'}
20527	/person/jimmy-maymann	{'date': '2013-02-21', 'weight': '/organization/gameanalytics'}
58670	/organization/on-grid-ventures	{'date': '2013-03-01', 'weight': '/organization/socialsignin'}
27992	/organization/startupyard	{'date': '2013-03-11', 'weight': '/organization/works-io'}
58075	/organization/vulcan-capital	{'date': '2013-03-07', 'weight': '/organization/ptc-therapeutics'}
2639	/organization/praesidian-capital	{'date': '2013-03-02', 'weight': '/organization/mission-critical-electronics'}
52984	/organization/middleland-capital	{'date': '2013-03-18', 'weight': '/organization/yasabe'}
8944	/person/erik-blachford	{'date': '2013-03-29', 'weight': '/organization/pointshound'}
43262	/organization/london-business-angels	{'date': '2013-03-22', 'weight': '/organization/trident-energy'}
36844	/organization/enterprise-ventures-limited	{'date': '2013-02-06', 'weight': '/organization/tyres-on-the-drive'}
53288	/organization/split-rock-partners	{'date': '2013-02-11', 'weight': '/organization/innovative-pulmonary-solutions'}
41732	/organization/baseline-ventures	{'date': '2013-03-07', 'weight': '/organization/tastemakerx'}
29505	/person/scott-button	{'date': '2013-03-14', 'weight': '/organization/future-ad-labs'}
48369	/organization/iconventures	{'date': '2013-02-14', 'weight': '/organization/devicescape'}
42122	/organization/start-up-chile	{'date': '2013-02-16', 'weight': '/organization/sonicpollen'}
62641	/organization/triplepoint-capital	{'date': '2013-02-27', 'weight': '/organization/enigma-technologies'}
41161	/organization/red-swan	{'date': '2013-03-21', 'weight': '/organization/evertrue'}
71825	/organization/double-m-partners	{'date': '2013-03-01', 'weight': '/organization/adstage'}
15861	/organization/gamefounders	{'date': '2013-03-01', 'weight': '/organization/dev9k'}
27501	/person/brian-tu	{'date': '2013-03-08', 'weight': '/organization/geeklist'}
68282	/organization/accel-partners	{'date': '2013-03-21', 'weight': '/organization/origene-technologies'}
36899	/organization/vocap-ventures	{'date': '2013-03-28', 'weight': '/organization/food52'}
98219	/person/tikhon-bernstam	{'date': '2013-03-01', 'weight': '/organization/namo-media'}
49419	/organization/presidio-ventures	{'date': '2013-02-27', 'weight': '/organization/nexenta-systems'}
78443	/organization/y-combinator	{'date': '2013-03-01', 'weight': '/organization/fivetran'}
30413	/person/tom-becky-miller	{'date': '2013-02-01', 'weight': '/organization/boosterville'}
10090	/organization/observatory-capital	{'date': '2013-03-19', 'weight': '/organization/terrago-technologies'}
