	investor	{'date': 'invest_date', 'weight': 'company'}
60900	/person/tony-hsieh	{'date': '2014-05-22', 'weight': '/organization/factorli'}
81537	/organization/social-starts	{'date': '2014-05-01', 'weight': '/organization/povio'}
24701	/person/thanos-triant	{'date': '2014-06-26', 'weight': '/organization/mist-io'}
92887	/organization/idg-ventures-usa	{'date': '2014-05-01', 'weight': '/organization/simply-hired'}
73073	/organization/mediatek	{'date': '2014-06-25', 'weight': '/organization/mcube-inc'}
77029	/organization/innovation-works	{'date': '2014-06-06', 'weight': '/organization/dew-mobile'}
93684	/organization/capital-partners-l-p	{'date': '2014-06-01', 'weight': '/organization/wizeline'}
11282	/organization/novo-a-s	{'date': '2014-05-29', 'weight': '/organization/tarsa-therapeutics'}
98452	/organization/octopus-ventures	{'date': '2014-05-09', 'weight': '/organization/countrywide-healthcare-supplies'}
98109	/organization/kleiner-perkins-caufield-byers	{'date': '2014-05-15', 'weight': '/organization/inspire-medical-systems'}
37848	/organization/j-hunt-holdings	{'date': '2014-05-20', 'weight': '/organization/solid-carbon-products'}
41821	/person/alexis-ohanian	{'date': '2014-06-08', 'weight': '/organization/picfair'}
11752	/organization/scout-ventures	{'date': '2014-05-01', 'weight': '/organization/sportsvite'}
43689	/organization/start-up-chile	{'date': '2014-06-01', 'weight': '/organization/fiestah'}
43686	/organization/i2bf-global-ventures	{'date': '2014-06-05', 'weight': '/organization/buzzoola'}
99856	/organization/amadeus-capital-partners	{'date': '2014-06-20', 'weight': '/organization/vocaliq'}
101029	/organization/ta-venture	{'date': '2014-06-30', 'weight': '/organization/sellanycar-ru'}
51102	/organization/urban-us	{'date': '2014-05-23', 'weight': '/organization/skycatch'}
93351	/organization/sv-angel	{'date': '2014-05-15', 'weight': '/organization/plae'}
52100	/organization/lowercase-capital	{'date': '2014-06-16', 'weight': '/organization/victorious-2'}
20738	/organization/500-startups	{'date': '2014-06-10', 'weight': '/organization/tamatem-inc'}
25546	/organization/heidelberg-innovation	{'date': '2014-05-08', 'weight': '/organization/lophius-biosciences'}
64025	/person/in-hsieh	{'date': '2014-06-01', 'weight': '/organization/emoda-showroom'}
85422	/organization/sofinnova-ventures	{'date': '2014-05-27', 'weight': '/organization/spark-therapeutics'}
17888	/organization/new-enterprise-associates	{'date': '2014-06-27', 'weight': '/organization/sprout-social'}
21933	/organization/galvanize	{'date': '2014-05-01', 'weight': '/organization/good-co'}
46305	/organization/correlation-ventures	{'date': '2014-06-04', 'weight': '/organization/gild'}
49175	/organization/hatteras-venture-partners	{'date': '2014-05-11', 'weight': '/organization/medikidz'}
42335	/organization/launchpadla	{'date': '2014-05-13', 'weight': '/organization/jukin-media'}
45652	/organization/oryzn-capital	{'date': '2014-05-30', 'weight': '/organization/salesfloor-it'}
20087	/organization/vitaminak	{'date': '2014-06-30', 'weight': '/organization/8fit-fitness-for-the-rest-of-us'}
48224	/organization/meakem-becker-venture-capital	{'date': '2014-06-24', 'weight': '/organization/schoology'}
31165	/organization/mohr-davidow-ventures	{'date': '2014-04-30', 'weight': '/organization/punchtab'}
83861	/organization/swift-river-investments	{'date': '2014-06-25', 'weight': '/organization/teachboost'}
57081	/organization/samsung-ventures	{'date': '2014-05-20', 'weight': '/organization/centrify'}
10396	/organization/dena	{'date': '2014-06-23', 'weight': '/organization/akippa'}
16935	/organization/sv-angel	{'date': '2014-05-01', 'weight': '/organization/kamcord'}
44651	/organization/city-hill-ventures	{'date': '2014-05-22', 'weight': '/organization/independa'}
7215	/organization/freshtracks-capital	{'date': '2014-05-01', 'weight': '/organization/budnitz-bicycles'}
41172	/person/greg-kidd	{'date': '2014-05-28', 'weight': '/organization/standard-treasury'}
59625	/organization/fg-angels	{'date': '2014-05-05', 'weight': '/organization/u-grok-it'}
15704	/organization/nuecura-partners	{'date': '2014-06-04', 'weight': '/organization/invision-heart'}
95160	/organization/qiming-venture-partners	{'date': '2014-06-16', 'weight': '/organization/zhihu'}
9755	/organization/balderton-capital	{'date': '2014-05-14', 'weight': '/organization/sinch'}
10577	/organization/crowdcube	{'date': '2014-06-30', 'weight': '/organization/e-sign'}
57881	/organization/lanzadera-accelerator	{'date': '2014-06-12', 'weight': '/organization/iwarda'}
37304	/organization/salesforce-ventures	{'date': '2014-05-07', 'weight': '/organization/layer'}
21424	/organization/accel-partners	{'date': '2014-05-15', 'weight': '/organization/netskope'}
24140	/organization/techcolumbus-2	{'date': '2014-06-03', 'weight': '/organization/t-pro-solutions'}
21421	/organization/liberty-city-ventures	{'date': '2014-06-16', 'weight': '/organization/bitgo'}
