,investor,company,invest_date
72688,/organization/spark-capital,/organization/vivareal,2014-10-31
50422,/organization/chattanooga-renaissance-fund,/organization/everly-2,2014-10-31
32539,/organization/amgen-ventures,/organization/imago-biosciences,2014-10-31
25000,/organization/klab-ventures,/organization/unda,2014-10-31
99909,/organization/highland-capital-partners,/organization/remix-media,2014-10-31
40924,/organization/lg-innovation-ventures,/organization/joyent,2014-10-31
44761,/organization/fundersclub,/organization/zoomcar-india,2014-10-31
71590,/organization/bpifrance,/organization/kartable,2014-10-31
61935,/organization/stonehenge-growth-equity,/organization/thrive-nutritious-ice-cream,2014-10-31
56440,/organization/jfdi-asia,/organization/telefun,2014-10-31
99425,/organization/east-ventures,/organization/unda,2014-10-31
9293,/organization/crunchfund,/organization/weaved,2014-10-31
103901,/organization/clarus-ventures,/organization/imago-biosciences,2014-10-31
45710,/organization/helion-venture-partners,/organization/id-fresh-food,2014-10-31
52339,/organization/alta-ventures-mexico,/organization/screenie,2014-10-31
11215,/organization/vegastechfund,/organization/ev-juice,2014-10-31
63165,/organization/charles-river-ventures,/organization/remix-media,2014-10-31
24315,/organization/big-basin-partners,/organization/weaved,2014-10-31
50174,/organization/jfdi-asia,/organization/geckolife,2014-10-31
10243,/person/taz-patel,/organization/remix-media,2014-10-31
75244,/organization/intel-capital,/organization/joyent,2014-10-31
102665,/person/jeffrey-glass,/organization/remix-media,2014-10-31
2974,/organization/frazier-healthcare-ventures,/organization/imago-biosciences,2014-10-31
58497,/organization/rough-draft-ventures,/organization/valued-investing,2014-10-31
42137,/organization/double-m-partners,/organization/weaved,2014-10-31
104229,/organization/ironfire-capital,/organization/weaved,2014-10-31
13952,/person/lars-albright,/organization/remix-media,2014-10-31
40001,/organization/haystack,/organization/weaved,2014-10-31
11989,/organization/high-tech-gruenderfonds,/organization/myr,2014-10-31
35940,/organization/el-dorado-ventures,/organization/joyent,2014-10-31
37485,/organization/maxwell-biotech-venture-fund,/organization/myr,2014-10-31
31075,/organization/core-ventures-group,/organization/weaved,2014-10-31
26256,/organization/epic-ventures,/organization/joyent,2014-10-31
94715,/organization/tmt-investments,/organization/weaved,2014-10-31
2582,/person/abhay-jain,/organization/zoomcar-india,2014-10-31
2642,/person/steven-rosenblatt,/organization/remix-media,2014-10-31
40609,/organization/partnership-capital-growth,/organization/the-alaska-club,2014-10-31
18154,/organization/source-code-capital,/organization/ebaoyang,2014-10-31
103505,/person/mohandas-pai-2,/organization/zoomcar-india,2014-10-31
93075,/organization/slow-ventures,/organization/slack,2014-10-31
73225,/organization/cit-gap-funds,/organization/bloompop,2014-10-31
88852,/organization/cyberagent,/organization/unda,2014-10-31
13756,/organization/maxfield-capital,/organization/weaved,2014-10-31
81584,/organization/the-jumpfund,/organization/feetz,2014-10-31
84441,/organization/neon-adventures,/organization/zzish,2014-10-31
88046,/organization/alpine-meridian,/organization/weaved,2014-10-31
60849,/organization/partech-international,/organization/kartable,2014-10-31
11857,/organization/500-startups,/organization/unda,2014-10-31
42502,/organization/orascom-tmt-investments,/organization/joyent,2014-10-31
90009,/organization/merck-research-laboratories,/organization/imago-biosciences,2014-10-31
21618,/person/jennifer-lum,/organization/remix-media,2014-10-31
103199,/organization/ram-capital-corporation,/organization/weaved,2014-10-31
57925,/organization/metamorphic-ventures-llc,/organization/weaved,2014-10-31
13490,/person/grazyna-kulczyk,/organization/bezar,2014-11-01
56498,/organization/maveron,/organization/bezar,2014-11-01
29517,/organization/blue-ant-investments,/organization/packet-2,2014-11-01
27989,/organization/wayra,/organization/wivo,2014-11-01
47844,/organization/frontline-ventures,/organization/love-robots,2014-11-01
84188,/organization/wayra,/organization/cookbooth,2014-11-01
104138,/organization/dev,/organization/pinstory-llc,2014-11-01
2879,/organization/nxtp-labs,/organization/roupologia,2014-11-01
101955,/organization/500-startups,/organization/strapping,2014-11-01
34384,/organization/500-startups,/organization/blinq-4,2014-11-01
87225,/organization/500-startups,/organization/etobb,2014-11-01
54465,/person/dave-hodson,/organization/astroprint,2014-11-01
87498,/organization/travel-startups-incubator,/organization/flitways,2014-11-01
56492,/person/olga-vorkueva,/organization/rusbase,2014-11-01
100344,/organization/wayra,/organization/aditium,2014-11-01
5613,/organization/burch-creative-capital,/organization/bezar,2014-11-01
102149,/organization/evergreen-venture-partners,/organization/n-trig,2014-11-01
20374,/person/fabrice-grinda,/organization/bezar,2014-11-01
18245,/organization/500-startups,/organization/nubity,2014-11-01
73246,/organization/eleven,/organization/taxime,2014-11-01
48331,/organization/elab-accelerator,/organization/gix,2014-11-01
2050,/person/chris-mathias,/organization/popxo,2014-11-01
90225,/organization/walnut-venture-associates,/organization/playsmrt,2014-11-01
100047,/organization/500-startups,/organization/doughbies,2014-11-01
91441,/organization/elab-accelerator,/organization/right-price,2014-11-01
33381,/organization/sxe-ventures,/organization/honey-science,2014-11-01
99712,/organization/silicon-badia,/organization/drbridge,2014-11-01
21457,/organization/wayra,/organization/geosense,2014-11-01
72977,/organization/rockstart-acclerator,/organization/capacity-energy-storage,2014-11-01
33628,/organization/muckercapital,/organization/honey-science,2014-11-01
53160,/organization/seedcamp,/organization/love-robots,2014-11-01
33316,/organization/sand-hill-east,/organization/gunify,2014-11-01
31734,/organization/red-dot-ventures,/organization/algo-access-pte-ltd,2014-11-01
9586,/organization/wayra,/organization/fund-recs,2014-11-01
75921,/person/christian-gueugnier,/organization/lendix,2014-11-01
105112,/organization/wayra,/organization/volo-4,2014-11-01
33884,/person/bradford-shane-shellhammer,/organization/bezar,2014-11-01
6367,/organization/elab-accelerator,/organization/audiarchy,2014-11-01
43700,/organization/start-up-chile,/organization/renova-tu-vestidor,2014-11-01
14089,/organization/soundboard-angel-fund,/organization/kinetic-2,2014-11-01
87087,/organization/wayra,/organization/tappx-2,2014-11-01
28199,/organization/aslanoba-capital,/organization/sonicx,2014-11-01
8036,/organization/elab-accelerator,/organization/gatsby-2,2014-11-01
46964,/organization/north-west-fund,/organization/realitymine,2014-11-01
77004,/person/navin-fabiani,/organization/popxo,2014-11-01
20249,/organization/rockstart-acclerator,/organization/finch-buildings-2,2014-11-01
33501,/organization/idealab,/organization/glance-2,2014-11-01
14035,/organization/partech-international,/organization/lendix,2014-11-01
62217,/organization/maine-angels,/organization/playsmrt,2014-11-01
18548,/organization/wayra,/organization/pick-eat,2014-11-01
75611,/organization/500-startups,/organization/chouxbox,2014-11-01
75602,/organization/bokwang-investment,/organization/crosstarget,2014-11-01
86944,/organization/elab-accelerator,/organization/produce-pay,2014-11-01
84138,/organization/plug-and-play-ventures,/organization/honey-science,2014-11-01
34248,/person/parviz-tayebati,/organization/lifeguard-games,2014-11-01
18677,/organization/rockstart-acclerator,/organization/viridom,2014-11-01
2093,/organization/500-startups,/organization/tappur,2014-11-01
2756,/organization/cit-gap-funds,/organization/bijoti-inc-,2014-11-01
8395,/organization/jaguar-ventures,/organization/nubimetrics,2014-11-01
9081,/organization/wayra,/organization/beautifeye,2014-11-01
72818,/organization/sherpa-ventures,/organization/bezar,2014-11-01
65848,/organization/500-startups,/organization/socialight,2014-11-01
