,investor,company,invest_date
18777,/organization/summit-partners,/organization/systems-maintenance-services,2013-10-31
19247,/organization/strong-ventures,/organization/magtag,2013-10-31
23245,/organization/intel-capital,/organization/webradar,2013-10-31
3516,/organization/polaris-partners,/organization/alector,2013-10-31
80905,/person/nolan-bushnell,/organization/oomba,2013-10-31
33040,/organization/sosv,/organization/oomba,2013-10-31
61737,/organization/techcolumbus-2,/organization/include-fitness,2013-10-31
81526,/organization/e-guardian,/organization/revolver-inc,2013-10-31
453,/organization/khosla-ventures,/organization/kumu-networks,2013-10-31
101033,/organization/ohio-tech-angel-fund-iii,/organization/include-fitness,2013-10-31
98285,/organization/club-italia-investimenti,/organization/sgnam,2013-10-31
43643,/organization/htv-industries,/organization/nomorerack,2013-10-31
26137,/organization/mumbai-angels,/organization/skillwiz,2013-10-31
52597,/organization/insight-venture-partners,/organization/unitrends-software,2013-10-31
12982,/organization/brightstone-venture-capital,/organization/horizon-oilfield-services,2013-10-31
88120,/organization/the-queensland-biotechnology-fund,/organization/hatchtech,2013-10-31
73675,/person/ashish-h-mistry,/organization/firefly-media,2013-10-31
27622,/organization/orbimed-advisors,/organization/alector,2013-10-31
102948,/organization/angel-cofund,/organization/contego-fraud-solutions,2013-10-31
9567,/organization/missouri-technology-corporation,/organization/lumate,2013-10-31
61195,/organization/mizuho-venture-capital,/organization/revolver-inc,2013-10-31
42039,/organization/blh-venture-partners,/organization/firefly-media,2013-10-31
3465,/organization/cyberagent,/organization/revolver-inc,2013-10-31
100883,/organization/angel-valkyrie,/organization/centri-technology,2013-10-31
67731,/organization/one-ventures,/organization/hatchtech,2013-10-31
55732,/organization/rainbow-seed-fund,/organization/contego-fraud-solutions,2013-10-31
93258,/organization/kleiner-perkins-caufield-byers,/organization/adorstyle,2013-10-31
6482,/organization/private-capital-network,/organization/oomba,2013-10-31
97389,/organization/incubate-fund,/organization/10sec,2013-10-31
103765,/organization/nanabianca,/organization/sgnam,2013-10-31
5127,/organization/itulip-investor-group,/organization/trutouch-technologies,2013-10-31
82761,/organization/uniseed-pty,/organization/hatchtech,2013-10-31
44661,/organization/launchpad-venture-group,/organization/trutouch-technologies,2013-10-31
74523,/organization/new-enterprise-associates,/organization/kumu-networks,2013-10-31
74430,/organization/london-business-angel-investors,/organization/contego-fraud-solutions,2013-10-31
48805,/organization/dag-ventures,/organization/adorstyle,2013-10-31
50339,/organization/salesforce-ventures,/organization/do,2013-10-31
37060,/organization/london-business-angels,/organization/contego-fraud-solutions,2013-10-31
56235,/organization/matrix-partners,/organization/biscoot,2013-10-31
73024,/organization/third-point-ventures,/organization/kumu-networks,2013-10-31
27137,/organization/sherpa-ventures,/organization/do,2013-10-31
63080,/organization/oak-investment-partners,/organization/nomorerack,2013-10-31
59908,/organization/intel-capital,/organization/sba-materials,2013-10-31
39268,/organization/wayra,/organization/narrato,2013-11-01
76383,/person/private-angels,/organization/adcade,2013-11-01
49616,/organization/queensbridge-venture-partners,/organization/matternet,2013-11-01
3242,/organization/viveris-management,/organization/egidium-technologies,2013-11-01
82696,/person/anil-dharni,/organization/pulse-io,2013-11-01
55304,/person/reuben-steiger,/organization/present-tv,2013-11-01
10570,/organization/mountain-group-capital,/organization/diagnovus,2013-11-01
78365,/organization/camp-one-ventures,/organization/pulse-io,2013-11-01
21129,/organization/globis-capital-partners,/organization/pixta,2013-11-01
71071,/organization/kocca,/organization/wantreez-music,2013-11-01
30240,/organization/andreessen-horowitz,/organization/matternet,2013-11-01
77722,/organization/wayra,/organization/reglare,2013-11-01
15564,/organization/kocca,/organization/sharehows,2013-11-01
4837,/person/fernando-muzquiz-2,/organization/bucmi,2013-11-01
25505,/organization/eniac-ventures,/organization/kanvas-labs,2013-11-01
25497,/organization/wayra,/organization/celotor,2013-11-01
64877,/person/fabrice-grinda,/organization/shift,2013-11-01
