,investor,company,invest_date
89102,/person/stephan-schambach,/organization/klara,2015-01-31
40634,/organization/kernel-capital,/organization/chicory,2015-01-31
39386,/organization/2b-angels,/organization/gameffective,2015-01-31
40485,/organization/verint,/organization/gameffective,2015-01-31
34966,/organization/creathor-venture-management,/organization/klara,2015-01-31
8170,/organization/plug-and-play-ventures,/organization/telesense,2015-01-31
62684,/organization/partech-international,/organization/klara,2015-01-31
23104,/organization/er-accelerator,/organization/chicory,2015-01-31
66492,/person/john-power-2,/organization/dopay,2015-01-31
70941,/organization/corigin-ventures-2,/organization/chicory,2015-01-31
71109,/organization/heilemann-ventures,/organization/klara,2015-01-31
98556,/organization/structure-capital,/organization/chicory,2015-01-31
70716,/organization/atlantic-internet,/organization/klara,2015-01-31
61733,/person/kathy-clark-2,/organization/nousdecor,2015-02-01
77245,/organization/wayra,/organization/quiro,2015-02-01
26077,/organization/rothenberg-ventures,/organization/written,2015-02-01
41261,/organization/venture-partners-2,/organization/e-cÃbica,2015-02-01
7493,/organization/techstars,/organization/pilot-2,2015-02-01
89669,/organization/e-ventures,/organization/passei-direto,2015-02-01
49850,/organization/bozano-investimentos,/organization/passei-direto,2015-02-01
88981,/organization/startupyard,/organization/click-and-study,2015-02-01
825,/organization/altos-ventures,/organization/brideasmart,2015-02-01
13922,/person/paul-sethi,/organization/pilot-2,2015-02-01
10580,/organization/wayra,/organization/staffino,2015-02-01
20599,/organization/the-collective-elevator,/organization/stylect,2015-02-01
16217,/organization/jaguar-ventures,/organization/gaudena,2015-02-01
61622,/organization/learnlaunchx,/organization/authess,2015-02-01
80047,/organization/angels-den,/organization/stylect,2015-02-01
99486,/organization/eleven,/organization/u-plug,2015-02-01
77593,/organization/wayra,/organization/frock-advisor,2015-02-01
77274,/organization/wasabi-ventures,/organization/sravel,2015-02-01
59855,/organization/sparklabs-accelerator,/organization/wanted-lab,2015-02-01
72903,/organization/better-ventures,/organization/brightcurrent-inc,2015-02-01
67158,/organization/keyrus,/organization/vicomi,2015-02-01
4223,/organization/startupyard,/organization/testomato,2015-02-01
17597,/person/tommy-ahlers,/organization/tradono,2015-02-01
73008,/organization/gerbera-capital,/organization/venzee,2015-02-01
84383,/organization/turn8-seed-accelerator,/organization/nextmart,2015-02-01
16338,/person/bo-shao,/organization/sketchme,2015-02-01
35071,/organization/valor-capital,/organization/passei-direto,2015-02-01
65475,/organization/startupyard,/organization/teskalabs,2015-02-01
56683,/person/jennifer-carrico,/organization/nousdecor,2015-02-01
99222,/organization/bozano-investimentos-2,/organization/htp-solution,2015-02-01
77742,/person/klaus-nyengaard,/organization/tradono,2015-02-01
84176,/person/dave-lerner,/organization/pilot-2,2015-02-01
2693,/organization/social-starts,/organization/cloe,2015-02-01
18007,/organization/berytech-fund,/organization/scriptr-io,2015-02-01
49683,/organization/nanabianca,/organization/salesoar,2015-02-01
43269,/organization/mevp,/organization/scriptr-io,2015-02-01
40400,/person/angela-song-2,/organization/simplycircle,2015-02-01
33892,/organization/wayra,/organization/mytwinplace,2015-02-01
81866,/person/jay-h-eum,/organization/simplycircle,2015-02-01
